Maluabaypetarmul,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lɪm,5_five
i-ɣoɛn,6_six
i-ɣɛpɪt,7_seven
i-ɣuil,8_eight
i-ɣɛsɪv,9_nine
i-sɛŋavɪl,10_ten
ŋovul_i-ru,11_twenty
ŋov_ɪ-lɪm,12_fifty
ŋovsɛŋavul,13_onehundred
ᵑgaka_sɛɣal,15_year
nɪ-matu,16_right
nɪ-maiɾi,17_left
xonu,18_i
nɛkr_saru,20_webothincl
nekr,22_weallincl
nox,23_thou
kɪm_saɾu,24_youboth
kɪm,25_youall
xain,26_heshe
xar,27_theyall
xar_saru,28_theyboth
i-seɣi,29_nonot
ⁿzaɣa,30_what
sɪnɛ,31_who
xambe,32_where
sɪvɛlɪŋ,33_when
i-plɛkɛnzaɣa,34_how
xanɛn,35_this
ɣɛɣe,36_that
-lɛmsax,37_above
-mɛləvɛn,38_below
-lalɛn,39_ininside
ᵐbat-n,40_head
nɪ-vɪlɛ-n_ᵐbat-n,41_hair
nɪ-mta-k,42_eye
ᵑgusu-n,43_nose
ᵐboro-n,44_ear
ⁿʒoŋo-n,45_mouth
nɪ-mɪmɛ-n,46_tongue
luvʷo-n,47_tooth
nɪ-vura-k,48_hand
ᵐbotokpas_nɪ-vɛra-n,49_shoulder
ⁿdaɣ-n,51_back
nɪ-malɛ-k,52_leg
na-re,53_blood
ⁿʒi-n,54_bone
nɪ-vɪlɛ-n,55_skin
lɛvəɣa-n,56_belly
ⁿʒɪnɛ-n,57_intestines
na-susa-n,58_breast
lalɛ-n,59_liver
nu-ɣoli,60_dog
nɪ-manɔx,61_bird
nɪ-mɛʧ,62_fish
nə-mat,63_snake
wɪlɪʧlɪʧ,64_worm
na-ɣət,65_louse
laᵐbʷɔ,66_rat
ne-la,67_spider
nɛ-məx,68_mosquito
rɪlɪ-n,69_egg
wɛlɣao-n,70_tail
nɛ-ɣpa-n,71_wing
nɪ-vɪlɛ-n,72_feather
nɪ-miɾmiɾe,73_man
nɪ-miar,74_woman
ⁿdavorix,75_child
nɛ-ŋɪs,76_name
pipe_su-k,77_mother
tate,78_father
lilaɣ_su-k,79_husband
nɪ-miar_su-k,80_wife
lautɛrɪn,81_day
lɪmɛlɪk,82_night
na-vɪl,83_moon
nɪ-vuvoɾɔ,84_star
ᵐbɛknɛlɛn,85_sky
nu-wẽ,86_water
nalɛp,87_lake
ⁿtɛs,88_sea
na-ɣamp,89_fire
iis,90_smoke
nɪ-vɪlas,91_ash
nɪ-vɛt,92_stone
ⁿdan,93_earthsoil
ni-ɛɸ,94_dust
nɪ-vuvon,95_sand
na-us,96_rain
laŋ,98_wind
ᵐbɛtekuɾ,99_thunder
nɪ-vɪlax,100_lightning
nɪ-mɪsɣovə-n,101_meatflesh
nɛ-vʊŋɛne,102_fruit
nɪ-vorɣa,103_woodsforest
no-xoron,104_root
rɛŋ_na-ɣa,105_branch
ruxu-ne,106_leaf
na-ɣa,107_wood
na-məs,108_grass
ruat,110_thatchroof
ne-im,111_house
nɪ-marɪt,112_rope
ⁿzal,113_roadpath
i-loŋ,114_black
i-vus,115_white
i-mial,116_red
i-xt͡san,117_green
i-məɣɛl,118_yellow
i-lalamp,119_big
-kutkut,120_small
i-mʷon,121_sharp
i-məɣunɣun,123_shyashamed
i-tɛrtɛɾa,124_old
i-rot͡s,125_painfulsick
-horatɪn,128_correcttrue
i-lon,129_dirty
i-mərɛvriv,130_rotten
i-roɸ,131_heavy
-luvsi,132_far
-xəriɸ,133_near
i-mɛlɣas,134_cold
i-mɪmas,135_dry
i-mim,136_wet
i-mɪlakɛl,137_new
-mᵐẽ,139_come
nɪ-vial,140_walk
nɪ-tur,141_stand
ni-at,142_sit
i-ʧoɸ,143_fall
nɪ-mɛtɛɾ__tuɣun,144_liedown
no-rur,145_turn
-sax,146_climb
i-suɸ,147_swim
ɪ-ɣiɣamp,148_flyverb
-vʷesiŋin,149_throw
-tososoɣun,150_hide
i-or,151_eat
-min_nu-ɛ,152_drink
nɪ-mumaɸ,153_yawn
i-tɪpɪs,154_spit
nɪ-mɛtɛr_puɾpuɾ,155_dream
nɪ-mɛtɛɾ,156_sleep
i-moroɸ,157_live
i-mis,158_die
-rup-i-mis,159_kill
nɪ-lɪs,160_see
nu-roŋɔ,161_hear
nɪ-vtin,162_sniffsmell
ɪ-ŋiɾi,163_laugh
ɪ-ŋaɾa,164_cry
i-sɛɾ,165_blow
i-ɣan,166_burn
-ruprup,168_pound
nu-rup,169_hit
-tɪt͡suvɣis,171_split
-ɣiɬ,172_dig
-ustuɣʊn,174_hold
-mtaɣət,175_fear
-ʧɪpɪn,176_count
ni-evɪ-lan,177_breathe
i-lulu,178_vomit
nɪ-miʧ,179_tieup
-vis,180_squeeze
i-vuvunus,181_swell
nɪ-vʷiɾe,182_say
-siɾə,184_stab
nu-wul,185_buy
-vɪnaɣe,186_steal
-laɸ,187_plant
i-titin,188_cook
nu-soɾo,189_shoot
-pas,190_work
-wale,191_open
