Raga_Wansa,English Translation
tuta,268_grandfather_paternal
tuta,262_uncle_paternal_older
tuwa,280_uncle_paternal_younger
bibi,269_grandmother_paternal
fwafwa,273_aunt_paternal_older
tata,78_father
fwafwa,281_aunt_paternal_younger
tuta,298_grandfather_maternal
bena,346_uncle_maternal_older
muwa,77_mother
bena,354_uncle_maternal_younger
tuta,299_grandmother_maternal
muwa,347_aunt_maternal_older
muwa,355_aunt_maternal_younger
tuwa,373_brother_older
tihi,499_younger_brother
hoxosi,381_sister_older
hoxosi,498_younger_sister
taɾi,264_first_cousin_male_paternal_uncle
nituku,263_first_cousin_female_paternal_uncle
ælowa,277_first_cousin_male_paternal_aunt
ælowa,275_first_cousin_female_paternal_aunt
ælowa,343_first_cousin_male_maternal_uncle
ælowa,344_first_cousin_female_maternal_uncle
tuwa,351_first_cousin_male_maternal_aunt
hoxosi,350_first_cousin_female_maternal_aunt
bwalixa,260_father_in_law
mwei,341_mother_in_law
tasalaku,80_wife
ahoaku,79_husband
tuta,261_father_in_law_of_woman
bibi,310_mother_in_law_of_woman
tuwa,235_daughter_in_law
mæmbiku,300_grandson_son
mæmbiku,296_granddaughter_son
tæɾi,435_son
mwei,234_daughter
ælowa,238_grandson_daughter
bwalixa,237_son_in_law
mæmbi,236_granddaughter_daughter
tæɾi,376_nephew_fraternal_older
mwei,375_niece_fraternal_older
tæɾi,501_nephew_fraternal_younger
mwei,500_niece_fraternal_younger
ælowa,385_nephew_sororal_older
ælowa,384_niece_sororal_older
ælowa,506_nephew_sororal_younger
ælowa,387_nibling_sororal
teʲa,1_one
ɾuʷa,2_two
tolu,3_three
fasi,4_four
limæ,5_five
ono,6_six
bitu,7_seven
fʷelu,8_eight
sifo,9_nine
aŋful,10_ten
aŋful dəman xai tufa,257_eleven
aŋful dəman xai ɾuʷa,477_twelve
aŋful dəman xai tolu,459_thirteen
aŋful dəman xai fasi,288_fourteen
aŋful dəman xai lima,284_fifteen
aŋful dəman xai ono,430_sixteen
aŋful dəman xai bitu,423_seventeen
aŋful dəman xai fʷelu,255_eighteen
aŋful dəman xai sifo,367_nineteen
ŋaful xai ɾuʷa,11_twenty
ŋaful xai tolu,460_thirty
ŋaful xai fasi,289_forty
ŋaful xai lima,12_fifty
ŋaful xai ono,431_sixty
ŋaful xai bitu,424_seventy
ŋaful xai fʷelu,256_eighty
ŋaful xai sifo,368_ninety
fudolua,13_onehundred
