Nisvaironevie,English Translation
ᵑga-t͡skai,1_one
ᵑga-ru,2_two
ᵑga-rl,3_three
ᵑga-vat͡s,4_four
ᵑga-lɪm,5_five
ᵑga-lɪmrut͡sgai,6_six
ŋa-lɪmraro,7_seven
ŋa-lɪmrarl,8_eight
ŋa-lɪmraupat͡s,9_nine
ŋa-sɪŋavor,10_ten
na-sɣao,15_year
ti-ɣavo,16_right
ti-mair,17_left
aganau,18_i
mæⁿde,19_weallexcl
ⁿdaru,20_webothincl
ⁿdari,22_weallincl
xain,23_thou
amru,24_youboth
aⁿdʳi,25_youall
ŋai,26_heshe
ari,27_theyall
araru,28_theyboth
awa,29_nonot
nisvai,30_what
asi,31_who
ambi,32_where
ŋaisi,33_when
ᵑga-kaᵐban,34_how
uraŋ,35_this
-ursao,36_that
-amɪx,37_above
-papaɣɛr,38_below
-liganɪm,39_ininside
ᵐbʷari-n,40_head
na-misβul,41_hair
na-mra-n,42_eye
na-ᵑgunsu-n,43_nose
ⁿdʳaliŋa-n,44_ear
ᵐbaŋo-n,45_mouth
na-milwu-n,46_tongue
na-luvo-n,47_tooth
na-fra-n,48_hand
ᵐbarvosɛ-nd,49_shoulder
xɛnu-n,50_neck
maⁿdru-n,51_back
na-le-nd,52_leg
ɛⁿdʳɛ,53_blood
na-ᵐbunᵐbul,54_bone
na-vulu-n,55_skin
na-ᵐbaɣavo-n,56_belly
ni-t͡sɪnɪ-n,57_intestines
na-sus,58_breast
nɪ-mamb,59_liver
lipax,60_dog
ni-man,61_bird
na-jix,62_fish
na-mar,63_snake
na-ⁿdʳoŋlat͡s,64_worm
na-ɣor,65_louse
xasu,66_rat
nɪ-naŋau,67_spider
na-nam,68_mosquito
mamvɪⁿdʳor,69_egg
na-ᵐbɪt͡su-n,70_tail
xaᵐbɪ-n,71_wing
na-vulu-n,72_feather
nɛ-rɛn,73_man
na-pnɪvor,74_woman
na-vri,75_child
na-ɣsɪ-n,76_name
nana-ŋ,77_mother
tata-ŋ,78_father
ren_si-n,79_husband
na-pnevor_si-n,80_wife
lamat͡sɛr,81_day
limaloŋ,82_night
na-rɪᵐbaʧi,83_moon
mʷaʧi_rax,84_star
no-ɣoi,86_water
na-ⁿdʳoŋⁿdʳoŋ,87_lake
na-ras,88_sea
ᵑga-ɣamp,89_fire
ᵑa-ᵐbʷas,90_smoke
maʧiaɸ,91_ash
na-var,92_stone
na-ran,93_earthsoil
maʧiaɸ,94_dust
na-ᵐbaŋan,95_sand
na-us,96_rain
malɔŋ,97_cloud
laŋ,98_wind
na-ɣorvi,99_thunder
kaβl,100_lightning
na-msal,101_meatflesh
farar,102_fruit
na-lɪɣeɣai,103_woodsforest
na-rt͡sarɛr,104_root
ᵐbat͡saɣɛr,105_branch
ⁿdʳoxor,106_leaf
na-ɣai,107_wood
ᵐbaramune,108_grass
na-pusun,109_flower
roiar,110_thatchroof
na-likalim,111_house
na-ɣao,112_rope
sal,113_roadpath
ᵑga-mɛrmɛr,114_black
ᵑga-popox,115_white
ᵑga-kɪkɪʧɪn,117_green
ᵑga-paŋpaŋ,118_yellow
ᵑga-lamb,119_big
ᵑga-ᵐbɪsal,120_small
ᵑga-savi,121_sharp
ᵑga-mɪmaɣan,123_shyashamed
-ɣɛvor,124_old
ᵑga-mɪsax,125_painfulsick
ᵑga-vuʰ,126_good
ᵑga-samp,127_bad
awoɣambat,128_correcttrue
kalamlam,128_correcttrue
ma-mɛrmɛr,129_dirty
-moⁿdʳ,130_rotten
ᵑga-miɸ,131_heavy
-ŋaisau,132_far
-pɛʧaŋ,133_near
ᵑga-mɛlaras,134_cold
ᵑga-mimɪs,135_dry
ᵑga-mʊt͡smʊt͡s,136_wet
ᵑga-vuvuʰ,137_new
ka-mai,139_come
ka-vanvan,140_walk
ᵑga-tɪlaŋ,141_stand
ᵑga-somb,142_sit
ᵑga-ⁿdum,143_fall
ᵑga-tɪtimaⁿdʳ,144_liedown
ko-sani,145_turn
ᵑga-zax,146_climb
-ŋaŋar,147_swim
ᵑga-svox,148_flyverb
ᵑga-ᵐbilɣani,149_throw
ᵑga-suani,150_hide
ka-nɪn,151_eat
ᵑga-mun,152_drink
ᵑga-malol,153_yawn
na-ᵐbur,155_dream
ka-pat͡s,156_sleep
ma-maur,157_live
ma-mat͡s,158_die
ᵑga-tams-i-ᵐbuni,159_kill
ka-lsi,160_see
toni,161_hear
ka-muⁿʒi,162_sniffsmell
ᵑga-mɪn,163_laugh
ᵑga-ran,164_cry
-ᵐbʷɪlᵐbʷɪl,165_blow
ᵑga-paŋ,166_burn
ᵑga-saⁿdri,167_sew
ᵑga-tamtamsi,168_pound
ᵑga-tamsi,169_hit
ᵑga-t͡savi,170_cut
ᵑga-t͡saprai,171_split
ᵑga-viʧi,172_dig
ᵑga-kao,173_hunt
ᵑga-tiŋau,174_hold
marax,175_fear
-pe,176_count
ᵑga-lu,178_vomit
ᵑga-ᵐbansi,179_tieup
ᵑga-ranvi,180_squeeze
ᵑga-tumb,181_swell
-kali,182_say
ᵑga-garumi,183_scratch
ᵑga-ruri,184_stab
ᵑga-vuli,185_buy
ᵑga-vɪnax,186_steal
ᵑga-lumʷi,187_plant
ᵑga-panun,188_cook
ᵑga-vini,189_shoot
ᵑga-ᵑgas,190_work
ᵑga-siŋavuko,191_open
