Naahaitoman,English Translation
i-tɛ,1_one
i-ru,2_two
i-tʉl,3_three
i-væs,4_four
i-lim,5_five
raʔ-tɛ,6_six
raʔ-ru,7_seven
raʔ-tʉl,8_eight
raʔ-vas,9_nine
-laŋvul,10_ten
namaratin_i-lim,12_fifty
namaritin_i-lim_nooron_ilaŋavul,13_onehundred
namaritin_ilim_nooron_ilaŋavul_nDuman_ilim,14_onethousand
nɛ-teo,15_year
ᵐbarəŋin,16_right
ⁿdal-mʷiir,17_left
ᵑgina,18_i
ⁿdal,19_weallexcl
ⁿdaharu,20_webothincl
maruru,21_webothexcl
ⁿdatul,22_weallincl
aiuŋ,23_thou
hamʷil,24_youboth
amuru,25_youall
hajih,26_heshe
haral,27_theyall
raru,28_theyboth
awaʔ,29_nonot
nahai,30_what
haiɛn,31_who
hambɛ,32_where
matanial,33_when
i-vare,34_how
aɪnbah,35_this
ᵐbajaŋ,36_that
-vɛnmahaʔ,37_above
salvun,38_below
-lɛnmʉšʉn,39_ininside
ᵐbʷati-n,40_head
no-osful,41_hair
na-mata-n,42_eye
ᵑginhu-n,43_nose
ⁿdalɪŋa-n,44_ear
no-ᵐboʔo-n,45_mouth
nɛ-mɛlamiŋi-n,46_tongue
ni-livʷo-n,47_tooth
na-var,48_hand
na-ᵐbatawa-n,49_shoulder
nɛ-ⁿdolə-n,50_neck
tao-n,51_back
ni-ᵐbulɛ-n,52_leg
na-ⁿdaʰ,53_blood
ni-ᵐbulᵐbul,54_bone
olsi-n,55_skin
ᵐbaʔavu-n,56_belly
na-avʷut,57_intestines
nɪ-šušu-n,58_breast
na-mam,59_liver
kiliuʰ,60_dog
na-man,61_bird
na-mahal,62_fish
nɛ-mʷat,63_snake
ⁿdulas,64_worm
ni-ut,65_louse
na-ʔahop,66_rat
ma-ŋiŋeoʰ,67_spider
nɪ-teoˀas,68_mosquito
manlɛ-n,69_egg
ᵐbušʉn,70_tail
nɛᵐbonᵐbo-,72_feather
nɛ-ᵐboᵐbariŋin,73_man
ni-vin_aiwut,74_woman
ni-ᵐbunoŋ,75_child
ni-iʔ,76_name
ᵑgiai,77_mother
tata,78_father
aiwut,79_husband
ni-vin_aiwut_tiai,80_wife
lɛrɛŋ,81_day
ipʔat,82_night
nivul,83_moon
nɪ-mʷosoi,84_star
no-oi,86_water
no-oi_ⁿdalⁿdal,87_lake
nɛ-tɛs,88_sea
na-ʔam,89_fire
-tuŋtuŋ,90_smoke
na-vat,92_stone
na-tan,93_earthsoil
ni-ap˺,94_dust
ni-ᵐbunʊn,95_sand
nu-uh,96_rain
nɪ-ᵐbʷorᵐbʷor,97_cloud
nɛ-lɛŋ,98_wind
ni-pil,99_thunder
ni-pilpar,100_lightning
ni-vuəh,101_meatflesh
nawan,102_fruit
nɪ-ᵐʙunai,103_woodsforest
na-ʔara-,104_root
na-ᵐbal,105_branch
ne-reun,106_leaf
na-ai,107_wood
nimʷini,108_grass
na-tavhɪ-,109_flower
ni-at,110_thatchroof
ni-um,111_house
nɛ-ʔeo,112_rope
na-hal,113_roadpath
-mɪtmɛt,114_black
-mævus,115_white
-paŋpaŋ,116_red
i-ʔaʔasan,117_green
-lʉtlʉt,118_yellow
-ᵐboᵐbo,119_big
-mɪlaʔlaʔ,120_small
i-mah,122_bluntdull
-mæmaʔan,123_shyashamed
-marlam,124_old
-mɛhɛʔ,125_painfulsick
i-lɛh,126_good
i-hat,127_bad
-ᵐbarɪŋin,128_correcttrue
-mʷuloʰ,129_dirty
-mom,130_rotten
-ⁿdop,131_heavy
-selɛ,132_far
-masaŋ,133_near
-malah,134_cold
-mahamah,135_dry
-ⁿdomⁿdom,136_wet
-vɛveo,137_new
xa-mi,139_come
ᵑga-loŋ,140_walk
-tur,141_stand
ᵑga-sum,142_sit
-ᵐbah,143_fall
-pas_ⁿdeo,144_liedown
-vis,145_turn
haʔ,146_climb
xa-ŋar,147_swim
nɛvɛm,148_flyverb
ᵑga-kom,149_throw
-luʔluʔ,150_hide
-kan,151_eat
-mʉn,152_drink
-mʷoolɛn,153_yawn
-pre,154_spit
nɪ-ᵐbʷɛre,155_dream
-pas,156_sleep
-meur,157_live
mɛs,158_die
ᵑgo-orᵐbun,159_kill
ku-lɛs,160_see
wo-roŋ,161_hear
no-ᵐbon,162_sniffsmell
a-man,163_laugh
-tɪng,164_cry
i-hup,165_blow
ᵑga-tuʔtuʔ,168_pound
ka-tiri,170_cut
-tarpor,171_split
ᵑga-ʔil,172_dig
-sal,173_hunt
ᵑga-vurvor,174_hold
mataʔta,175_fear
-ᵐbʷiliŋ,176_count
-lu,178_vomit
ka-vit,179_tieup
-ᵐbus,180_squeeze
-tim,181_swell
ᵑga-pɛ,182_say
ᵑga-tur,184_stab
-pul,185_buy
-vanaʔ,186_steal
-kor,187_plant
-saŋ,188_cook
xa-pan,189_shoot
-raʔ,190_work
-sisivan,191_open
