Vaotorono,English Translation
ɣɛte,1_one
ɣe-ru,2_two
ɣɛ-tul,3_three
ɣɛ-ðat,4_four
ɣɪ-linɛ,5_five
ɣi-jon,6_six
ɣɛ-ᵐbʉt,7_seven
ɣo-al,8_eight
ɣi-hiβe,9_nine
-haŋaβul,10_ten
mʷovul_ɣɛ-ru,11_twenty
mʷovul_ɣɛ-linɛ,12_fifty
mʷofaŋavul,13_onehundred
huɣaɸ,15_year
matu,16_right
maɛr,17_left
hina,18_i
hiniɣo,23_thou
kami_ɣɛru,24_youboth
kami,25_youall
ɣini,26_heshe
inirɛ,27_theyall
naha,30_what
ihi,31_who
harβan,33_when
mʷo-ðaviha,34_how
hini,35_this
-a͡ul,37_above
-lanɛloloðinɛ,38_below
-lolon,39_ininside
ᵐbatu-m,40_head
wulu-m,41_hair
nata-m,42_eye
gohori-m,43_nose
ᵐbororo-m,44_ear
siŋo-m,45_mouth
nɪnɪ-m,46_tongue
uru-m,47_tooth
ni-na-n,48_hand
ᵐbili-nɛ,49_shoulder
ᵐbulavaho-m,50_neck
wotura-n,51_back
karu-m,52_leg
nɛ-re,53_blood
hu-nɛ,54_bone
wulwulu-m,55_skin
taᵐbaŋɛ-n,56_belly
tinɛ-n,57_intestines
huhu-nɛ,58_breast
pɛᵐbɛn,59_liver
viri,60_dog
na-nan,61_bird
na-nas,62_fish
na-mat,63_snake
taᵐbragas,64_worm
na-ɣut,65_louse
xarið,66_rat
na-ᵐbar,67_spider
na-muɣe,68_mosquito
tooli-ne,69_egg
vilaɣau-nɛ,70_tail
ɣaᵐbɪ-n,71_wing
vulu-ne,72_feather
namɛr,73_man
ðavʉnɛ,74_woman
nasorik,75_child
nɪ-hɪɣa-n,76_name
pɪᵐbi,77_mother
nuku-te,78_father
nuku_nahoᵐbɛ,79_husband
nuku_lɛktɛr,80_wife
utɛran,81_day
utaᵐboŋ,82_night
na-vulɛ,83_moon
na-vʉt,84_star
ⁿdakaran,85_sky
nu-ɛ,86_water
na-lɛmb,87_lake
nɛ-teh,88_sea
na-xamb,89_fire
mʷo-ah,90_smoke
ᵐbɪtmaɣaɸ,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
ᵐbetmaɣaɸ,94_dust
na-on,95_sand
na-uhe,96_rain
ᵐboᵐbor,97_cloud
na-laŋ,98_wind
na-kur,99_thunder
na-vile,100_lightning
ðihiɣo-n,101_meatflesh
huan,102_fruit
lanʊh_wonwon,103_woodsforest
xoari-nɛ,104_root
raŋ,105_branch
roxe-nɛ,106_leaf
nɛ-ɣe,107_wood
ni-at,110_thatchroof
ne-ɪmɛ,111_house
nu-ɛh,112_rope
na-hal,113_roadpath
mʷo-not,114_black
mʷo-βuhɛ,115_white
mʷo-nɛnɛ,116_red
mʷo-ðɛroɣe,117_green
mʷo-mɛlmɛlɛx,118_yellow
mʷo-seax,119_big
mʷo-vɛlɛlɛ,120_small
mo-βor,121_sharp
mo-ᵐbasis,122_bluntdull
-neɣonɣan,123_shyashamed
-mɛrsean,124_old
mʷo-ros,125_painfulsick
mʷɔ-rux,126_good
mʷo-hat,127_bad
mʷo-βararuh,128_correcttrue
mʷo-lalo,129_dirty
mʷo-momo,130_rotten
mʷo-roɸ,131_heavy
-neha,132_far
-nergit,133_near
mʷo-ronɛlɛgeh,134_cold
mʷo-nanah,135_dry
mʷo-ranim,136_wet
mʷo-ᵐbar,137_new
ɣo-nɛ,139_come
ɣo-ɛh,140_walk
mʷo-tur,141_stand
mʷo-at,142_sit
mʷo-soɸ,143_fall
mʷo-soðitan,144_liedown
o-rori,145_turn
mʷo-ðɛn,146_climb
o-kar,147_swim
mʷo-vir,148_flyverb
om-narhini,149_throw
mʷo-hilðeni,150_hide
mʷo-ɣɛnɣan,151_eat
mʷo-muni,152_drink
mʷo-ɣinma,153_yawn
mʷo-lutoð,154_spit
mʷo-mɛnlehi,155_dream
mʷo-naliho,156_sleep
mʷo-naur,157_live
mʷo-nat,158_die
um-luhu-nɛti,159_kill
ɣom-lehi,160_see
ɣoᵐb-roŋɛ,161_hear
mʷo-ᵐbunbun,162_sniffsmell
ni-nan,163_laugh
mʷo-taŋ,164_cry
mʷo-hirhir,165_blow
mʷo-ɣaᵐbu,166_burn
om-lulohu,168_pound
om-lohu,169_hit
ɣom-tɛi,170_cut
om-tɪvɛɣehi,171_split
om-worxor,173_hunt
om-tori,174_hold
nɘ-natax,175_fear
mʷo-lulu,178_vomit
mʷo-lisi,179_tieup
om-berihi,180_squeeze
mu-ᵐburɛ,181_swell
wo-vɛrɛi,182_say
om-βoli,185_buy
un-ðanaɣo,186_steal
om-laβɔ,187_plant
on-ðihahax,190_work
om-βuɣe,191_open
