Oreao,English Translation
limana,48_hand
mʷɛ:li,17_left
marua,16_right
laːna,52_leg
mi:ali,140_walk
ra:pa,416_road
kʷejmi,139_come
ilomo:jⁱ,145_turn
okulu,147_swim
namname,129_dirty
kororɔki,94_dust
kŭlusia,55_skin
kasmonena,51_back
mopena,444_stomach
puriju:na,54_bone
sĭne:na,57_intestines
puriere,59_liver
daju:na,58_breast
pa:na,49_shoulder
okil:ja,315_know_understand
stomena,458_to_think
maruʰuʷena,175_fear
ta:na,53_blood
wilupa:na,40_head
wanapana,50_neck
wilupa:na,41_hair
kunu:na,43_nose
mijɛ:ve,177_breathe
lipon᷈a,434_sniff
kuluŋgona,45_mouth
daluena,47_tooth
pumenena,46_tongue
pita:le,163_laugh
taŋi,164_cry
lualua,178_vomit
pla:siri,154_spit
kina:ana,151_eat
okina:na,464_to_chew
ajmɛn kapi,188_cook
omun᷈a,152_drink
okara:ria,212_to_bite
omunmun᷈a,448_suck
kiliŋgana,44_ear
oloⁿgea,161_hear
komɛrana,42_eye
olua:lja,160_see
omɛli,153_yawn
omumaljo,156_sleep
omonua:wa,144_liedown
monini:je:na,155_dream
ototo:nu,142_sit
osuma:lu,141_stand
jaru,306_person
eririna,73_man
sira,74_woman
nuŋga:rki,75_child
saɛl marua,79_husband
sasa marua,80_wife
sama:ma,77_mother
ta:ta,78_father
sa:juma,111_house
rakinita,455_thatch
sɛⁿki,76_name
ojsa:,182_say
kilika,112_rope
ojiʰaria,179_tieup
osulu:ja,167_sew
kuru:sia,362_needle
tea:teʰiko:ri,173_hunt
ojĭni:ja,189_shoot
oju:rja,184_stab
oweʰa,169_hit
pinao,186_steal
mʷemaria,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
te:a,170_cut
la:ki,107_wood
tepa:ja,171_split
metoʷoto,121_sharp
maʰo,122_bluntdull
jume,190_work
mapila,187_plant
ojlomo:j,465_to_choose
pitoj,302_to_grow
la:pa,181_swell
oʰun᷈a,180_squeeze
orarja,174_hold
ki:li:a,172_dig
oʰulja,185_buy
ojkea,191_open
oʰuweʰa,168_pound
okʷan᷈a,149_throw
oⁿloru,143_fall
lekuli,60_dog
manu,61_bird
kulu:to,69_egg
ilu:sia,72_feather
kupena,71_wing
ka:,148_flyverb
ka:we,66_rat
kuᵐbui,336_meat
mura,258_fat
ki:na,70_tail
lema:ra,63_snake
kulari,64_worm
kuru,65_louse
namu,68_mosquito
kɔlmalulu,67_spider
ika,62_fish
menu:ni,130_rotten
koroʰasia,105_branch
maki,106_leaf
puliŋga:sia,104_root
inaki,109_flower
ra:ki,102_fruit
mamuni,108_grass
sna:tono,93_earthsoil
kia:ru,92_stone
nonoŋgone,95_sand
wiː,86_water
wikiri:ri,286_flow
siː,88_sea
si:,419_salt
lapa,87_lake
lokona,103_woodsforest
sikorĭkomeme,85_sky
kupario,83_moon
erue,84_star
sikorĭkojuwowo,97_cloud
mɛŋgi,340_fog
juwa,96_rain
polu:lu,99_thunder
jokarpila,100_lightning
laŋi,98_wind
oju:ja,165_blow
pisunu,483_hot
mijaⁿkarija,134_cold
ma:,135_dry
meme,136_wet
u:rmi,131_heavy
ka:pi,89_fire
faŋga,166_burn
jopuwa,90_smoke
supulujɑj,91_ash
mokolko,114_black
juwo:wo,115_white
pili:li,116_red
lele:ru,118_yellow
meme:e,117_green
taki:to,120_small
taura,119_big
pla:sia,426_short
kupiaj,328_long
mini:nivi,457_thin
merorɔlu,456_thick
otɛnĭko,359_narrow
lopalopana,489_wide
ma:ji,125_painfulsick
ma:wa,123_shyashamed
marua,124_old
pena:o,137_new
po:,126_good
polu:puli,127_bad
mɛsmɛsu,128_correcttrue
poŋge:na,82_night
lipa:j,81_day
ka:sia,15_year
poŋgiɑj,33_when
kʷaⁿdon᷈a,150_hide
puma:ja,146_climb
lo:osja,39_ininside
maʰaja,37_above
lomopena,38_below
naŋa ni,35_this
naŋa ŋaru,36_that
laji:si,133_near
perina,132_far
pulu:puli,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
memi,19_weallexcl
italua,20_webothincl
mɛmlua,21_webothexcl
amju,23_thou
amjulua,24_youboth
naŋala,27_theyall
naŋalalua,28_theyboth
jane,30_what
ja:j,31_who
natokʷena,138_other
sape:la:l,195_all
aljo,199_and
esahe,311_if
se:pe,34_how
po:li,29_nonot
oluja,176_count
taŋga,1_one
lua,2_two
tolu,3_three
ʋari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɔlu,8_eight
ojari,9_nine
lualima,10_ten
lualimalua,11_twenty
lualimalima,12_fifty
ponotia:ta:ŋa,13_onehundred
manu ta:ŋa,14_onethousand
