Sxalangibaetora,English Translation
tiβʷale,1_one
rua,2_two
tolu,3_three
ɸati,4_four
teβelima,5_five
letɸʷale,6_six
leβrua,7_seven
leβtolu,8_eight
leiɸati,9_nine
saŋaβulu,10_ten
saŋaβulrua,11_twenty
saŋaβulteβelima,12_fifty
ɸuⁿdolua,13_onehundred
tariɸaɣatiβʷale,14_onethousand
ⁿdamu,15_year
mʷetua,16_right
mʷeriri,17_left
nau,18_i
ᵑɡamai,19_weallexcl
xiⁿdaruaɣi,20_webothincl
ᵑɡamairuaɣi,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ᵑɡamiruaɣi,24_youboth
ᵑɡamiu,25_youall
xia,26_heshe
xira,27_theyall
xirairua,28_theyboth
mese,29_nonot
asnao,30_what
isei,31_who
ᵐbela,32_where
saβataro,33_when
mʷereisiᵐbe,34_how
toɣea,35_this
xatoɣβano,36_that
xatoɣβa:no,36_that
aulu,37_above
laβaβaɣi,38_below
loloɣi,39_ininside
ᵐbʷatu,40_head
ɸulu,41_hair
mata,42_eye
xansʊ,43_nose
ᵐbʷero,44_ear
ɸʷawa,45_mouth
luame,46_tongue
liβʷo,47_tooth
liβo,47_tooth
lima,48_hand
tiᵐbʷa,49_shoulder
xanua,50_neck
xantaɣu,51_back
ᵑɡaru,52_leg
ⁿdei,53_blood
sui,54_bone
suɣi,54_bone
ɸinu,55_skin
taŋa,56_belly
tinai,57_intestines
tinaɪ,57_intestines
susu,58_breast
ɸara,59_liver
xiriu,60_dog
manu,61_bird
masi,62_fish
mʷaɣata,63_snake
sulate,64_worm
mʷaⁿdi,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namʊ,68_mosquito
toli,69_egg
xolo,70_tail
ᵐbani,71_wing
lalau,72_feather
mʷera,73_man
ɸaβine,74_woman
maresu,75_child
isa,76_name
raβeᵑɡu,77_mother
tita,78_father
tamaraɣasi,79_husband
nuᵑɡuɸaβine,80_wife
rani,81_day
ᵐbʷoŋi,82_night
ɸula,83_moon
ɸitiu,84_star
taetae,85_sky
wai,86_water
ᵐbulo,87_lake
tasi,88_sea
jaβi,89_fire
easu,90_smoke
tiᵑɡaβu,91_ash
ɸatu,92_stone
tano,93_earthsoil
tiᵑɡaβu,94_dust
one,95_sand
use,96_rain
ⁿdoⁿdoβʷasi,97_cloud
laŋi,98_wind
mantawa,99_thunder
ɸila,100_lightning
ɸisiɣo,101_meatflesh
mʷatiɣi,102_fruit
tamatua,103_woodsforest
xoari,104_root
raŋa,105_branch
rau,106_leaf
xai,107_wood
ɸalisi,108_grass
fʷalisi,108_grass
ɸira,109_flower
masoaɣi,110_thatchroof
ɸale,111_house
xao,112_rope
sala,113_roadpath
maeto,114_black
ɸʷasi,115_white
memea,116_red
ᵐbʷaroɣa,117_green
jaŋoɣa,118_yellow
xaiβua,119_big
ᵐbiti,120_small
maᵑɡeᵑɡeni,121_sharp
ᵐbʷatola,122_bluntdull
ᵐbusᵐbusi,123_shyashamed
moniɣa,124_old
xaɣaⁿdiri,125_painfulsick
xarea,126_good
sati,127_bad
loɣarea,128_correcttrue
soŋoraɣa,129_dirty
ᵐboᵐboɣa,130_rotten
ⁿdemu,131_heavy
xatoβano,132_far
ᵑɡaᵑɡarani,133_near
xamʷaⁿdiⁿdi,134_cold
raraᵑɡa,135_dry
samʷale,136_wet
xaraᵐbʷeɣi,137_new
ɸʷate,138_other
fanai,139_come
fanaɛ,139_come
laɣo,140_walk
matmaⁿdu,141_stand
mʷaᵐbu,142_sit
mʷaᵑɡele,143_fall
weno,144_liedown
leorisi,145_turn
ᵑɡalo,146_climb
xaru,147_swim
xaɣa,148_flyverb
ᵐbʷaleɣi,149_throw
silβaɣi,150_hide
xaxani,151_eat
minu,152_drink
mamao,153_yawn
loⁿdo,154_spit
ᵐbʷoᵐbʷore,155_dream
maturu,156_sleep
mʷaso,157_live
mate,158_die
wasɸaɣa_matea,159_kill
wasɸaɣmatea,159_kill
leo,160_see
roŋo,161_hear
ᵐbuni,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
mʷaβʷi,166_burn
tuɣuri,167_sew
xoso,168_pound
wasia,169_hit
teβea,170_cut
taiβʷaɣa,171_split
xeli,172_dig
ruɣu,173_hunt
saᵑɡoβi,174_hold
mataɣu,175_fear
ɸuluŋi,176_count
reβe_maᵐbusiⁿda,177_breathe
lulua,178_vomit
ɸili,179_tieup
ɸʷirisi,180_squeeze
ɸuɣe,181_swell
ɸeβe,182_say
taᵑɡari,183_scratch
susuɣi,184_stab
ɸʷoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
taᵐbʷarere,188_cook
ɸene,189_shoot
roᵐba,190_work
tala,191_open
