Aulualoxselanfitfit,English Translation
-ᵐbol,1_one
i-ⁿdʳua,2_two
i-ⁿdiɬ,3_three
i-ᵐbes,4_four
i-lma,5_five
i-ⁿdʳo-voɣol,6_six
i-ⁿdʳo-rua,7_seven
i-ⁿdʳɔɣ-til,8_eight
i-ⁿdʳɔɣ-ves,9_nine
saŋavul,10_ten
ŋavʊl_ᵐboʁol,11_twenty
ŋavʊl_i-lma,12_fifty
ŋot_i-ᵐbol,13_onehundred
nɛ-ⁿdɪm,15_year
tuᵐbu,16_right
mɛr,17_left
ano,18_i
aⁿdara,20_webothincl
amararal,21_webothexcl
ɣaŋ,23_thou
amuⁿdul,25_youall
ɣɛn,26_heshe
ɣerni,27_theyall
i-sɛra,29_nonot
nevax,30_what
asi,31_who
ambe,32_where
ŋesa,33_when
lasᵐbi,34_how
naɣal,35_this
namiŋ,36_that
-meβe,37_above
fevaɣte,38_below
-lilɣema,39_ininside
ᵐbati-m,40_head
nɛ-vulo-n_ᵐbati-m,41_hair
mɛtɛ-m,42_eye
ᵑgunʧu-m,43_nose
na-ɣarsɛ-m,44_ear
ᵐboŋo-m,45_mouth
lɛmɛ-m,46_tongue
nɛ-lva-m,47_tooth
farna-,48_hand
na-vsu-n,49_shoulder
taviŋa-m,50_neck
maⁿdi-m,51_back
ne-lua-n,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloŋo-m,54_bone
ⁿdraᵐbɪ-m,55_skin
xavtɛ-m,56_belly
nies,58_breast
na-kuli,60_dog
nɪ-mɪn,61_bird
ni-ɣa,62_fish
na-matʰ,63_snake
tuŋules,64_worm
na-ɣut,65_louse
no-ɣova,66_rat
tɛᵐbluŋaŋo,67_spider
toɣas,68_mosquito
mɛⁿdul-na,69_egg
ᵑgar-na,70_tail
na-xavɪ-na,71_wing
ne-vul-na,72_feather
asmaŋ,73_man
taᵐbalux,74_woman
ne-totamare,75_child
na-ɣsɛ-n,76_name
anana,77_mother
tata,78_father
asma_ta-ŋ,79_husband
taᵐbalorta-ŋ,80_wife
tiⁿdʳɪn,81_day
melŋɔ,82_night
na-ɣaᵐbesa,83_moon
mʷose,84_star
ne-maβ,85_sky
na-ve,86_water
nɛ-ⁿdɛn,87_lake
ne-tes,88_sea
na-ɣamb,89_fire
ᵐbasua,90_smoke
ni-vmis_ɣamp,91_ash
nɪ-vɛt,92_stone
nɛ-tɛn,93_earthsoil
maraŋaɸ,94_dust
taᵐbawan,95_sand
no-sa,96_rain
ᵐboroᵐbor,97_cloud
ne-laŋ,98_wind
no-rvar,99_thunder
ne-ᵐbəla,100_lightning
taᵐbi_taramb,103_woodsforest
no-xoror-te,104_root
paseɣe,105_branch
nɛ-ɣar_ᵐbu-n,106_leaf
na-ɣe,107_wood
na-mɪne,108_grass
ne-pɪnaɣte,109_flower
ni-et,110_thatchroof
ne-ma,111_house
no-ɣɔ,112_rope
na-ɣavila,113_roadpath
-miɛt,114_black
i-ᵐbsa,115_white
-miɛl,116_red
-nɛɣaᵐbun,117_green
i-oŋoŋɔ,118_yellow
i-loᵐbon,119_big
-kakas,120_small
ᵑga-ɣan,121_sharp
-moɣmoɣon,123_shyashamed
-marsaramb,124_old
i-maɣta,125_painfulsick
i-ᵐbu,126_good
i-samb,127_bad
i-paŋasa,128_correcttrue
-miɛt,129_dirty
i-ŋond,130_rotten
-maranʧ,131_heavy
-tɛmnis,132_far
-morokon,133_near
-mɛloɣo,134_cold
u-mɛmɛs,135_dry
-ⁿdiᵐbətimp,136_wet
i-ᵐbovo,137_new
u-vɛne,139_come
u-vɛnɛvɛn,140_walk
u-xaᵐbuluh,142_sit
i-lit,143_fall
u-sesla,144_liedown
u-ririax,145_turn
u-sax,146_climb
u-luɣluh,147_swim
i-marax,148_flyverb
-ᵑguᵐbaɣna,149_throw
u-lɪŋsisuarna,150_hide
-kanmoŋ,153_yawn
ien_ᵐbor,155_dream
u-iɛn,156_sleep
i-mur,157_live
i-mes,158_die
-ᵐbules-ᵐbuna,159_kill
-lisa,160_see
u-roŋe,161_hear
u-mɛn,163_laugh
-ᵐbiᵐbil,165_blow
i-loŋ,166_burn
u-sɛⁿde,167_sew
hu-ᵐbəlɛᵐbəlesa,168_pound
u-ᵐbulesa,169_hit
u-tea,170_cut
-teɪᵐborea,171_split
-ɣila,172_dig
-ᵑgoɣo,173_hunt
-vusa,174_hold
-metax,175_fear
u-lɛvɪⁿduana,176_count
-ŋavaŋaɸ,177_breathe
u-ᵐbaŋsa,179_tieup
u-ᵐbumsa,180_squeeze
-ⁿdetɪmb,181_swell
u-tena,182_say
-korxore,183_scratch
u-tira,184_stab
-ᵑgole,185_buy
u-finoɣe,186_steal
-vorona,187_plant
hu-vinia,189_shoot
u-ma,190_work
-saŋave,191_open
