Volto,English Translation
naruna,48_hand
mahu,17_left
matua,16_right
natuana,52_leg
surata,140_walk
naᵐbua,113_roadpath
eumaj,139_come
eⁿdoaj,145_turn
elolɔs,147_swim
na motamota,129_dirty
na tanuʰapu,94_dust
na wilina,55_skin
na maⁿduna,51_back
na bʷelena,444_stomach
naʋatuna,54_bone
namaritana,57_intestines
naʰandikap,59_liver
na susuna,58_breast
paona,49_shoulder
eatae,315_know_understand
emiⁿdoⁿdoa,458_to_think
e mataku,175_fear
naⁿdaana,53_blood
nabaʰuna,40_head
nakoⁿdolona,50_neck
na loluna,41_hair
naŋgisuna,43_nose
esoʋasoʋa,177_breathe
oedoŋgaⁿdamona,434_sniff
naŋgolena,45_mouth
naᵐ batina,47_tooth
na menana,46_tongue
ɛ muru,163_laugh
ɛŋgaj,164_cry
ɛlua,178_vomit
ɛpupuraj,154_spit
ɛ ŋginikani,151_eat
ɛ ŋgatikati,464_to_chew
ɛmerenavinaŋ,188_cook
ɛ munu,152_drink
ɛ ŋgatia,212_to_bite
ɛⁿdomia,448_suck
na daliŋgana,44_ear
ɛ doŋgoe,161_hear
na matana,42_eye
ɛ punusia,160_see
ɛ mamoa,153_yawn
ɛ matunu,156_sleep
ɛ detemaⁿdu,144_liedown
ekperea,155_dream
esasake,142_sit
eⁿdueleana,141_stand
naatamoli,306_person
kanao,73_man
ŋgoroj,74_woman
pipija,75_child
kanao aninao,79_husband
ŋgoroj aninao,80_wife
te:te,77_mother
po:po,78_father
nasuma,111_house
na:su,455_thatch
naŋgisana,76_name
k͡panoai,182_say
natali,112_rope
sokisokija,179_tieup
ndurituri,167_sew
epa:lako,173_hunt
esuja,189_shoot
lawoe,184_stab
batia,169_hit
e panako,186_steal
k͡papunuean,159_kill
emate,158_die
emauri,157_live
eŋgaroe,183_scratch
ɛ ⁿdaja,170_cut
nakao,107_wood
ɛⁿdaporaj,171_split
ɛ makali,121_sharp
ɛk posou,122_bluntdull
ekposiwosi,190_work
elalawo,187_plant
mataⁿdoa,465_to_choose
episou,302_to_grow
eⁿdop,181_swell
epowosaŋga,180_squeeze
laʋia,174_hold
ŋgilia,172_dig
e paŋgoto bia,185_buy
ɛ savaŋgia,191_open
ek pokavokati,168_pound
e naⁿdikinia,149_throw
ɛ dowo,143_fall
ko:ria,60_dog
ma:nu,61_bird
ato:lu,69_egg
namaʰuna,72_feather
nafaruna,71_wing
eⁿdiri,148_flyverb
kusue,66_rat
nabokas,336_meat
namuta,258_fat
na bwena,70_tail
ma:ata,63_snake
matanata:no,64_worm
ku:tu,65_louse
na:mo,68_mosquito
kaluma,67_spider
naika,62_fish
ɛ maⁿdaⁿda,130_rotten
arana,105_branch
nauluna,106_leaf
na koan,104_root
napuma,109_flower
nawa:na,102_fruit
na mʷenao,108_grass
natano,93_earthsoil
vatu,92_stone
naworaone,95_sand
noaj,86_water
noajsara,286_flow
natasi,88_sea
natasi,419_salt
noajmate,87_lake
namatasikai,103_woodsforest
nakoroatelaŋgi,85_sky
atelaŋgi,83_moon
masoe,84_star
namaraʋ,97_cloud
namaʋu,340_fog
u:sa,96_rain
tovae,99_thunder
navila,100_lightning
nalaŋgi,98_wind
sosuji,165_blow
pivitun,483_hot
malaⁿti,134_cold
naraŋgara,135_dry
ɛ memeʰu,136_wet
ɛ maⁿdaŋga,131_heavy
nakapu,89_fire
bavaŋa,166_burn
naatsua,90_smoke
nataroapu,91_ash
e ŋgoŋgota,114_black
ɛⁿdare,115_white
ɛmijala,116_red
ɛ mʷiloloa,118_yellow
mamalakesa,117_green
ɛ ŋgiki,120_small
lapa,119_big
ɛpuru,426_short
eparao,328_long
emanifenife,457_thin
ematolu,456_thick
emasovakiki,359_narrow
ɛkbelewelea,489_wide
ebituʋitunu,125_painfulsick
ɛ maliɛre,123_shyashamed
matua,124_old
pao,137_new
ek pʷia,126_good
esa:,127_bad
eleana,128_correcttrue
boŋgi,82_night
naheleatia,81_day
natao,15_year
aurawaina,33_when
eⁿdasulukia,150_hide
e paŋgi,146_climb
emaŋgo,39_ininside
elaŋgi,37_above
meluna,38_below
eⁿdiŋgia,35_this
walaure,36_that
malantiŋ,133_near
uʋeasa,132_far
esava,32_where
kinao,18_i
niŋgo,23_thou
nai,26_heshe
niⁿgiⁿdow,22_weallincl
kinami,19_weallexcl
niⁿŋgiⁿdalua,20_webothincl
niŋiⁿdaⁿdua,21_webothexcl
nimu,25_youall
nemoroⁿdua,24_youboth
ŋara,27_theyall
nimuⁿdua,28_theyboth
nasava,30_what
sɛj,31_who
teamamao,138_other
saranalea,195_all
ŋgo,199_and
waina,311_if
eⁿdapalesa,34_how
ɛa,29_nonot
peʋea,176_count
sikaj,1_one
ⁿdua,2_two
ⁿdolu,3_three
pa:ti,4_four
li:ma,5_five
latesa,6_six
larua,7_seven
lotolu,8_eight
lovɛti,9_nine
rualimaⁿdua,10_ten
rualima dua,11_twenty
rualima lima,12_fifty
ponotia sikaj,13_onehundred
manu sikaj,14_onethousand
