Walapreng,English Translation
-sa,1_one
ɔ-ru,2_two
e-tɪl,3_three
a-vʉt͡s,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛ-pʉt,7_seven
e-wɪl,8_eight
ɛ-siʉ,9_nine
asɪŋavʉl,10_ten
oŋol_o-ru,11_twenty
oŋol_ɛ-lim,12_fifty
oŋo_sɪŋavʉl,13_onehundred
sia,15_year
ne-matu,16_right
ne-maiɾi,17_left
niɔ,18_i
kierʧile,19_weallexcl
kier,22_weallincl
nik,23_thou
kiami,25_youall
ni,26_heshe
niri,27_theyall
mi-ʧige,29_nonot
ⁿt͡se,30_what
ⁿt͡segɔ,30_what
sie,31_who
nimbe,32_where
ɛ-rpɛsi,34_how
ŋok,35_this
ŋoxwano,36_that
-mare,37_above
-mɛlvɛn,38_below
-olon,39_ininside
batu-k,40_head
ron,41_hair
ron_batu-m,41_hair
nɛ-mtɛ-k,42_eye
ᵑgunʧi-m,43_nose
ᵐboro-k,44_ear
nɛ-mɛ-k,46_tongue
nɛ-luwo-k,47_tooth
nɛ-vɛrɛ-k,48_hand
berpari-k,49_shoulder
boʧala-k,50_neck
ⁿdotɛrɛ-k,51_back
bəla-k,52_leg
ra,53_blood
ʧi-k,54_bone
nɛ-vɛlʉlʉ-n,55_skin
ⁿdepai-k,56_belly
ʧinɛ-k,57_intestines
nɛ-rɛ-k,59_liver
ᵑgəli,60_dog
nɪ-mɛn,61_bird
na-msal,62_fish
nɘ-mʷɛt,63_snake
ⁿdoto,64_worm
na-ut,65_louse
na-riɸ,66_rat
ne-la,67_spider
nom,68_mosquito
rulu-n,69_egg
no-lovolɛ-n,70_tail
na-ᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
nɪ-vsevin,74_woman
bɛperiŋ,75_child
ne-sɛ-m,76_name
mɛrɛ-n,77_mother
tɛtɛ_se-n,78_father
dewɛn_sɛ-n,79_husband
nɪvsɛn_se-n,80_wife
na-trin,81_day
na-tubuŋ,82_night
na-vʉl,83_moon
nə-mt͡sʉ,84_star
baxrɛnɛ,85_sky
nu-ɔ,86_water
lanəmb,87_lake
ⁿdes,88_sea
na-mbə,89_fire
no-ʃunin,90_smoke
mɛʃjʉ,91_ash
nɪ-βɪt,92_stone
ⁿdan,93_earthsoil
ᵐbetimau,94_dust
no-wanan,95_sand
na-us,96_rain
lɪŋ,98_wind
ᵐbɛlvɛr,99_thunder
na-βil_mivil,100_lightning
nɪ-viso-n,101_meatflesh
no-wain,102_fruit
nɛ-təra,103_woodsforest
lapɛ-n,104_root
rɛŋsi-n,105_branch
roin,106_leaf
na-i,107_wood
na-mʉs,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdel,112_rope
sɛl,113_roadpath
mi-mɘtmɘt,114_black
mu-wis,115_white
mi-veŋ,116_red
mɛ-namʉs,117_green
mi-aʧaʧɛn,118_yellow
mi-lɛp,119_big
mu-wɛlele,120_small
mu-ʃo,121_sharp
-muŋol,122_bluntdull
mi-manun,123_shyashamed
mi-tara,124_old
mi-rɛs,126_good
mi-ziʧ,127_bad
he-laβurutun,128_correcttrue
mu-poroporo,129_dirty
mu-mʊtmʊt,130_rotten
-roβ,131_heavy
-mori,133_near
-namlas,134_cold
-mimɛs,135_dry
-mimim,136_wet
mi-mɛr,137_new
ᵐbe-me,139_come
-mɛl,140_walk
mo-tur,141_stand
mɪ-lek,142_sit
mi-ʧʉ,143_fall
po-rori,145_turn
mi-sa,146_climb
me-loŋ,147_swim
mu-ro,148_flyverb
mo-wɪʧeni,149_throw
me-seluani,150_hide
ma-in,151_eat
mɛ-mɪni,152_drink
mɛ-nɪma,153_yawn
mɛ-ltʉ,154_spit
porporo,155_dream
-matur_porporo,155_dream
-matur,156_sleep
mi-mauru,157_live
mi-mɪʧ,158_die
mɛ-rɛʧ-bini,159_kill
mɪ-lesi,160_see
m-ore,161_hear
mɛ-tɛn,162_sniffsmell
hɪ-mɛn,163_laugh
mə-tiŋ,164_cry
mi-sɛɾe,165_blow
m-in,166_burn
mo-rli,167_sew
mə-rɛʧarɛʧi,168_pound
mɛ-rɛʧi,169_hit
ma-tai,170_cut
mə-taxwari,171_split
mɪ-βeʧi,172_dig
-roʧi,173_hunt
mu-tortotoni,174_hold
mɛ-mɛtoʰ,175_fear
mɛ-ve,176_count
mo-lu,178_vomit
ᵐbɛ-sɛre,179_tieup
me-βivani,180_squeeze
mu-sol,181_swell
mo-worai,182_say
mo-rʃi,183_scratch
mo-ʧuʧi,184_stab
mu-woli,185_buy
ma-vɛnai,186_steal
mo-ruwi,187_plant
ma-tabu,188_cook
mɛ-lue,189_shoot
-maʧiŋ,190_work
