Mangalava,English Translation
hɛk,48_hand
hɛkmɛjl,17_left
hekmatu,16_right
anɛneteke,52_leg
kuʷaːl,140_walk
sise,113_roadpath
amae,139_come
kelɛs,145_turn
kikɔl,147_swim
taʰɔl,129_dirty
tansisi,94_dust
ʰiliʋɛn,55_skin
ɛjselɛn,51_back
faŋgɛn,444_stomach
sijɛn,54_bone
taʰataʰat,57_intestines
ejatɛn,59_liver
susumon,58_breast
fatisiɛn,49_shoulder
rɛndemijɛn,315_know_understand
rɛndemijɛn,458_to_think
mɛtao,175_fear
raːn,53_blood
fatɛn,40_head
ʰireʰɛn,50_neck
ʰeləm,41_hair
puliŋgasum,43_nose
musɛ,177_breathe
puliŋgasum,434_sniff
umɛn,45_mouth
loʰom,47_tooth
meʰɛn,46_tongue
keʰisik,163_laugh
miːs,164_cry
kɛjmulu,178_vomit
mutɛv,154_spit
kanian,151_eat
katiaːt,464_to_chew
sinaoŋ,188_cook
tɛj muni,152_drink
katiɛnloʰon,212_to_bite
kɛi rimi,448_suck
saliŋgom,44_ear
kɛj loŋge,161_hear
metɛn,42_eye
lesi,160_see
mama,153_yawn
kɛj matil,144_liedown
kɜj matil pʷepʷe,155_dream
toⁿdan,142_sit
kej mea,141_stand
metɛnda,306_person
malaos,73_man
aʰɛn,74_woman
eʰon,75_child
aʰɛn onak,79_husband
metɛn onak,80_wife
itao,77_mother
itɛt,78_father
ɛjm,111_house
sisi,455_thatch
ʰitɛn ʰisɛn,76_name
ʰitɛnʰi,182_say
ʋijao,112_rope
parkati,179_tieup
tilikati,167_sew
ajtajitilɛn,362_needle
 apalao,173_hunt
tupa,189_shoot
saːli,184_stab
ŋwasi,169_hit
key vena,186_steal
kʷasiʰɛmat,159_kill
matiɛn,158_die
moʰul,157_live
kaːli,183_scratch
teʰɛj,170_cut
aj,107_wood
taʋaːsi,171_split
kaʰan,121_sharp
rɔkaⁿde,122_bluntdull
kɛj mum,190_work
luʰwi,187_plant
kɜj riʰe,465_to_choose
key lekati,302_to_grow
mutɛv,181_swell
kɛj aʰuseni,180_squeeze
kurukati,174_hold
iliː,172_dig
huliːlaːti,185_buy
seʰa,191_open
 kititi,168_pound
sonibaʰa,149_throw
mɔt,143_fall
huliː,60_dog
aman,61_bird
ɔrɛlit,69_egg
ʰelɛn aman,72_feather
fatisin,71_wing
ᵐbuka,148_flyverb
asu,66_rat
orɔpus,336_meat
rao,258_fat
fatikɛn,70_tail
amɔt,63_snake
aselat,64_worm
oʰut,65_louse
anam,68_mosquito
ramola,67_spider
mesao,62_fish
fotahe,130_rotten
aŋgo jaʰe,105_branch
astɛː,105_branch
owaʰe,106_leaf
lite,104_root
umepae,109_flower
ɛjte,102_fruit
oʰumunae,108_grass
atan,93_earthsoil
aʰat,92_stone
vejɛn,95_sand
oaj,86_water
oajmɔe,286_flow
atas,88_sea
atas,419_salt
vilral,87_lake
utvɔlvɔl,103_woodsforest
tɛjlaŋ,85_sky
avati,83_moon
hitu,84_star
maʰama,97_cloud
oʰut ranɛn,340_fog
foʰulul,96_rain
aʰɛl,99_thunder
eʰaŋ,100_lightning
muvin,98_wind
maⁿdil,165_blow
owus,483_hot
memɛs,135_dry
memɛr,136_wet
meas,131_heavy
aʰaŋg,89_fire
aʰaŋg kan leni,166_burn
eas,90_smoke
fulimeas,91_ash
malikelik,114_black
mwo,115_white
vilvili,116_red
memeasɛn,117_green
ʰaʋiʋi,120_small
mariso,119_big
tamure,426_short
taʋea,328_long
maʰɛnɛn,457_thin
matetɛl,456_thick
veraʰerae,359_narrow
marisou,489_wide
manu,125_painfulsick
memoʰu,123_shyashamed
matu,124_old
ʰɛteaʰo,137_new
taʰos,126_good
tiːsa,127_bad
maːl,128_correcttrue
foŋgiɛn,82_night
meneᵃj,81_day
oʰu,15_year
apoŋgsa,33_when
kiliŋgsueni,150_hide
feʰaʰo,146_climb
iɛn,202_at
neʰim,39_ininside
nesa,37_above
netan,38_below
kurie,35_this
keʋa,36_that
fezesal,133_near
soʰutɛn,132_far
kave,32_where
enao,18_i
keik,23_thou
keji,26_heshe
jatɛːl,22_weallincl
hiːr,19_weallexcl
jaːlu,20_webothincl
kɔmal,21_webothexcl
kamiː,25_youall
kamɛl,24_youboth
kejil pasi,27_theyall
kejlu,28_theyboth
asaː,30_what
isɛj,31_who
tesav,138_other
kejiːl,195_all
ka,199_and
mɔnak,311_if
mɔkɑʋe,34_how
fuo,29_nonot
huli,176_count
taj,1_one
elu,2_two
etɛl,3_three
eʰat,4_four
elim,5_five
hajitae,6_six
hulu ,7_seven
utɛl,8_eight
huʰat,9_nine
ʰalualim,10_ten
ʰanumao,11_twenty
ʰanumaolim,12_fifty
ʰanusoptaj,13_onehundred
