Nsungwadianaumumu,English Translation
tewa,1_one
rua,2_two
tolu,3_three
fatɪ,4_four
tavalima,5_five
lavatea,6_six
lavarua,7_seven
laβarua,7_seven
lavatolu,8_eight
laβatolu,8_eight
lafat,9_nine
laβat,9_nine
saᵑɡul,10_ten
saŋul,10_ten
saxulrua,11_twenty
saxultewaⁿdawaltavalima,12_fifty
ŋʷeⁿdolu,13_onehundred
miltewa,14_onethousand
tau,15_year
matoa,16_right
xalawa,17_left
nau,18_i
kaimi,19_weallexcl
xiⁿdarua,20_webothincl
kamirua,21_webothexcl
xiⁿda,22_weallincl
niko,23_thou
kamurua,24_youboth
kamu,25_youall
ia,26_heshe
irarua,28_theyboth
tiɣai,29_nonot
ᵐbea,30_what
sei,31_who
ᵐbea,32_where
safkʷoŋi,33_when
ⁿdaɣasnia,34_how
kikaka,35_this
kifano,36_that
lewoŋana,37_above
lefeina,38_below
tololona,39_ininside
kʷatuŋa,40_head
uluŋa,41_hair
mataŋa,42_eye
lisuŋa,43_nose
kʷoroku,44_ear
falaŋa,45_mouth
luemeŋa,46_tongue
liwoŋa,47_tooth
limai,48_hand
tikʷaŋiŋa,49_shoulder
ⁿdaloŋa,50_neck
tawoŋa,51_back
taŋʷoŋa,51_back
roŋonda,52_leg
ⁿdai,53_blood
suriŋa,54_bone
finuŋa,55_skin
takŋʷiŋa,56_belly
tineŋa,57_intestines
susuŋa,58_breast
faraŋa,59_liver
wiriu,60_dog
manu,61_bird
masi,62_fish
ŋʷoxata,63_snake
sulate,64_worm
wutu,65_louse
xarifi,66_rat
taɣaɣa,67_spider
taxaɣa,67_spider
namu,68_mosquito
toli,69_egg
xolona,70_tail
ᵐbanina,71_wing
uluna,72_feather
tatua,73_man
taiŋʷa,74_woman
mʷera,75_child
ŋʷera,75_child
sasaŋa,76_name
fefe,77_mother
feβe,77_mother
tata,78_father
tuᵐbuku,79_husband
nok_taiŋʷa,80_wife
marani,81_day
kʷoŋi,82_night
ᵑgʷoŋi,82_night
wula,83_moon
ula,83_moon
fitiu,84_star
taetae,85_sky
ᵐbei,86_water
kʷilo,87_lake
tasi,88_sea
afi,89_fire
asu,90_smoke
diɣefu,91_ash
fato,92_stone
tano,93_earthsoil
ⁿdiɣefu,94_dust
one,95_sand
reu,96_rain
taetae,97_cloud
laŋi,98_wind
manfara,99_thunder
waŋa,100_lightning
ᵐbixi,101_meatflesh
oixeiɣa,102_fruit
tamatua,103_woodsforest
xoarina,104_root
reina,105_branch
ⁿdauna,106_leaf
xeiɣa,107_wood
falisi,108_grass
mamtas_xeiɣa,109_flower
takura,110_thatchroof
fale,111_house
xae,112_rope
sala,113_roadpath
ososo,114_black
siŋara,115_white
memea,116_red
aŋʷaxa,118_yellow
menasi,119_big
fafae_riki,120_small
xaxani,121_sharp
tixaxanitea,122_bluntdull
embieŋ_memea,123_shyashamed
tamaraɣai,124_old
xofi,125_painfulsick
wia,126_good
xʷia,126_good
seseta,127_bad
xarwia,128_correcttrue
ᵐbulua,129_dirty
ⁿdarʊ,130_rotten
weⁿda,131_heavy
kifaraⁿdu,132_far
firtaxe,133_near
maⁿdiŋi,134_cold
mamasa,135_dry
kʷokʷoɣa,136_wet
anxarakua,137_new
iranlambata,138_other
sumai,139_come
rasu,140_walk
tura,141_stand
tosuɣo,142_sit
ŋʷoⁿdaŋe,143_fall
woⁿdaŋɪ,143_fall
efa,144_liedown
eva,144_liedown
eβa,144_liedown
sorisa,145_turn
fenaɣa,146_climb
xaɣaru,147_swim
xaxaru,147_swim
xaxa,148_flyverb
wosax_sonia,149_throw
taŋniɣi,150_hide
tauniɣi,150_hide
xanxani,151_eat
ima,152_drink
tarŋafa,153_yawn
taraŋava,153_yawn
xura,154_spit
kʷore,155_dream
maturu,156_sleep
awe,157_live
mate,158_die
kʷisian_mate,159_kill
ɛtɛ,160_see
roŋo,161_hear
ᵐbunina,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
oⁿda,166_burn
firoxia,167_sew
ⁿdirⁿdirŋax,168_pound
kʷisi,169_hit
tefe,170_cut
teve,170_cut
titia,171_split
xili,172_dig
litkʷoe,173_hunt
tora,174_hold
ruaxa,175_fear
falu,176_count
refnalaŋi,177_breathe
lulua,178_vomit
lifita,179_tieup
woro,180_squeeze
ŋʷoro,180_squeeze
loloᵐbu,181_swell
feti,182_say
takara,183_scratch
susuɣa,184_stab
woli,185_buy
xʷoli,185_buy
ᵐbalu,186_steal
riwʊ,187_plant
riɣʷo,187_plant
kuki,188_cook
fene,189_shoot
ⁿdamasiŋa,190_work
saŋafia,191_open
