Nindelawa,English Translation
-sei,1_one
xowɔ,2_two
-tl,3_three
-vɛs,4_four
-sɛlme,5_five
ⁿdumosoi,6_six
-manaxowɔ,7_seven
-manetl,8_eight
-malaves,9_nine
naðlaᵑɡal,10_ten
naðlaᵑɡal_sei,10_ten
naðlaᵑgal_xowɔ,11_twenty
naðlaᵑgal_selme,12_fifty
naðlaᵑgal__naðlaᵑgal_ᵑgoxo_utuve_sei,13_onehundred
nɛ-toh,15_year
ⁿdɛs-modnə,16_right
ⁿdɛl-mix,17_left
kənɛ,18_i
kamɛm,19_weallexcl
kɪtax,20_webothincl
kɪtɛ,22_weallincl
nuᵑk,23_thou
kamu,25_youall
niɛ,26_heshe
naxa,27_theyall
naxa_xowɔ,28_theyboth
sɪke,29_nonot
ⁿde,30_what
nane,31_who
mɛne,32_where
veran,33_when
mamɪna,34_how
ioŋa,35_this
taɣaiva,36_that
-ɛere,37_above
-βɛne,38_below
-lele,39_ininside
nu-ᵐbut-e,40_head
n-ɛlput-e,41_hair
nɛ-mɛtɛ-nɛ,42_eye
no-ŋuna-n,43_nose
nɪ-ⁿdɪliŋa-n,44_ear
no-ᵐboŋo-n,45_mouth
nɛ-lɪmɛ-nɛ,46_tongue
niᵐʙaɣian,47_tooth
nu-ᵐbutevəxə,49_shoulder
ᵐbolowoinɛ,50_neck
ni-tuku-m,51_back
no-ᵐbul-ɛ,52_leg
na-re,53_blood
no-ᵐboðoŋɔ,54_bone
nowoʔmite,55_skin
nɪ-vɪtu-m,56_belly
nɛ-sɛ-nə,57_intestines
no-mʷomʷo,58_breast
nu-ᵐbupunɛ-nɛ,59_liver
kaːpox,60_dog
nɛ-mɛn,61_bird
ni-miaða,62_fish
na-mate,63_snake
ne-ᵑgeles,64_worm
no-ᵑgut,65_louse
kairate,66_rat
nɛ-taða,67_spider
na-maðap,69_egg
ne-lᵐbuse,70_tail
ne-lvaxa,71_wing
ne-le,72_feather
nu-mugut,73_man
watiwax,74_woman
ᵐboʔoilelo,75_child
nɪ-kia-n,76_name
nai,77_mother
pap,78_father
kaiwut_akɪnɛ,79_husband
watawox-akɪnɛ,80_wife
ðahan,81_day
liβɛte,82_night
nɛ-βɛ,83_moon
na-nmisi,84_star
mɪlɪᵑgɛ,85_sky
no-woi,86_water
no-woi_nɪ-vɪnɪmp,87_lake
nɛ-tɛs,88_sea
neᵐʙ,89_fire
-sumoxo,90_smoke
-sumoxo_ᵐbiavɛne,90_smoke
nɪ-ᵐbuniɛp,91_ash
nɛ-vɛt,92_stone
nɛ-tɛne,93_earthsoil
nɛ-ᵐboniɛp,94_dust
nɪ-ᵐbinwane,95_sand
nu-wɔ,96_rain
na-ᵐban,97_cloud
na-ðaŋ,98_wind
ni-βule,99_thunder
ni-βule_ᵑgu-ᵑgulo,100_lightning
no-on,101_meatflesh
no-on_ᵐbʷɔs,101_meatflesh
na-wan-ne,102_fruit
ðlateᵐbi,103_woodsforest
na-ᵑgaxwa-ne,104_root
na-nsɪxa,105_branch
nu-wɔxɔ,106_leaf
n-ei,107_wood
nɛ-soᵑgone,108_grass
no-xoite,110_thatchroof
na-mi,111_house
nɛ-tɛl,112_rope
na-ðe,113_roadpath
-mite,114_black
-mʉs,115_white
-miaða,116_red
melɪgɪse,117_green
-lʉt,118_yellow
-tlɛpe,119_big
-lolo,120_small
-maŋal,121_sharp
-maðe,123_shyashamed
kaiwut,124_old
-miaʔ,125_painfulsick
-ⁿda,126_good
-ⁿdaᵑɡɛ,126_good
-pelawas,127_bad
ⁿda-maʔas,128_correcttrue
naᵑɡaniene,129_dirty
-mom,130_rotten
-luᵐʙ,131_heavy
samaᵑɡe,133_near
-nɛmɛðaʔ,134_cold
maɣaɣas,135_dry
-luᵐʙ,136_wet
-βeβo,137_new
tlaʔ,138_other
ko-ɸul,139_come
kupðoᵑkote,140_walk
-taxse,141_stand
-supɔ,142_sit
-sum,143_fall
-sum_ðlatan,143_fall
-mitox_ðatanɛ,144_liedown
-iaxpɪkɪs,145_turn
kup-aʔ,146_climb
-ⁿdɛnⁿdɛn,147_swim
-suᵐbro,149_throw
-suᵐbro_ⁿdox,149_throw
-tuðaðaʔ,150_hide
xaʔan,151_eat
-mɪn,152_drink
-xoi,154_spit
-lɪn_vaxaje,155_dream
-mitox,156_sleep
mɔwɔx,157_live
-mɛs,158_die
-xos-ᵐbn,159_kill
-li,160_see
-xoŋɛ,161_hear
ŋaxa-ᵐbune,162_sniffsmell
-vɪtumɔ,163_laugh
-xo,164_cry
-vɪvaxɔp,165_blow
ᵐbiavan,166_burn
kuptautox,167_sew
slesle,168_pound
-sɪm,170_cut
-sɪᵐbax,171_split
-kɪl,172_dig
io-xoxomɛn,173_hunt
kalɛl,174_hold
-metaʔ,175_fear
-vivox,176_count
-ŋaxa,177_breathe
-liluɔ,178_vomit
-wus,179_tieup
-wus_titu,179_tieup
-ᵐbuš,180_squeeze
-tiᵐm,181_swell
xu-ᵐbɪti,182_say
i-ɔx,183_scratch
kup-təx,184_stab
-ᵐbul,185_buy
-vɛnaʔ,186_steal
-lap,187_plant
-tntn,188_cook
-tupuʒ,189_shoot
-xaʔ,190_work
-səx,191_open
