Nasvangfarun,English Translation
ᵑga-ʧɪkai,1_one
ᵑga-ru,2_two
ᵑga-rl,3_three
ᵑga-vaʧ,4_four
ᵑga-lɪm,5_five
lɪmɪru-ʧkai,6_six
lɪmaɣau-ru,7_seven
lɪmaɣaa-rl,8_eight
ɣar-paʧ,9_nine
a-sɪŋavʊr,10_ten
nɛɣenaɣo-ʧɪkai,11_twenty
aɣenaɣa-lɪm,12_fifty
na-sɪɣao,15_year
ti-ɣavuʰ,16_right
ti-mair,17_left
aɣanau,18_i
mæⁿdʳi,19_weallexcl
ⁿdararu,20_webothincl
mæruni,21_webothexcl
ⁿdaripʷal,22_weallincl
ɣajiŋk,23_thou
mʊⁿdʳi,24_youboth
aŋai,26_heshe
ari,27_theyall
araru,28_theyboth
ᵑga-mar,29_nonot
nisivai,30_what
asi,31_who
ambi,32_where
i-kɪnaᵐban,34_how
ŋaisao,35_this
-amɛx,37_above
-bavuɣər,38_below
nə-ᵐbʷarɪ-ŋk,40_head
næ-misəβul,41_hair
na-mər-n,42_eye
na-ᵑgunʃu-n,43_nose
ⁿdʳɛliŋə-n,44_ear
ᵐbaŋo-n,45_mouth
melɪnwu-n,46_tongue
na-luvʷo-n,47_tooth
nɛ-vɛra-ŋk,48_hand
ᵐbarovʃu-ŋk,49_shoulder
nə-ɣɛnwu-n,50_neck
nɪ-maⁿdrɪ-ŋk,51_back
na-le-ŋk,52_leg
ⁿdʳe,53_blood
na-ᵐʙulᵐʙul,54_bone
na-ɣulɣul,55_skin
na-ᵐbaɣabu-ŋk,56_belly
ni-ʧɪnɛ-n_naɣanao,57_intestines
næ-ʃuʃu-n,58_breast
na-maᵐbʷɪ-n,59_liver
lipax,60_dog
nɪ-mæn,61_bird
na-jix,62_fish
nɪ-mʷar,63_snake
buᵐbəɣao,64_worm
na-ɣor,65_louse
aʃu,66_rat
naŋau,67_spider
n-nam,68_mosquito
mavɪⁿdʳʊr,69_egg
næ-ᵐbɪʧʊ-n,70_tail
xaᵐbɪ-n,71_wing
næ-vulu-n,72_feather
nɛ-rɛn,73_man
næ-pɪnevʊr,74_woman
na-gare,75_child
na-ɣʧɪ-n,76_name
næna_sa-ŋk,77_mother
tata_sa-ŋk,78_father
nɛ-ren_sa-ŋk,79_husband
na-pɪnevʊr_sa-ŋk,80_wife
orumɪtas,81_day
nɪ-mæloŋk,82_night
na-ɣəᵐbaʧɪ,83_moon
nɪ-mʷaʧi,84_star
mælʊŋk,85_sky
no-xoi,86_water
nɪ-ras,88_sea
nɪ-xamp,89_fire
ᵑga-ᵐbʷas,90_smoke
nɪ-bar,92_stone
nɛ-ran,93_earthsoil
maʧiaɸ,94_dust
næ-ᵐbɪŋan,95_sand
na-uʃ,96_rain
nɪ-mæloŋk,97_cloud
laŋ,98_wind
na-horve,99_thunder
nɪ-kaᵐbl,100_lightning
na-vɪsox,101_meatflesh
nɪ-fʷaɣər,102_fruit
liɣaiɣai,103_woodsforest
na-haru-n,104_root
ᵐbʷaʧəɣɛr,105_branch
na-xai,107_wood
næ-pušun,109_flower
roiar,110_thatchroof
na-likanim,111_house
na-ɣao,112_rope
nɪ-sal,113_roadpath
ᵑga-mɛrmɛr,114_black
ᵑga-pʊx,115_white
ᵑga-paŋpaŋ,116_red
a-kɪʧɪn,117_green
a-lʉtlʉt,118_yellow
a-læmp,119_big
ᵑga-ᵐbɪsal,120_small
-ʧavʷi,121_sharp
ᵑga-ᵐʙut,122_bluntdull
-mɪɣax,123_shyashamed
nɪ-ɣevur,124_old
ɣa-mɪsax,125_painfulsick
ᵑga-bu,126_good
ᵑga-samʙ,127_bad
ᵑga-lamlam,128_correcttrue
-ʧaŋʧaŋk,129_dirty
ᵑga-moⁿdʳ,130_rotten
ᵑga-mɛɸ,131_heavy
-aʧuⁿdʳ,132_far
-pɛʧaŋk,133_near
ᵑga-mɛləɣas,134_cold
ᵑga-mɪmɛs,135_dry
ᵑga-mʊʧmʊʧ,136_wet
ᵑga-buwu,137_new
na-mai,139_come
na-van,140_walk
ᵑga-tɪlaŋ,141_stand
a-somp,142_sit
ᵑga-ⁿdəm,143_fall
ko-vʃani,145_turn
ᵑga-saχ,146_climb
na-ŋar,147_swim
ᵑga-sɪvox,148_flyverb
ᵑga-ᵐbuləɣani,149_throw
ᵑga-suani,150_hide
ᵑga-kan,151_eat
ᵑga-mun,152_drink
ᵑga-malʊl,153_yawn
ᵑga-purai,154_spit
na-ᵐburi,155_dream
ᵑga-pʷaʧ,156_sleep
a-maur,157_live
ᵑga-mæʧ,158_die
-ⁿtamuʃi-ᵑga-mæʧ,159_kill
ᵑga-lši,160_see
ᵑga-toni,161_hear
na-ᵐβʊ-n,162_sniffsmell
ᵑga-mɪn,163_laugh
ᵑga-raŋ,164_cry
ᵑga-ᵐbʷɪlᵐbʷɪl,165_blow
ᵑga-paŋ,166_burn
-ⁿtamuʃi,169_hit
ᵑga-ʧavi,170_cut
-ʧaporai,171_split
ᵑga-ʧiri,172_dig
-gao,173_hunt
ᵑga-tiŋau,174_hold
na-mɪrax,175_fear
ᵑga-pe,176_count
a-pərvɪn-laŋ,177_breathe
ᵑga-lu,178_vomit
-ᵐbaŋəʰi,179_tieup
ᵑga-sisi,180_squeeze
ᵑga-tumʙ,181_swell
ᵑga-kali,182_say
ᵑga-ᵑgarasi,183_scratch
ᵑga-ruri,184_stab
ᵑga-vuli,185_buy
ᵑga-bɪnaɣi,186_steal
-lumʷi,187_plant
ka-vini,189_shoot
ᵑgas,190_work
