Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	narawan, wan andrɛt	Bislama2, Bislama1	100	U+0061
-	+	ulu-i, tama-ᵑɡu	Elolovoli, Nsungwadiauta, Nmwerlap, Nsungwadianaone, Evuindondo, Nsungwadiatasmaor	100	U+002d
i	i	laitniŋ, pɪkinini	Bislama1, Bislama2, Nleonda	100	U+0069
u	u	jutufala, ɸulu	Nleonda, Nhavailombaha, Bislama1, Bislama2	100	U+0075
o	o	kolosap, kolkol	Nleonda, Bislama2, Bislama1, Nhavailombaha	100	U+006f
^n	n	niᵑɡo, neu	Nmwerlap, Esanasolokave, Bislama2, Bislama1, Sbiribiri, Slolovele, Wwalaha, Elolovoli, Nleovandue, Nsungwadiatasmaor, Nleonda, Nhavailombaha, Nsungwadianaumumu, Ssakao, Evuindondo	100	U+005e U+006e
ɛ	ɛ	wɛtwɛt, splɛtɛm	Bislama2, Bislama1	100	U+025b
r	r	tureɣi, kras	Nleonda, Bislama1, Nhavailombaha, Bislama2	100	U+0072
l	l	olfala, jutufala	Bislama1, Bislama2, Nleonda, Nhavailombaha	100	U+006c
t	t	jutufala, laitniŋ	Bislama2, Nleonda, Bislama1, Nhavailombaha	100	U+0074
n$	n	tutun, lolon	Bislama2, Bislama1, Elolovoli, Nmwerlap, Evuindondo, Slolovele, Sbiribiri, Wwalaha, Esanasolokave, Nleonda	100	U+006e U+0024
m	m	mamaha, tamaᵑɡu	Nhavailombaha, Bislama2, Wwalaha, Bislama1, Nleonda, Nleovandue, Evuindondo	100	U+006d
n	n	pɪkinini, hena	Nhavailombaha, Bislama1, Bislama2, Nleonda, Nleovandue	100	U+006e
i$	i	fifti, titi	Nleonda, Nhavailombaha, Bislama1, Bislama2	100	U+0069 U+0024
ɪ	ɪ	stɪkɪm, pɪʧɪn	Bislama2, Ctlnalembanarovorovo, Bislama1, Nmwerlap, Wwalaha, Slolovele, Ctlnalembanasawa, Ctltawetnarovorovo, Esanasolokave, Ctletawetnaviso, Ssakao, Sbiribiri, Ctlsungwadagarongnawo, Nsungwadiatasmaor	100	U+026a
e	e	memea, sesea	Nleonda, Nhavailombaha, Bislama1, Bislama2	100	U+0065
^m	m	maeto, maturu	Nleovandue, Nleonda, Nhavailombaha, Wwalaha, Bislama2, Bislama1, Evuindondo	100	U+005e U+006d
a$	a	jutufala, olfala	Nleonda, Bislama1, Bislama2, Nhavailombaha	100	U+0061 U+0024
s	s	maresu, ɸisiu	Slolovele, Nleonda, Nhavailombaha, Esanasolokave, Evuindondo, Ssakao, Bislama2, Bislama1, Nleovandue, Elolovoli, Sbiribiri, Wwalaha	100	U+0073
v	v	favin, lovavaki	Ssungagageasanvari, Sragaavavanvae, Elolovoli, Wwalaha, Nsungwadianaumumu, Ssakao, Nsungwadiatasmaor, Venentautealpalak, Bislama2, Ctltawetnarovorovo, Ctlnalembanarovorovo, Bislama1, Sbiribiri, Slolovele, Nsungwadiauta, Nleonda, Nmwerlap, Esanasolokave, Ctlsungwadagalalaundi	100	U+0076
e$	e	kʷie, matue	Nhavailombaha, Nleonda, Nleovandue, Bislama1, Bislama2	100	U+0065 U+0024
ɣ	ɣ	tureɣi, haβaɣi	Nhavailombaha, Nleonda, Nleovandue, Esanasolokave, Slolovele, Ssakao	100	U+0263
