Bislama2	Oce_Van_Bislama_Acc
Bislama1	Oce_Van_Bislama_Std
Nleonda	Oce_Van_Ambae_Nth_Leonda_Dl
Nhavailombaha	Oce_Van_Ambae_Nth_HavaiLombaha_Dl
Nleovandue	Oce_Van_Ambae_Nth_LeoVandue_Dl
Wwalaha	Oce_Van_Ambae_West_Walaha_Dl
Evuindondo	Oce_Van_Ambae_East_Vuindondo_Dl
Elolovoli	Oce_Van_Ambae_East_Lolovoli_Dl
Esanasolokave	Oce_Van_Ambae_East_SanaSolokave_Dl
Ssakao	Oce_Van_Ambae_Sth_Sakao_Dl
Slolovele	Oce_Van_Ambae_Sth_Lolovele_Dl
Sbiribiri	Oce_Van_Ambae_Sth_Biribiri_Dl
Nsungwadianaumumu	Oce_Van_Maewo_Nth_SungwadiaNaumumu_Dl
Nsungwadiatasmaor	Oce_Van_Maewo_Nth_SungwadiaTasmaor_Dl
Nmwerlap	Oce_Van_Maewo_Nth_Mwerlap_Dl
Nsungwadiauta	Oce_Van_Maewo_Nth_SungwadiaUta_Dl
Nsungwadianaone	Oce_Van_Maewo_Nth_SungwadiaNaone_Dl
Ctlsungwadagarongnawo	Oce_Van_Maewo_Ctl_SungwadagaRongnawo_Dl
Ctlsungwadangota	Oce_Van_Maewo_Ctl_SungwadaNgota_Dl
Ctlsungwadagalalaundi	Oce_Van_Maewo_Ctl_SungwadagaLalaundi_Dl
Ctlsungwadogarata	Oce_Van_Maewo_Ctl_SungwadogaRata_Dl
Ctlsungwadolagwaranuta	Oce_Van_Maewo_Ctl_SungwadolaGwaranUta_Dl
Ctletawetnaviso	Oce_Van_Maewo_Ctl_TawetNaviso_Dl
Ctlnalembanarovorovo	Oce_Van_Maewo_Ctl_NalembaNarovorovo_Dl
Ctltawetnarovorovo	Oce_Van_Maewo_Ctl_TawetNarovorovo_Dl
Ctlnalembanasawa	Oce_Van_Maewo_Ctl_NalembaNasawa_Dl
Sxalangibaetora	Oce_Van_Maewo_Sth_XalangiBaetora_Dl
Sragaavavanvae	Oce_Van_Maewo_Sth_RagaAvavanvae_Dl
Ssungagageavavanvae	Oce_Van_Maewo_Sth_SungagageAvavanvae_Dl
Ssungagageasanvari	Oce_Van_Maewo_Sth_SungagageAsanvari_Dl
Ssungagageavanbatai	Oce_Van_Maewo_Sth_SungagageAvanbatai_Dl
Venentautealpalak	Oce_Van_Mal_Nth_WSth_VenenTaute_Alpalak_Dl
Venentautebenenavet	Oce_Van_Mal_Nth_WSth_VenenTaute_Benenavet_Dl
Venentautebenmara	Oce_Van_Mal_Nth_WSth_VenenTaute_Benmara_Dl
Venentauteunmet	Oce_Van_Mal_Nth_WSth_VenenTaute_Unmet_Dl
Venentautehamax	Oce_Van_Mal_Nth_WSth_VenenTaute_Hamax_Dl
Espiegelsbaysolwota	Oce_Van_Mal_Nth_WNth_MaluaBay_EspiegelsBaySolwota_Dl
Espiegelsbaylitebral	Oce_Van_Mal_Nth_WNth_MaluaBay_EspiegelsBayLitebral_Dl
Espiegelsbayunspecified	Oce_Van_Mal_Nth_WNth_MaluaBay_EspiegelsBayUnspecified_Dl
Maluabaycoast	Oce_Van_Mal_Nth_WNth_MaluaBay_Coast_Dl
Maluabaypetarmul	Oce_Van_Mal_Nth_WNth_MaluaBay_Petarmul_Dl
Maluabaytiptir	Oce_Van_Mal_Nth_WNth_MaluaBay_Tiptir_Dl
Maluabaymarasup	Oce_Van_Mal_Nth_WNth_MaluaBay_Marasup_Dl
Najittanmial	Oce_Van_Mal_Nth_WNth_Najit_Tanmial_Dl
Nesetanmial	Oce_Van_Mal_Nth_WNth_Nese_Neneluamp_Dl
Nesesanboise	Oce_Van_Mal_Nth_WNth_Nese_Sanboise_Dl
Vaobeetehul	Oce_Van_Mal_Nth_ENth_Vao_Beetehul_Dl
Vaocanada	Oce_Van_Mal_Nth_ENth_Vao_Canada_Dl
Vaopeteri	Oce_Van_Mal_Nth_ENth_Vao_Peteri_Dl
Vaotorono	Oce_Van_Mal_Nth_ENth_Vao_Torono_Dl
Tiraxbotmelesnial	Oce_Van_Mal_Nth_ESth_Tirax_Botmelesnial_Dl
Tiraxmae	Oce_Van_Mal_Nth_ESth_Tirax_Mae_Dl
Tiraxbethel	Oce_Van_Mal_Nth_ESth_Tirax_Bethel_Dl
Tiraxolamb	Oce_Van_Mal_Nth_ESth_Tirax_Olamb_Dl
Tiraxbakru	Oce_Van_Mal_Nth_ESth_Tirax_Bakru_Dl
Tiraxorap	Oce_Van_Mal_Nth_ESth_Tirax_Orap_Dl
Atchinorap	Oce_Van_Mal_Nth_ESth_UWRA_AtchinOrap_Dl
Atchinsmallisland	Oce_Van_Mal_Nth_ESth_UWRA_AtchinSmallIsland_Dl
Walabotku	Oce_Van_Mal_Nth_ESth_UWRA_WalaBotku_Dl
Walaworprev	Oce_Van_Mal_Nth_ESth_UWRA_WalaWorprev_Dl
Walapetreros	Oce_Van_Mal_Nth_ESth_UWRA_WalaPetreros_Dl
Walapreng	Oce_Van_Mal_Nth_ESth_UWRA_WalaPreng_Dl
Ranotwalung	Oce_Van_Mal_Nth_ESth_UWRA_RanoTwalung_Dl
Ranopotora	Oce_Van_Mal_Nth_ESth_UWRA_RanoPotora_Dl
Ranochinambong	Oce_Van_Mal_Nth_ESth_UWRA_RanoChinambong_Dl
Uripivtautuvillage	Oce_Van_Mal_Nth_ESth_UWRA_UripivTautuVillage_Dl
Uripivtautu	Oce_Van_Mal_Nth_ESth_UWRA_UripivTautu_Dl
Uripivdurpif	Oce_Van_Mal_Nth_ESth_UWRA_UripivDurpif_Dl
Uripivpotnambe	Oce_Van_Mal_Nth_ESth_UWRA_UripivPotnambe_Dl
Wowolesarmalas	Oce_Van_Mal_Nth_Nth_Alavas_WowoLesarmalas_Dl
Wowowowo	Oce_Van_Mal_Nth_Nth_Alavas_WowoWowo_Dl
Alavaswowo	Oce_Van_Mal_Nth_Nth_Alavas_AlavasWowo_Dl
Alavasalavas	Oce_Van_Mal_Nth_Nth_Alavas_AlavasAlavas_Dl
Larevatfwishile	Oce_Van_Mal_West_Nth_Larevat_Fwishile_Dl
Larevatlarevat	Oce_Van_Mal_West_Nth_Larevat_Larevat_Dl
Larevatmosox	Oce_Van_Mal_West_Nth_Larevat_Mosox_Dl
Neveeicoast	Oce_Van_Mal_West_NCtr_Neveei_Coast_Dl
Neveeivinmavis1	Oce_Van_Mal_West_NCtr_Neveei_Vinmavis_Dl
Neveeivinmavis2	Oce_Van_Mal_West_NCtr_Neveei_Vinmavis2_Dl
Novoldixonreef	Oce_Van_Mal_West_Ctr_Novol_DixonReef_Dl
Novoltavendrua	Oce_Van_Mal_West_Ctr_Novol_Tavendrua_Dl
Novolbangir	Oce_Van_Mal_West_Ctr_Novol_Bangir_Dl
Nasarianwileven	Oce_Van_Mal_West_Ctr_Nasarian_Wileven_Dl
Nasarianngava	Oce_Van_Mal_West_Ctr_Nasarian_Ngava_Dl
Angavaedixonreef	Oce_Van_Mal_West_Ctr_Angavae_Angavae_Dl
Nahavaqbanour	Oce_Van_Mal_West_SCtr_Nahavaq_Banour_Dl
Nahavaqlembinwin	Oce_Van_Mal_West_SCtr_Nahavaq_Lembinwin_Dl
Nahavaqcarolinebay	Oce_Van_Mal_West_SCtr_Nahavaq_CarolineBay_Dl
Nahavaqloorndavo	Oce_Van_Mal_West_SCtr_Nahavaq_Loorndavo_Dl
Naatiwindua	Oce_Van_Mal_West_SCtr_Naati_Windua_Dl
Nindelawa	Oce_Van_Mal_West_SCtr_Ninde_Lawa_Dl
Nindeopmobamba	Oce_Van_Mal_West_SCtr_Ninde_Opmobamba_Dl
Nindelabo	Oce_Van_Mal_West_SCtr_Ninde_Labo_Dl
Nindewindua	Oce_Van_Mal_West_SCtr_Ninde_Windua_Dl
Nindesouthwestbay	Oce_Van_Mal_West_SCtr_Ninde_SouthwestBay_Dl
Nahaaimbatmbang	Oce_Van_Mal_West_Sth_Naahai_Mbatmbang_Dl
Naahaimbatvanui	Oce_Van_Mal_West_Sth_Naahai_Mbatvanui_Dl
Nahaaimalfaxal	Oce_Van_Mal_West_Sth_Naahai_Malfaxal_Dl
Naahaitoman	Oce_Van_Mal_West_Sth_Naahai_TomanIsland_Dl
Axambsmallislandmaliambor	Oce_Van_Mal_West_Sth_Axamb_SmallIslandMaliambor_Dl
Axambsmallisland	Oce_Van_Mal_West_Sth_Axamb_SmallIsland_Dl
Neverversakan	Oce_Van_Mal_East_NCtr_Neverver_Sakan_Dl
Neververmindu	Oce_Van_Mal_East_NCtr_Neverver_Mindu_Dl
Neververlimap	Oce_Van_Mal_East_NCtr_Neverver_Limap_Dl
Tapemaraxusmae	Oce_Van_Mal_East_NCtr_Tape_Mae_Dl
Tapetautu1	Oce_Van_Mal_East_NCtr_Tape_Tautu_Dl
Namanlitzlitz	Oce_Van_Mal_East_Ctr_Naman_Litzlitz_Dl
Ngatataremb	Oce_Van_Mal_East_Ctr_Ngata_Taremb_Dl
Unuanoferai	Oce_Van_Mal_East_SCtr_Unua_Noferai_Dl
Unuambatumbo	Oce_Van_Mal_East_SCtr_Unua_Mbatumbo_Dl
Unuabenuamor	Oce_Van_Mal_East_SCtr_Unua_Benuamor_Dl
Pangkumudatisman	Oce_Van_Mal_East_SCtr_Pangkumu_Datisman_Dl
Pangkumundarmif	Oce_Van_Mal_East_SCtr_Pangkumu_Ndarmif_Dl
Nititakhatbol	Oce_Van_Mal_East_SCtr_Nitita_Nitita_Dl
Fiftikhatbol	Oce_Van_Mal_East_SCtr_Fifti_Fifti_Dl
Fiftimalmbor	Oce_Van_Mal_East_SCtr_Fifti_Malmbor_Dl
Tesmbolmelaklak	Oce_Van_Mal_East_SCtr_Tesmbol_Melaklak_Dl
Tesmbolusus	Oce_Van_Mal_East_SCtr_Tesmbol_Usus_Dl
Netimbbangir	Oce_Van_Mal_East_Sth_Aulua_Netimb_Dl
Aulualoxseasolokh	Oce_Van_Mal_East_Sth_Aulua_LoxseAsolokh_Dl
Aulualoxselanfitfit	Oce_Van_Mal_East_Sth_Aulua_LoxseLanfitfit_Dl
Xolimbwenelang	Oce_Van_Mal_East_Sth_Mbwenelang_Xoli_Dl
Burmbartengan	Oce_Van_Mal_East_Sth_Burmbar_Tengan_Dl
Burmbarfartavo	Oce_Van_Mal_East_Sth_Burmbar_Fartavo_Dl
Burmbarburmbar	Oce_Van_Mal_East_Sth_Burmbar_Burmbar_Dl
Nisvaironevie	Oce_Van_Mal_East_Sth_Nisvai_Ronevie_Dl
Nisvaiblacksands	Oce_Van_Mal_East_Sth_Nisvai_Blacksands_Dl
Mandrifarun	Oce_Van_Mal_East_Sth_Nisvai_Farun_Dl
Mandrifaru	Oce_Van_Mal_East_Sth_Nisvai_Faru_Dl
Portsandwichlamap	Oce_Van_Mal_East_Sth_PortSandwich_Lamap_Dl
Portsandwichmerivar	Oce_Van_Mal_East_Sth_PortSandwich_Lamap2_Dl
Avoksmallisland	Oce_Van_Mal_East_Sth_Avok_SmallIsland_Dl
Avokhokai	Oce_Van_Mal_East_Sth_Avok_Hokai_Dl
Avokhokai2	Oce_Van_Mal_East_Sth_Avok_Hokai2_Dl
Uliveolurtes	Oce_Van_Mal_East_Sth_Uliveo_Lurtes_Dl
Uliveopelongk	Oce_Van_Mal_East_Sth_Uliveo_Pelongk_Dl
Uliveopeskaros	Oce_Van_Mal_East_Sth_Uliveo_Peskaros_Dl
Uliveopeskaros2	Oce_Van_Mal_East_Sth_Uliveo_Peskaros2_Dl
Batarxopulipitav	Oce_Van_Mal_Int_Nth_Batarxopu_Lipitav_Dl
Batarxopugonwar	Oce_Van_Mal_Int_Nth_Batarxopu_Gonwar_Dl
