Bislama1,English Translation
wan,1_one
tu,2_two
tri,3_three
fɔ,4_four
faif,5_five
siks,6_six
sɛβɛn,7_seven
et,8_eight
nain,9_nine
tɛn,10_ten
twɛnti,11_twenty
fifti,12_fifty
wan_həndrɛd,13_onehundred
wan_θaosɛn,14_onethousand
ia,15_year
rait,16_right
lɛfᵗ,17_left
mi,18_i
mifala,19_weallexcl
jumitu,20_webothincl
mitufala,21_webothexcl
jumi,22_weallincl
ju,23_thou
jutufala,24_youboth
jufala,25_youall
hɛm,26_heshe
olkɛta,27_theyall
tufala,28_theyboth
nɔ,29_nonot
wanɛm,30_what
hu,31_who
wea,32_where
wanɛm_taim,33_when
hao,34_how
ɛmia_ja,35_this
ɛmia_lɔŋwe,36_that
antap,37_above
antanit,38_below
ɪnsaid,39_ininside
hɛdᵗ,40_head
hea,41_hair
ai,42_eye
nus,43_nose
sora,44_ear
maot,45_mouth
taŋ,46_tongue
tut,47_tooth
hanᵗ,48_hand
ʃolda,49_shoulder
nɛk,50_neck
baksaid,51_back
lɛk,52_leg
bladᵗ,53_blood
bun,54_bone
skin,55_skin
bɛl,56_belly
kat,57_intestines
titi,58_breast
liva,59_liver
dɔk,60_dog
pɪʧɪn,61_bird
fiʃ,62_fish
snek,63_snake
wɔm,64_worm
laos,65_louse
rat,66_rat
spaida,67_spider
mɔskido,68_mosquito
ɛk,69_egg
tɛl,70_tail
win,71_wing
fɛta,72_feather
man,73_man
wɔman,74_woman
pɪkinini,75_child
nɛm,76_name
mama,77_mother
papa,78_father
həsbɪn,79_husband
waif,80_wife
de,81_day
nait,82_night
mun,83_moon
sta,84_star
skai,85_sky
wɔta,86_water
lak,87_lake
solwɔta,88_sea
faia,89_fire
smɔk,90_smoke
asis,91_ash
ston,92_stone
kraon,93_earthsoil
tas,94_dust
sanbiʧ,95_sand
rɛn,96_rain
klaod,97_cloud
win,98_wind
tanda,99_thunder
laitniŋ,100_lightning
mit,101_meatflesh
frut,102_fruit
dakbus,103_woodsforest
rus,104_root
bəranʧ,105_branch
lif,106_leaf
wudᵗ,107_wood
kras,108_grass
flawa,109_flower
taʧ,110_thatchroof
haos,111_house
rop˺,112_rope
rodᵗ,113_roadpath
blak,114_black
wait,115_white
rɛd,116_red
grin,117_green
yalo,118_yellow
bɪk,119_big
smɔl,120_small
ʃap,121_sharp
no_ʃap,122_bluntdull
ʃem,123_shyashamed
olfala,124_old
sik,125_painfulsick
gʊd,126_good
bad,127_bad
tru,128_correcttrue
dɔti,129_dirty
rɔtɛn,130_rotten
ɛvi,131_heavy
lɔŋwe,132_far
kolosap,133_near
kolkol,134_cold
drai,135_dry
wɛtwɛt,136_wet
niɔ,137_new
narafala,138_other
kam,139_come
hʷɔkbaot,140_walk
standap,141_stand
sidaon,142_sit
fɔldaon,143_fall
ledaon,144_liedown
tanɛm,145_turn
klaim,146_climb
suɪm,147_swim
flai,148_flyverb
sakɛmaot,149_throw
aitɛm,150_hide
kakai,151_eat
drɪnk,152_drink
wantɛm_slip,153_yawn
spɛt,154_spit
drim,155_dream
sɪlip,156_sleep
laɪf,157_live
dɛt,158_die
kɪlɪmdɛt,159_kill
luk,160_see
harɛm,161_hear
smɛl,162_sniffsmell
laf,163_laugh
krai,164_cry
blo,165_blow
bɔn,166_burn
somap˺,167_sew
kɪkilim,168_pound
kɪlim,169_hit
katɛm,170_cut
splɛtɛm,171_split
dɪkim,172_dig
hant,173_hunt
olɛm,174_hold
frait,175_fear
kaontɛm,176_count
pʊləm_win,177_breathe
traot,178_vomit
fasɛm,179_tieup
skwisɪm,180_squeeze
solap,181_swell
talɛm,182_say
sɪkrasɛm,183_scratch
stɪkɪm,184_stab
peəm,185_buy
stilim,186_steal
planɛm,187_plant
kuk,188_cook
ʃutum,189_shoot
wɔk,190_work
opɪnɛm,191_open
