Nisvaiblacksands,English Translation
ma-t͡skai,1_one
ᵑga-ru,2_two
ᵑga-rl,3_three
ᵑga-vat͡s,4_four
ᵑga-lɪm,5_five
ᵑga-lɪmrut͡sgai,6_six
ŋa-lɪmraro,7_seven
ŋa-lɪmrarl,8_eight
ŋa-lɪmraupat͡s,9_nine
ŋa-sɪŋavor,10_ten
rɛnerawo-a-t͡skai,11_twenty
rɛnerawo-a-lɪm,12_fifty
rɛnerawo-ŋa-sɪŋavor,13_onehundred
na-sɣao,15_year
ti-ɣavo,16_right
ti-mair,17_left
aganau,18_i
mæⁿdi,19_weallexcl
ⁿdaru,20_webothincl
ⁿdari,21_webothexcl
ⁿdari,22_weallincl
xain,23_thou
aⁿdʳi,24_youboth
amru,25_youall
ŋai,26_heshe
ari,27_theyall
araru,28_theyboth
nisvai,30_what
asi,31_who
ambi,32_where
ŋaisi,33_when
ᵑga-kaᵐban,34_how
uraŋ,35_this
-amɪx,37_above
-papaɣɛr,38_below
-liganɪm,39_ininside
ᵐbʷari-n,40_head
na-misβul,41_hair
na-mra-n,42_eye
na-ᵑgunsu-n,43_nose
ⁿdʳaliŋa-n,44_ear
ᵐbaŋo-ndʳ,45_mouth
na-milwu-n,46_tongue
na-luvo-ndʳ,47_tooth
na-fra-n,48_hand
ᵐbarfɪsɛ-ndʳ,49_shoulder
xɛnu-n,50_neck
maⁿdru-n,51_back
na-lɛ-ⁿdr,52_leg
ⁿdʳɛ,53_blood
na-ᵐbunᵐbul,54_bone
na-vulu-n,55_skin
na-ᵐbaɣavo-n,56_belly
ni-t͡sɪnɪ-n,57_intestines
na-sus,58_breast
mamb,59_liver
lipax,60_dog
man,61_bird
na-jix,62_fish
na-mar,63_snake
na-ⁿdʳoŋlat͡s,64_worm
na-ɣor,65_louse
xasu,66_rat
nɪ-naŋau,67_spider
nam,68_mosquito
mamvɪⁿdʳor,69_egg
na-ᵐbɪt͡su-n,70_tail
xaᵐbɪ-n,71_wing
na-vulu-n,72_feather
nɛ-rɛn,73_man
na-pnɪvor,74_woman
na-vri,75_child
na-ɣsɪ-n,76_name
nana-ŋ,77_mother
tata-ŋ,78_father
ren_si-n,79_husband
na-pnevor_si-n,80_wife
lamat͡sɛr,81_day
limaloŋ,82_night
na-rɪᵐbaʧi,83_moon
mʷaʧi,84_star
mʷaʧi_rax,84_star
maʧi,85_sky
no-ɣoi,86_water
na-ⁿdʳoŋⁿdʳoŋ,87_lake
na-ras,88_sea
ᵑga-ɣamp,89_fire
ᵑga-ᵐbʷas,90_smoke
maʧiaɸ,91_ash
na-var,92_stone
na-ran,93_earthsoil
maʧiaɸ,94_dust
na-ᵐbaŋan,95_sand
na-us,96_rain
malɔŋ,97_cloud
laŋ,98_wind
na-ɣorvi,99_thunder
kaβl,100_lightning
na-msal,101_meatflesh
farar,102_fruit
na-lɪɣeɣai,103_woodsforest
na-rt͡sarɛr,104_root
ᵐbat͡saɣɛr,105_branch
roɣ̞or,106_leaf
na-ɣai,107_wood
ᵐbaramune,108_grass
na-pusun,109_flower
roiar,110_thatchroof
na-likanim,111_house
na-ɣao,112_rope
sal,113_roadpath
ᵑga-mɛrmɛr,114_black
ᵑga-popox,115_white
ᵑga-paŋpaŋ,116_red
