Nleonda,English Translation
tea,1_one
rua,2_two
tolu,3_three
ɸesi,4_four
xeilim,5_five
keiʲõ,6_six
xeiõ,6_six
xeiᵐbitu,7_seven
xewelu,8_eight
xesiwo,9_nine
saŋaβulu,10_ten
ŋaβulɣeirue,11_twenty
ŋaβulɣeilim,12_fifty
ɸuⁿdolue,13_onehundred
teri,14_onethousand
hiɣao,15_year
matuɛ,16_right
matue,16_right
mawiri,17_left
neu,18_i
hamai,19_weallexcl
hiⁿderu,20_webothincl
hamaru,21_webothexcl
hiⁿde,22_weallincl
niᵑɡo,23_thou
himiru,24_youboth
himiu,25_youall
ŋẽ:,26_heshe
ŋẽre,27_theyall
ŋẽreru,28_theyboth
hetea,29_nonot
haβaɣi,30_what
hẽnĩ,31_who
loɣo,32_where
taɣaha,33_when
saβataro,33_when
warahaʊ,34_how
ŋiŋaha,35_this
ŋeβahĩ,36_that
namawe,37_above
ɸaɸaɣi,38_below
lolõ,39_ininside
kʷatu,40_head
ɸulu,41_hair
mata,42_eye
kʷaŋo,43_nose
kʷero,44_ear
uwa,45_mouth
wuwa,45_mouth
mea,46_tongue
liɸʷo,47_tooth
lime,48_hand
siᵑɡʷe,49_shoulder
ŋʷaɣoro,50_neck
xaxere,51_back
karu,52_leg
ⁿdaĩ,53_blood
hui,54_bone
finu,55_skin
ɸinu,55_skin
taᵑɡʷai,56_belly
tinaɪ,57_intestines
tinai,57_intestines
huhu,58_breast
ate,59_liver
xʷiriu,60_dog
huiriu,60_dog
manu,61_bird
iɣe,62_fish
ŋʷata,63_snake
siloti,64_worm
utu,65_louse
laᵐboa,66_rat
kʷarataɣaɣa,67_spider
namo,68_mosquito
toli,69_egg
xolõ,70_tail
ᵐbʷaihi,71_wing
ᵐbaihi,71_wing
ɸulu,72_feather
ŋʷera,73_man
faβĩ,74_woman
maresu,75_child
hena,76_name
xarueᵑɡu,77_mother
tamaᵑɡu,78_father
taminetuᵑɡu,79_husband
kexoraᵑɡu,80_wife
xexoraᵑɡu,80_wife
reĩ,81_day
ᵐboĩ,82_night
ɸule,83_moon
ɸisiu,84_star
ⁿdoⁿdo,85_sky
wai,86_water
manaro,87_lake
tahi,88_sea
aβi,89_fire
ahu,90_smoke
kʷie,91_ash
fatu,92_stone
ɸatu,92_stone
tã,93_earthsoil
kʷie,94_dust
one,95_sand
uhe,96_rain
ⁿdoⁿdomaβute,97_cloud
laĩ,98_wind
mantawa,99_thunder
file,100_lightning
ᵐbiɣi,101_meatflesh
ŋʷasiɣi,102_fruit
tantue,103_woodsforest
xoari,104_root
raŋaɣi,105_branch
rauɣi,106_leaf
xai,107_wood
laᵐbute,108_grass
fire,109_flower
ɸuluiɸale,110_thatchroof
ɸale,111_house
xaro,112_rope
tureɣi,113_roadpath
maeto,114_black
meβute,115_white
memea,116_red
kʷaruᵑɡʷaroɣa,117_green
aŋoɣa,118_yellow
lawa,119_big
ᵐbiti,120_small
xoxo,121_sharp
xoɣo,121_sharp
ᵑɡʷatoa,122_bluntdull
maemae,123_shyashamed
sesea,124_old
xaɣarasi,125_painfulsick
xarea,126_good
wesi,127_bad
ɸʷoβoxoi,128_correcttrue
soᵑɡo,129_dirty
mʷaᵐboᵐbo,130_rotten
maβʷa,131_heavy
ɸaɣahau,132_far
ᵑɡaᵑɡarai,133_near
xawaⁿdiⁿdi,134_cold
mamaha,135_dry
ᵐbiᵐbilu,136_wet
xaraᵑɡʷa,137_new
tueɣi,138_other
fanai,139_come
ⁿdiɣe,140_walk
laᵐbe,141_stand
toɣaβʷi,142_sit
soitoβʷi,143_fall
ẽɸʷi,144_liedown
taleleⁿdori,145_turn
kalo,146_climb
xaxaru,147_swim
olo,148_flyverb
tuliβʷoxoɣi,149_throw
taβunuɣi,150_hide
xeĩ,151_eat
xein,151_eat
ĩ,152_drink
mʷaumʷau,153_yawn
loⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mate,158_die
weɸaɣa_mate,159_kill
leo,160_see
rõŋ,161_hear
moɣahu,162_sniffsmell
mana,163_laugh
ŋara,164_cry
here,165_blow
xao,166_burn
turu,167_sew
wehe,168_pound
wexe,168_pound
wehe,169_hit
tai,170_cut
fise,171_split
xeli,172_dig
tureɣi,173_hunt
tureʲɣi,173_hunt
haᵑɡo,174_hold
mataɣu,175_fear
ɸalu,176_count
maᵐbu,177_breathe
lue,178_vomit
ɸow,179_tieup
mʷaᵑɡʷiriᵑɡʷiri,180_squeeze
kulo,181_swell
ɸeβe,182_say
ɸeve,182_say
taᵑɡari,183_scratch
turu,184_stab
ɸoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
koβu,188_cook
xoβu,188_cook
ᵐbuɣuri,189_shoot
kea,190_work
roa,191_open
