Lopika,English Translation
limana,48_hand
mʷɛli,17_left
marua,16_right
laːna,52_leg
mija:li,140_walk
rapa,416_road
pimi,139_come
ojlomoj,145_turn
okulu,147_swim
supulujaj,94_dust
kulu:sia,55_skin
kasmʷɛne:na,51_back
mopʷe:na,444_stomach
puriju:na,54_bone
sĭnena,57_intestines
puriere,59_liver
daju:na,58_breast
kilia,315_know_understand
stomsuria,458_to_think
marau,175_fear
ta:,53_blood
pa:na,40_head
komilikina,50_neck
ilupa:na,41_hair
kunu:na,43_nose
pur laŋi,177_breathe
lopon᷈a,434_sniff
kuluɳgona,45_mouth
daluena,47_tooth
pumɛnena,46_tongue
pita:le,163_laugh
taŋi,164_cry
lualua,178_vomit
pla:siri,154_spit
ikina:na,151_eat
kulu,464_to_chew
mʷɛn kina:nena,188_cook
mun suria,152_drink
kara:ria,212_to_bite
munmun᷈a,448_suck
kiliŋgana,44_ear
loŋgea,161_hear
koma:na,42_eye
oluʰalja,160_see
mʷɛli,153_yawn
momaljo,156_sleep
omuⁿpepe,144_liedown
maninijena,155_dream
ototono,142_sit
sumalu,141_stand
ererina,306_person
erumene,73_man
si:ra,74_woman
sisi,75_child
saɛr marua,79_husband
sasira marua,80_wife
te:te,77_mother
ta:ta,78_father
juma,111_house
rakinita,455_thatch
ki,76_name
ojsa,182_say
kilika,112_rope
ojtea:rja,179_tieup
osuluja,167_sew
kurumoli,362_needle
la:manu,173_hunt
ojnija,189_shoot
oju:ria,184_stab
oweʰa,169_hit
opinao,186_steal
owemaria,159_kill
mare,158_die
ma:li,157_live
kuparia,183_scratch
oteʰa,170_cut
la:ki,107_wood
otepa:ja,171_split
meto:to,121_sharp
ma:o,122_bluntdull
mjumʷe,190_work
mapila,187_plant
nestomruruja,465_to_choose
kapuru,302_to_grow
siropi,181_swell
opilo:n᷈a,180_squeeze
okumaria,174_hold
okilĭja,172_dig
opulĭja,185_buy
ojĭkea,191_open
osiŋasiŋa,168_pound
okᵚanlua,149_throw
lɔru,143_fall
lekuli,60_dog
manu,61_bird
kolu:to,69_egg
ilu:sja,72_feather
kupe:na,71_wing
ka,148_flyverb
kawe,66_rat
kuᵐbui,336_meat
kina,70_tail
loŋmara,63_snake
susu,64_worm
ku:ru,65_louse
namu,68_mosquito
koromalulu,67_spider
ika,62_fish
menu:ni,130_rotten
koroa:sia,105_branch
maki:,106_leaf
puliŋasi:a,104_root
inaki,109_flower
ra:ki,102_fruit
mamʷeni,108_grass
sna:tono,93_earthsoil
kla:ru,92_stone
no:ne,95_sand
wi,86_water
wikiriri,286_flow
si,88_sea
sikarara,419_salt
la:pa,87_lake
lokonmarua,103_woodsforest
pɛni,85_sky
kupario,83_moon
eruwe,84_star
sikɔriko,97_cloud
polulu,340_fog
juwa,96_rain
polu:ltera,99_thunder
jokarpila,100_lightning
laŋi,98_wind
mĭuji,165_blow
pisusun,483_hot
miaʋa,134_cold
taŋgi,135_dry
memɛ,136_wet
orumi,131_heavy
ja:ato,89_fire
ʋaŋga,166_burn
jo:pua,90_smoke
supuluja:j,91_ash
mokoliko,114_black
miwowo,115_white
pili:li,116_red
lele:ru,118_yellow
meme,117_green
taki:to,120_small
tahura,119_big
pŭlasia,426_short
piaj,328_long
meniniʋe,457_thin
merolulu,456_thick
pululuja taki:to,359_narrow
lolopana,489_wide
mila:,125_painfulsick
ma:wa,123_shyashamed
penamarua,124_old
pena:u,137_new
po,126_good
pulupuli,127_bad
linaŋga,128_correcttrue
poŋgena,82_night
lɛŋge:na,81_day
ka:sia,15_year
poŋgiaj,33_when
kʷanlo:n᷈a,150_hide
pumaʋa,146_climb
lojuma,39_ininside
maʃa,37_above
loporɛna,38_below
naŋani,35_this
naŋaŋgearu,36_that
laji:si,133_near
perina,132_far
pe,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
memilala,19_weallexcl
italua,20_webothincl
mɛmlua,21_webothexcl
amju,23_thou
amjulua,24_youboth
naŋgala,27_theyall
naŋgalalua,28_theyboth
ga:ne,30_what
ja:j,31_who
natapʷena,138_other
naŋala,195_all
aljo,199_and
isa:e,311_if
se:pene,34_how
po:li,29_nonot
oᵐluja,176_count
taŋga,1_one
lua,2_two
tolu,3_three
ʋari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orolu,8_eight
ovari,9_nine
lualima,10_ten
lualima pɛn lua,11_twenty
lualima pɛn lima,12_fifty
ponotia,13_onehundred
