Venentauteunmet,English Translation
isɪt,1_one
iru,2_two
i-tl,3_three
i-va,4_four
i-lɪm,5_five
lɪmse,6_six
saru,7_seven
satl,8_eight
savɛt,9_nine
snaɬ,10_ten
i-nɛl-ru,11_twenty
i-nɛ-lɪm,12_fifty
i-nɛɬnalivank,13_onehundred
pai,15_year
mɛlɪⁿdao,16_right
mir,17_left
kana,18_i
naknd_uⁿdʳani,20_webothincl
naknd,22_weallincl
nakm,23_thou
kami_iru,24_youboth
kami,25_youall
ɣin,26_heshe
xir,27_theyall
xir_aru,28_theyboth
i-ɣe,29_nonot
vata,30_what
hanak,31_who
ipi,32_where
varɛn,33_when
hinapi,34_how
aia,37_above
xilaɣa,38_below
pət-n,40_head
nil-k,41_hair
mata-k,42_eye
ⁿdʳɪlna-k,44_ear
pn-k,45_mouth
nlm-k,46_tongue
lu-k,47_tooth
lɪma-k,48_hand
vən,49_shoulder
natəv-,50_neck
ⁿdu-n,51_back
tl-k,52_leg
na-ⁿde,53_blood
su-n,54_bone
ni-lepa-kn,55_skin
vat-n,56_belly
xɛn-,57_intestines
nunu,58_breast
xarn-ən,59_liver
lipax,60_dog
manəx,61_bird
tilo,62_fish
nɪ-mat,63_snake
sɪlɛs,64_worm
na-ɣt,65_louse
lɪpo,66_rat
ni-lo,67_spider
na-max,68_mosquito
naxaⁿdʳn,69_egg
vəli-n,70_tail
ni-lxa-ɛn,71_wing
nil-n,72_feather
ⁿdui,73_man
tavɛt,74_woman
marⁿdɛl,75_child
naxa-,76_name
oune,77_mother
tate,78_father
nau-k,79_husband
noɛn_tavɛt,80_wife
rɛn,81_day
liɣɛt,82_night
na-al,83_moon
mʷəsi,84_star
pɛkmarɛn,85_sky
na-we,86_water
na-lɪp,87_lake
na-ta,88_sea
na-ap,89_fire
iɛnnaap,90_smoke
vɛrnnaap,91_ash
na-vɛt,92_stone
na-ⁿdep,93_earthsoil
neɛv,94_dust
n-un,95_sand
nu,96_rain
pɛkmarɛn,97_cloud
na-lɛn,98_wind
na-vl,99_thunder
lɛv_matn,100_lightning
niɣ-n,101_meatflesh
lilimt,103_woodsforest
warn,104_root
ranɛ_nai,105_branch
raun,106_leaf
nai,107_wood
ne-ɛt,110_thatchroof
nə-max,111_house
na-xao,112_rope
na-vanɛl,113_roadpath
i-mɪt,114_black
i-tfa,115_white
i-miɛl,116_red
i-wəs,118_yellow
i-lil,119_big
i-supa,120_small
i-ɣan,121_sharp
ni-momiɣ,123_shyashamed
-tarɛp,124_old
ni-mat,125_painfulsick
i-pas,126_good
i-stu,127_bad
i-vərəndaui,128_correcttrue
i-mumu,130_rotten
i-ⁿdv,131_heavy
i-viva,132_far
i-mima,133_near
mɪla,134_cold
i-mama,135_dry
i-wir,136_wet
i-mⁿdax,137_new
nɪ-ma,139_come
-vɛl,140_walk
nɪ-ptir,141_stand
li-lak,142_sit
-irɪs,143_fall
a-wasri_nate,144_liedown
-xapr,146_climb
-tɛtv,148_flyverb
-sərani,149_throw
-tutuani,150_hide
-timax,151_eat
apa-minimin,152_drink
-tupi,154_spit
li-liɣren,155_dream
-matr,156_sleep
-siliv,157_live
i-na,158_die
-rpi-pini,159_kill
tɛ-le,160_see
ta-rni,161_hear
-min,162_sniffsmell
nɪ-vutma,163_laugh
-valo,164_cry
i-vɛn,166_burn
-rpi,168_pound
pa-rpi,169_hit
a-tri,170_cut
-tərpri,171_split
-xəli,172_dig
-xaɣaxiɛn,173_hunt
-wənde,174_hold
nɛⁿdʳn,175_fear
-spɪsnan,176_count
-rivinalɛn,177_breathe
-lu,178_vomit
pa-xawi,179_tieup
-mlani,180_squeeze
i-ɛrɛn,181_swell
po-vəri,182_say
-xarxari,183_scratch
-wuli,185_buy
-vənaɣi,186_steal
-lawi,187_plant
pa-lue,189_shoot
-pare,190_work
-wale,191_open
