Vaopeteri,English Translation
inɣɔ,1_one
xe-ru,2_two
ɣɛ-tul,3_three
ɣɛ-ðat,4_four
ɣɪ-linɛ,5_five
ɣi-jon,6_six
ɣɛ-ᵐbʉt,7_seven
ɣo-al,8_eight
ɣi-hiβe,9_nine
-haŋavul,10_ten
movul_go-ru,11_twenty
mʷovul_ɣɛ-linɛ,12_fifty
mʷofaŋavul,13_onehundred
huwap,15_year
matu,16_right
maɛɾ,17_left
hina,18_i
kanam,19_weallexcl
ire,22_weallincl
hinɪɣɔ,23_thou
kami_ɣɛru,24_youboth
kami,25_youall
ɣini,26_heshe
inire,27_theyall
naha,30_what
ihi,31_who
nɛnde,32_where
i-ðaviha,34_how
-a͡ul,37_above
-lolon,39_ininside
ᵐbatu-m,40_head
wulu-m,41_hair
nata-m,42_eye
ᵐbororo-m,44_ear
nɪnɪ-m,46_tongue
huru-m,47_tooth
ni-na-r,48_hand
ᵐbutpɪli-m,49_shoulder
ᵐbulaɣaho-m,50_neck
hotura-m,51_back
karu-ve,52_leg
nɛ-re,53_blood
hu-um,54_bone
vulvulu-re,55_skin
taᵐbaŋɛ-m,56_belly
tinɛn,57_intestines
huhu-m,58_breast
ᵐbɪᵐbɪm,59_liver
viri,60_dog
na-nan,61_bird
na-nas,62_fish
na-mat,63_snake
taᵐbragas,64_worm
na-ɣut,65_louse
arið,66_rat
na-ᵐbaɾa,67_spider
na-muɣe,68_mosquito
toli-ne,69_egg
vilaɣau-ne,70_tail
xanvɪ-n,71_wing
hulu-ne,72_feather
namɛr,73_man
ðavine,74_woman
nasorik,75_child
nɪhɪɣan,76_name
ᵐbi,77_mother
te,78_father
nuku_ðavine,80_wife
moɣan,81_day
utaᵐboŋ,82_night
na-vulɛ,83_moon
na-ðʉt,84_star
ⁿdakaran,85_sky
nu-e,86_water
na-lɛmb,87_lake
nɛ-teh,88_sea
na-ɣamb,89_fire
neahu-ne,90_smoke
na-av,91_ash
na-av_na-ɣam,91_ash
na-ðat,92_stone
na-tan,93_earthsoil
ᵐbitmaɣaɸ,94_dust
na-ᵐbaŋ_na-on,95_sand
na-uhe,96_rain
na-ror,97_cloud
na-laŋ,98_wind
na-kur,99_thunder
na-vile,100_lightning
ðihiɣo-n,101_meatflesh
huan,102_fruit
nanʊh_moɣonɣon,103_woodsforest
hoari-ne,104_root
raŋa-n,105_branch
roxoi-ne,106_leaf
nɛ-ɣe,107_wood
na-nuh,108_grass
ni-at,110_thatchroof
ne-me,111_house
nu-ɛh,112_rope
na-hal,113_roadpath
mʷo-not,114_black
mʷo-βuhɛ,115_white
mʷo-nɛnɛ,116_red
-mɛmlaɣɛs,117_green
mo-seax,119_big
mo-βor,121_sharp
mʷo-ᵐbazis,122_bluntdull
mo-rux,126_good
mo-hat,127_bad
-ᵐbararuh,128_correcttrue
hum-lalo,129_dirty
mo-roɸ,131_heavy
-neha,132_far
-nerit,133_near
-nɪlege,134_cold
hoo-nanah,135_dry
wo-ne,139_come
ho-e,140_walk
o-tur,141_stand
o-mat,142_sit
mʷo-sup,143_fall
wo-rori,145_turn
wɔ-ðɪn,146_climb
wo-karə,147_swim
mʷo-viʒ,148_flyverb
om-balini,149_throw
o-milðeni,150_hide
ho-wɪnɣan,151_eat
ho-muni,152_drink
hom-ɣɪnma,153_yawn
ho-lutuð,154_spit
wo-mɛnlehi,155_dream
hwo-mɛn,156_sleep
mu-nau,157_live
mu-nat,158_die
um-luhu-a-nat,159_kill
hum-lehi,160_see
hoᵐbo-roŋɛ,161_hear
ho-nan,163_laugh
ho-ŋɛre,164_cry
mʷo-hiɾhiɾ,165_blow
mʷo-ɣan,166_burn
o-lulohu,168_pound
um-lohu,169_hit
wo-te,170_cut
ho-tɪvɛɣehe,171_split
ho-tori,174_hold
u-natax,175_fear
ho-lulu,178_vomit
ho-liʒi,179_tieup
hu-ᵐbɪɾihi,180_squeeze
mu-ᵐburɛ,181_swell
wo-vɛre,182_say
ho-ʒuʒi,184_stab
o-voli,185_buy
un-ðanaɣɔ,186_steal
hu-laβɔ,187_plant
ho-pɪni,189_shoot
wo-ðiahað,190_work
-tikehi,191_open
