Angavaedixonreef,English Translation
-sɪgau,1_one
i-rua,2_two
i-tɬ,3_three
i-vas,4_four
i-sɛlmɛ,5_five
i-sous,6_six
sourua,7_seven
sotl,8_eight
souvaːs,9_nine
laŋavʊl,10_ten
laŋavʊl_irua,11_twenty
laŋavʊl_i-sɛlme,12_fifty
laŋavʊl_i-laŋavʊl,13_onehundred
ha-ðau,15_year
tuai,16_right
ⁿdel-mier,17_left
ŋənə,18_i
kəⁿðadu,19_weallexcl
kœⁿdat˺,22_weallincl
ᵑguɔ,23_thou
ie,26_heshe
raːtⁿ,27_theyall
sɪgɛn,29_nonot
hɛvɛgə,30_what
ŋaiŋə,31_who
i-ot͡sɛ,32_where
sošɛ,32_where
sošɛ,32_where
hɛmɛtɛniale,33_when
i-sɛmbak,34_how
iegi,35_this
iɛna,36_that
i-onmara,37_above
-vaːne,38_below
-loŋau,39_ininside
hʊ-ᵐbaði-ŋə,40_head
hɛ-vɛlɛ-ŋə,41_hair
ha-mata-ᵑk,42_eye
ᵑgarsɛ-ᵑk,43_nose
hɪ-ⁿdɛliŋa-m,44_ear
hə-ᵑgarɪ-ŋə,45_mouth
hɛ-lɛma-ŋ,46_tongue
hɛ-luvo-ŋ,47_tooth
a-vara-k,48_hand
ᵐbotvɛra-na-m,49_shoulder
ha-tag-m,51_back
ha-kala-ŋ,52_leg
ɛ-ⁿdʳeɪ,53_blood
ha-βʷigai,54_bone
ha-wiviniš,55_skin
koftʊ-ŋ,56_belly
h-snɛ-ni,57_intestines
na-sʊ-ᵑk,58_breast
ha-maːᵐboa,59_liver
ha-ᵐburman,60_dog
ha-man,61_bird
ha-βɔnigə,62_fish
ha-mad,63_snake
hɛ-ⁿdɛlas,64_worm
ha-agt,65_louse
kasua,66_rat
e-ⁿdaŋaːlə,67_spider
ha-vuⁿdaukas,68_mosquito
ha-movʉl,69_egg
hɛ-ᵐbəleᵐbusi-ne,70_tail
hɛ-mægʊt,73_man
tɛviað,74_woman
no-vulaiɺleɪleɪ,75_child
-ʧire,76_name
tɛⁿde,77_mother
məmɔ,78_father
ɛ-magʊt_tɪgɪne,79_husband
teviate_tɪkine,80_wife
draˑn,81_day
luvgaðe,82_night
hu-ᵐbazi,83_moon
hɛ-vʊlvʉt,84_star
ha-map,85_sky
ha-wɔ,86_water
ha-kamp,89_fire
a-osu_aɣam,91_ash
ha-vat˺,92_stone
ha-tane,93_earthsoil
ha-ᵐboniap˺,94_dust
ha-wɔn,95_sand
no-wɔ,96_rain
ha-map˺,97_cloud
melakə,98_wind
hu-rur,99_thunder
a-aᵐbɛle,100_lightning
a-ɡai,101_meatflesh
a-ɡai_ᵐbuɡai,101_meatflesh
ha-βonan-nɛ,102_fruit
laᵑgaɾa,103_woodsforest
ha-garuane,104_root
ha-saŋa-n,105_branch
ha-raune,106_leaf
a-gai,107_wood
a-ⁿdʳamb,108_grass
hɛ-tɛvəsa-ne,109_flower
ha-riaðe,110_thatchroof
se-imʷɔ,111_house
a-tal,112_rope
ᵑgəlial,113_roadpath
hɪ-mɛzamɛze,114_black
hi-βovolau,115_white
hi-miale,116_red
-mɛrmɛr,117_green
hi-wəzvazi,118_yellow
ⁿdɛmɛrau,119_big
hi-lele,120_small
-samaŋal_i-vai,122_bluntdull
hi-mʷole,123_shyashamed
-mɛgalaᵐbe,124_old
hɪ-miaga,125_painfulsick
hi-ruai,126_good
-sɛ,127_bad
-sɛ_ⁿdʳoivai,127_bad
-ⁿdɛmɛl,129_dirty
i-ŋɛde,130_rotten
i-nɛmᵇ,131_heavy
-lakʰ,132_far
-saŋasaŋa,133_near
ha-malaga,134_cold
auzi-mɛzamas,135_dry
-worwor,136_wet
-vovau,137_new
hu-ᵐbolə,139_come
-laŋalaŋa,140_walk
-ðrɛ,141_stand
-siᵐbʷɔ,142_sit
i-mur,143_fall
-mʷonɛⁿdau,144_liedown
-ⁿdʳu,145_turn
hi-ak,146_climb
i-ɛβɛβe,147_swim
hɛ-vulaŋ,148_flyverb
-kuᵐbuk,149_throw
-lumʷok,150_hide
-tauðau,151_eat
-min,152_drink
-fovrai,154_spit
-mʷona-les,155_dream
-mʷonɛ,156_sleep
i-maur,157_live
i-mas,158_die
i-ravus-ᵐburavura,159_kill
-lɛgəli,160_see
naka-raŋə,161_hear
ha-moznak,162_sniffsmell
-sɪŋal,163_laugh
ho-uralə,164_cry
i-viv,165_blow
hu-βul,166_burn
-tir,167_sew
-tɛðɛlɪᵐbe,168_pound
hi-ravus,169_hit
huᵐbu-garas,170_cut
-teᵐberᵐburai,171_split
huᵐbu-gl,172_dig
-ᵑgaragar,173_hunt
-porðau,174_hold
-matak,175_fear
-ᵐbuluk,176_count
-naliŋala,177_breathe
-lualua,178_vomit
-ᵑgau,179_tieup
-ᵐbus,180_squeeze
i-laᵐbə,181_swell
huᵐbu-garas,183_scratch
-tir,184_stab
-tir_ðauzau,184_stab
-vul,185_buy
kɪstuo-susuk,186_steal
-kavokʰ,187_plant
tu-tntn,188_cook
-vəvarə,190_work
-sɛvan,191_open
