Nahavaqbanour,English Translation
i-siʔ,1_one
i-ru,2_two
i-tʉl,3_three
i-vɛs,4_four
i-lim,5_five
i-sosiʔ,6_six
i-soru,7_seven
i-sotʉl,8_eight
i-sovei,9_nine
i-laŋaβœl,10_ten
i-molalaʔ_i-siʔ,11_twenty
-molalaʔ_i-ru_noʔoron_laŋaβœl,12_fifty
-molalaʔ_i-lim,13_onehundred
nɛ-teo,15_year
ᵐbaraᵑgɪn,16_right
dil-mir,17_left
kinaŋ,18_i
kamɛm,19_weallexcl
noʔon,20_webothincl
niᵑgin,22_weallincl
inuŋ,23_thou
niŋim,25_youall
ei,26_heshe
ar,27_theyall
artei,28_theyboth
isisiʔ,29_nonot
nahavaʔ,30_what
iaʔ,31_who
aᵐbɛh,32_where
ivih,33_when
kɛtɛmʷɪn,34_how
ɛtiŋ,35_this
ɛtaŋ,36_that
i-vʷanhɪp˺,37_above
-sɪlɛβœn,38_below
-miʃʉn,39_ininside
i-vɛlin-miʃʉn,39_ininside
ᵐbatɪ-n,40_head
ʧiblɛ-n,41_hair
mɛtɛ-n,42_eye
ᵑginhu-n,43_nose
ⁿdiliŋɛ-n,44_ear
ᵐboŋo-n,45_mouth
malaᵐb-œn,46_tongue
livo-n,47_tooth
ni-vara-n,48_hand
ᵐbatavʷan,49_shoulder
ⁿdolo-n,50_neck
taʔo-n,51_back
nɪ-ᵐbulʊ-n,52_leg
nɛ-ⁿde,53_blood
ᵐboloᵑgon,54_bone
no-ʔolsin,55_skin
vɪtu-ʔ,56_belly
nɪ-hini-n,57_intestines
nu-hohu-n,58_breast
na-mam,59_liver
na-mam_nɪ-n,59_liver
ni-kilu,60_dog
nɛ-mɛn,61_bird
ni-mahal,62_fish
na-mat,63_snake
nɪ-ⁿdulɛs,64_worm
na-ʔot,65_louse
na-laᵐbut,66_rat
ᵑgiᵑgableo,67_spider
ni-tuʔɛs,68_mosquito
nɔ-ʔɔnli-n,69_egg
ni-ᵐʙʉʃʉ-n,70_tail
ni-ᵐbuᵐbʷo-n,72_feather
morot,73_man
momoʔ,74_woman
vʷutɪnbunoŋ,75_child
nɛ-hɛ-n,76_name
amɔʔ,77_mother
tatai,78_father
morot_tɪkina-ŋ,79_husband
momʷɔʔ_tɪkina-ŋ,80_wife
lɛrɛn,81_day
livʷaʔat,82_night
nɛ-βœl,83_moon
ni-muši,84_star
ni-meliŋ,85_sky
no-we,86_water
nɛ-tɛz,88_sea
na-ʔam,89_fire
ɪ-ⁿdoŋ,90_smoke
ɪ-ⁿdoŋdoŋ,90_smoke
nɛ-vɛt,92_stone
nɛ-tɛn,93_earthsoil
na-las,94_dust
ni-ᵐbinwɛn,95_sand
nɛ-wʰ,96_rain
ni-meliŋ_mɛvʊs,97_cloud
na-laŋ,98_wind
nɛvʊl_varavar,99_thunder
mæru,101_meatflesh
na-vʷan,102_fruit
ni-ᵐʙœnʔai,103_woodsforest
na-ʔara-n,104_root
na-ᵐbal-nɪ-n,105_branch
nɛ-rɛʔe_ni-n,106_leaf
na-ʔai,107_wood
nu-mʷɛne,108_grass
ni-tivhʉn,109_flower
ni-et,110_thatchroof
ne-um,111_house
nɛ-tɛl,112_rope
na-hal,113_roadpath
i-mɛtɛmɛt,114_black
i-mɛβʉs,115_white
i-mamal,116_red
i-ʔasɛn,117_green
i-lʉtlʉt,118_yellow
i-ᵐbou,119_big
i-vʷariʔ,120_small
i-kan,121_sharp
i-mah,122_bluntdull
i-mimaʔan,123_shyashamed
-marlam,124_old
i-mɪhɛʔ,125_painfulsick
i-lɛh,126_good
i-hɛt,127_bad
i-ᵐbaraŋɪn,128_correcttrue
i-molol,129_dirty
i-mom,130_rotten
i-ⁿdip,131_heavy
-silei,132_far
-masasaŋ,133_near
-malaʔ,134_cold
-mɛhɛmɛh,135_dry
i-mil,136_wet
i-viveo,137_new
tiʃile,138_other
ku-βʷɛlɛn,139_come
-taris,141_stand
u-sum,142_sit
kɛ-sɛp,143_fall
i-liŋdɛo,144_liedown
ku-βiʔis,145_turn
ku-haʔ,146_climb
-vʷɔhop˺,147_swim
i-βiβɛm,148_flyverb
kwɔ-ʔom,149_throw
ku-tulalaʔ,150_hide
i-aʔan,151_eat
i-mɪn,152_drink
mu-mole,153_yawn
i-vore,154_spit
nɪ-ᵐbʷɛrei,155_dream
-mɛtur,156_sleep
i-meur,157_live
i-mɛs,158_die
ku-ᵐbʷil_kɛ-mɛs,159_kill
-lɛs,160_see
i-roŋ,161_hear
-mas,163_laugh
-mas_amas,163_laugh
-ⁿdɛŋ,164_cry
i-hup,165_blow
ku-tur,167_sew
ku-ᵐbʷilᵐbʷil,168_pound
ku-ᵐbʷil,169_hit
ku-ʔoros,170_cut
-tarbor,171_split
kʷi-ʔil,172_dig
u-sal,173_hunt
ku-βurβur,174_hold
-mataʔ,175_fear
ku-ᵐbuluŋ,176_count
-ŋaraŋar,177_breathe
-luelu,178_vomit
ku-wit,179_tieup
ku-wit_ⁿdu,179_tieup
ku-ᵐbus,180_squeeze
i-tiᵐʙ,181_swell
ku-wɛr,182_say
ku-ʔoiʔoi,183_scratch
ku-tur,184_stab
ku-βul,185_buy
-vanaʔ,186_steal
ku-ʔaᵐbʷiʔ,187_plant
i-tiŋ,188_cook
ku-tiᵐbʷis,189_shoot
ku-sisɛvɛn,191_open
