Nombotkoteneioleian,English Translation
i-sua,1_one
i-rua,2_two
i-tɬ,3_three
i-vas,4_four
i-lɪmɛ,5_five
i-lavsua,6_six
i-lavurua,7_seven
i-lavutl,8_eight
i-laəvas,9_nine
i-laŋavʊl,10_ten
nɪ-tao,15_year
tuwai,16_right
amʷɔir,17_left
naŋəlɛ,18_i
ᵑgəᵑdalɛ,19_weallexcl
ɣəⁿdal_iaŋu,20_webothincl
ᵑgəⁿdar,21_webothexcl
kœⁿdal,22_weallincl
naŋu,23_thou
naŋar,24_youboth
naŋal,25_youall
ateⁿdl,27_theyall
ⁿdr,28_theyboth
nɛsɪvi,30_what
wani,31_who
iosɛ,32_where
mɪteiɛle,33_when
ʃaᵐbʷa,34_how
ietiaŋɛ,35_this
etiwɛ,36_that
-lumʷari,37_above
-tavi,38_below
-laotli,39_ininside
ɛ-ᵐbʷat-i,40_head
nɛ-vɪl-i,41_hair
nɛ-mɛt-i,42_eye
ⁿdɛliᵑga-i,44_ear
no-ᵐboŋo-i,45_mouth
nɛ-mɛlu-i,46_tongue
nɛ-lu-i,47_tooth
ɛ-var-i,48_hand
ᵐbot_a-varɛ,49_shoulder
ɛ-ⁿdɛl-i,50_neck
a-taɣ-i,51_back
na-al-i,52_leg
nɛ-ⁿdʳe,53_blood
nɪ-vʷiɣa-i,54_bone
nu-wulwul,55_skin
a-vut-i,56_belly
nɛ-sɪnɛ,57_intestines
na-sɪs,58_breast
maᵐbore,59_liver
ᵐbulai_vuri,60_dog
na-man,61_bird
nɪ-mɪzɛle,62_fish
na-mʷətɛ,63_snake
ɛ-ⁿdɪlæs,64_worm
na-ɣət,65_louse
na-suwa,66_rat
taogas,68_mosquito
nɪ-ᵐbasi,70_tail
ɛ-vɪlaŋawi,71_wing
ɛ-vɪli,72_feather
nu-mʊt,73_man
ɛ-tɪvʷɔte,74_woman
taiɪᵐborai,75_child
na-gɪs-i,76_name
aⁿde,77_mother
hamɪvæ,78_father
nu-mugut_tɪgɪne,79_husband
ɛ-tɪvʷɔte_tɪgɪne,80_wife
a-raniɛn,81_day
lɪbuɣate,82_night
ᵐbæsi,83_moon
nɛ-vʊnvʊt,84_star
ne-ɛmᴩ,86_water
a-ɣamb,89_fire
-ⁿdɛl,90_smoke
a-mʷosuan,91_ash
na-bat,92_stone
a-tɛne,93_earthsoil
nɛ-tɛnɛ,94_dust
na-movsuan,95_sand
na-usɛ,96_rain
na-map,97_cloud
mɛlasɛ,98_wind
na-ᵐbɪlɛ,99_thunder
na-ur,100_lightning
nɛ-pɪsæ,101_meatflesh
na-vʷani,102_fruit
laotuš,103_woodsforest
na-wari,104_root
a-raŋai,105_branch
na-raui,106_leaf
na-i,107_wood
ɛ-tɛvsi,109_flower
a-raoiɛtɛ,110_thatchroof
nɪ-tal,112_rope
nɛ-sɛle,113_roadpath
-mɛtamɛt,114_black
-mævʊš,115_white
-mɛlagɪze,117_green
-lʉt,118_yellow
-lɛᵐbɛⁿdʳao,119_big
-rɪguᵐbʷoi,120_small
-maŋal,121_sharp
-ᵐbuk,122_bluntdull
-mʷole,123_shyashamed
-mʷatiɛl,124_old
-ᵑgɪlɛte,125_painfulsick
i-vʷoi,126_good
i-sɛtɛ,127_bad
-ᵐbʷɔnᵐboraŋanɛ,128_correcttrue
-ŋəte,130_rotten
-nɪmb,131_heavy
-tiɔwɔ,132_far
-saŋasaŋ,133_near
-mɛsɪmɪs,135_dry
-lomp,136_wet
-vovo,137_new
-wul,139_come
-laŋə,140_walk
-tuarɛ,141_stand
-sump,142_sit
-wurək,143_fall
-ⁿdʳi,145_turn
-sak,146_climb
-ᵑgar,147_swim
-mɛra,148_flyverb
-ᵑguᵐbʊx,149_throw
-totao,151_eat
-mun,152_drink
-mɪsɛrɛ,154_spit
nɛ-ᵐbʷari,155_dream
-mʷɔnɛ,156_sleep
-maor,157_live
i-mæs,158_die
i-rɛvʊs_i-mæs,159_kill
-lɪs,160_see
-raŋə,161_hear
namušni,162_sniffsmell
-vɪsɪŋal,163_laugh
-wɔrɛt,164_cry
i-nɛnɛ,166_burn
-tɪr,167_sew
-tɪgatɪx,168_pound
-tɔk,170_cut
-tiᵐborai,171_split
-ɣil,172_dig
-təŋ_ⁿdao,174_hold
-mɪtax,175_fear
-ᵐbulunŋk,176_count
-ᵑgarɛ,177_breathe
-lualua,178_vomit
-tɪwɔ,179_tieup
ᵑgərɛ,180_squeeze
-timb,181_swell
-sɛrɛ,182_say
-ɣai,183_scratch
-vɪni,184_stab
-wul,185_buy
-mæræn,186_steal
-ᵑgawax,187_plant
-ⁿdawax,190_work
-sɪsavan,191_open
