Nhavailombaha,English Translation
kataɣale,1_one
xataɣale,1_one
kairue,2_two
ketolu,3_three
kaiβesi,4_four
xaiβesi,4_four
kailime,5_five
xailime,5_five
kaiʲono,6_six
kaiᵐbitu,7_seven
xaiᵐbitu,7_seven
kaiwelu,8_eight
kaisiɣʷo,9_nine
haŋaβulu,10_ten
ŋaβuluɣeirue,11_twenty
ŋaβulɣeilime,12_fifty
ɸuⁿdolue,13_onehundred
teriβaɣataɣale,14_onethousand
hiɣaʊ,15_year
matue,16_right
mawiri,17_left
neu,18_i
kamai,19_weallexcl
kinderu,20_webothincl
kamuro,21_webothexcl
kiⁿde,22_weallincl
niᵑɡo,23_thou
kimiru,24_youboth
kimiu,25_youall
ŋʲe,26_heshe
ŋʲere,27_theyall
ŋere,27_theyall
ŋereɣairue,28_theyboth
hatie,29_nonot
haβaɣi,30_what
hine,31_who
loɣo,32_where
haβataro,33_when
wuraha,34_how
ŋie,35_this
ŋieβano,36_that
namawe,37_above
loβaβaɣɪ,38_below
lolona,39_ininside
ᵑɡʷatu,40_head
ɸulu,41_hair
mata,42_eye
ᵑɡʷaŋo,43_nose
ᵑɡʷero,44_ear
siŋo,45_mouth
mea,46_tongue
liβʷo,47_tooth
limaⁿda,48_hand
siᵑɡʷe,49_shoulder
mʷaɣoro,50_neck
kahere,51_back
ᵑɡaruᵑɡu,52_leg
ⁿdai,53_blood
hui,54_bone
ɸinu,55_skin
taᵑɡʷaŋi,56_belly
tinae,57_intestines
huhu,58_breast
ate,59_liver
wiriu,60_dog
manu,61_bird
iɣe,62_fish
ŋʷata,63_snake
siloti,64_worm
wutu,65_louse
ɣutu,65_louse
toa,66_rat
ᵐbʷarataɣaɣa,67_spider
namo,68_mosquito
toli,69_egg
xolo,70_tail
ɣolo,70_tail
ᵐbaihine,71_wing
ɸulu,72_feather
ŋʷera,73_man
ɸaβine,74_woman
maresu,75_child
hena,76_name
ratahiᵑɡu,77_mother
tamaᵑɡu,78_father
tamainetuᵑɡu,79_husband
xaxoraᵑɡu,80_wife
rani,81_day
ᵐboŋi,82_night
ɸule,83_moon
ɸisiu,84_star
ⁿdoⁿdo_maeto,85_sky
wai,86_water
horewai,87_lake
tahi,88_sea
aβi,89_fire
ahu,90_smoke
kʷie,91_ash
ɸatu,92_stone
tano,93_earthsoil
ᵑɡʷie,94_dust
one,95_sand
uhe,96_rain
taeleŋi,97_cloud
laŋi,98_wind
mantawa,99_thunder
ɸile,100_lightning
ᵐbiɣi,101_meatflesh
ŋʷasi,102_fruit
tamatue,103_woodsforest
xoari,104_root
ɣoari,104_root
raŋa,105_branch
rau,106_leaf
xai,107_wood
ⁿduɣu,108_grass
ɸire,109_flower
βire,109_flower
ɸuliβale,110_thatchroof
ɸale,111_house
xaro,112_rope
karo,112_rope
tureɣi_ᵐbiti,113_roadpath
maeto,114_black
maβute,115_white
memea,116_red
ᵑɡʷaruᵑɡʷaroɣa,117_green
ᵑɡʷaruᵐbʷaroɣa,117_green
aŋoxa,118_yellow
lawa,119_big
ᵐbiti,120_small
maᵑɡeᵑɡeni,121_sharp
ᵑɡʷatoa,122_bluntdull
maemae,123_shyashamed
sesea,124_old
xaɣarasi,125_painfulsick
xarea,126_good
wesi,127_bad
xoɣo,128_correcttrue
soᵑɡora,129_dirty
maⁿda,130_rotten
maβa,131_heavy
ɸaɣahaʊ,132_far
kaᵑɡarani,133_near
xamʷaⁿdiⁿdi,134_cold
mamaha,135_dry
ᵐbiᵐbilu,136_wet
xaraᵑɡʷa,137_new
karaᵑɡʷa,137_new
ⁿdolue,138_other
maĩ,139_come
ⁿdiɣe,140_walk
laᵐbe,141_stand
toɣa,142_sit
soi,143_fall
eno,144_liedown
tuⁿdori,145_turn
ᵑɡalo,146_climb
kaɣaru,147_swim
xaɣaru,147_swim
olo,148_flyverb
tuli,149_throw
ɸuniɣi,150_hide
xani,151_eat
ɣani,151_eat
inu,152_drink
tarani_maturu,153_yawn
loⁿdo,154_spit
ᵐbʷoᵐbore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mate,158_die
ɸiliɸaɣamatea,159_kill
leo,160_see
roŋo,161_hear
ᵐbonaɣi,162_sniffsmell
mana,163_laugh
ŋara,164_cry
here,165_blow
xaʊ,166_burn
turuᵐbiᵐbi,167_sew
ⁿdoro,168_pound
ue,169_hit
taie,170_cut
seni,171_split
xeli,172_dig
tureɣi,173_hunt
haᵑɡo,174_hold
mataɣu,175_fear
ɸʷalu,176_count
reβe_maᵐbuhi,177_breathe
lue,178_vomit
ɸau,179_tieup
woro,180_squeeze
ɸuɣe,181_swell
ɸeβe,182_say
hirie,183_scratch
turu,184_stab
ɸʷoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
xoβu,188_cook
ɸene,189_shoot
taᵐbana,190_work
roa,191_open
