Nindesouthwestbay,English Translation
-se,1_one
a-xowɔ,2_two
i-tʉl,3_three
i-vɛs,4_four
sɛlɪmɛ,5_five
ⁿdumʷɔse,6_six
ⁿdumanaxowɔ,7_seven
ⁿdumanatl,8_eight
ⁿdumanaves,9_nine
ðaŋal,10_ten
nɛ-to,15_year
desmotɪnɛh,16_right
desmiax,17_left
kɪne,18_i
kaamɛm,19_weallexcl
kɪtax,20_webothincl
kaamax,21_webothexcl
kite,22_weallincl
nunk,23_thou
kamo,24_youboth
nie,26_heshe
naxa,27_theyall
ravoxuo,28_theyboth
ⁿde,30_what
nane,31_who
mɛnɛ,32_where
manmɛnɛ,34_how
ioŋe,35_this
terevɛ,36_that
-ɛre,37_above
-vɛnɛ,38_below
lele,39_ininside
n-ɛlpute,41_hair
nɛ-mɪtɛ-ne,42_eye
nɪ-ⁿdlɪɪŋa-ne,44_ear
nɛ-lmɛ-ne,46_tongue
nɛ-vaxa-ne,48_hand
nɪ-ᵐbutvaxa,49_shoulder
nʊ-ᵐbulwoi,50_neck
tuko-niɛ,51_back
nɪ-ᵐbulɛ-ne,52_leg
na-re,53_blood
no-ᵐboðoᵑgɔ,54_bone
ni-vɪtu-m,56_belly
nɛ-sɛ-ne,57_intestines
momʷɔ,58_breast
nu-ᵐbopu-ne,59_liver
kapʊx,60_dog
nɛ-mɛn,61_bird
nɪ-miaðe,62_fish
na-mate,63_snake
nɪ-ᵑgɛlɛs,64_worm
no-ᵑgʊt,65_louse
kairate,66_rat
nɛ-taðe,67_spider
ⁿdukas,68_mosquito
na-maðap,69_egg
nɛ-lᵐbɪse,70_tail
nɛ-lvaɣa,71_wing
nɛ-lɛl,72_feather
aiwut,73_man
ᵐboʔoilolo,75_child
nɪ-kia-ni,76_name
sanawɔx-ɣɪne,77_mother
tatai,78_father
nu-mugut_akɪne,79_husband
watawɔx-akine,80_wife
ðaxan,81_day
lɪvɛte,82_night
nɛ-ve,83_moon
na-nmʷusie,84_star
ne-mɪlɛŋe,85_sky
no-woi,86_water
nɛ-tɛs,88_sea
nɪ-ᵐʙiah,89_fire
-ⁿdɔŋɔ,90_smoke
nɪ-ᵐbɪniɛp,91_ash
nɛ-vɛt,92_stone
nɛ-tɛne,93_earthsoil
nɪ-sisip,94_dust
nɪ-ᵐbɪnwane,95_sand
no-wɔ,96_rain
na-ᵐban,97_cloud
na-aðaŋ,98_wind
nɪ-vɪlɛh,99_thunder
nɪ-vɪlɛe_ᵑgoŋolo,100_lightning
no-on_ᵐbuas,101_meatflesh
na-wan-ne,102_fruit
ðasoŋone,103_woodsforest
na-ᵑgaxawa-n,104_root
na-usaɣa,105_branch
nu-wɔxɔ,106_leaf
n-ei,107_wood
nɛ-soŋone,108_grass
ni-tʉβe-ne,109_flower
nu-xoite,110_thatchroof
na-mʷi,111_house
nɛ-tɛl,112_rope
na-ða,113_roadpath
-mite,114_black
-mʉs,115_white
-miaðɛ,116_red
-mɛlkɪse,117_green
-lʉt,118_yellow
-tlɛpe,119_big
-lolo,120_small
-maŋal,121_sharp
-ᵐʙukɔ,122_bluntdull
-maðe,123_shyashamed
kaiwut,124_old
-miaʔ,125_painfulsick
-ⁿda,126_good
-pelawas,127_bad
-mʷotɪne,128_correcttrue
-mɪtɛ_kiki,129_dirty
-mom,130_rotten
-luᵐʙ,131_heavy
-sɪlaʔ,132_far
-sasa,133_near
-nɛmeðaʔ,134_cold
-maɣaxas,135_dry
-luᵐʙ,136_wet
βɛβeo,137_new
-pul,139_come
-taxse,141_stand
-spɔspɔ,142_sit
-sum,143_fall
-iaxpɪkɪs,145_turn
-iaʔ,146_climb
-ⁿdɛⁿdɛn,147_swim
-iɛle,148_flyverb
-suᵐboro,149_throw
-tuðaðaʔ,150_hide
-kaʔan,151_eat
-min,152_drink
-wolɛl,153_yawn
-xoi,154_spit
-li_ᵐbaɣie,155_dream
-mɪtox,156_sleep
-muɔx,157_live
-mɛs,158_die
-xuʃ-mɛs,159_kill
-li,160_see
-xoŋe,161_hear
noᵐʙone,162_sniffsmell
-vitumoh,163_laugh
-xo,164_cry
-sisɪɣp,165_blow
-ðaða,166_burn
-xus,168_pound
-xuʃ,169_hit
-sɪm,170_cut
-siᵐbax,171_split
-kil,172_dig
-xɔxɔmɛn,173_hunt
-palɛl,174_hold
-mɛtaʔ,175_fear
-viwɔx,176_count
-ᵑgaɣa-ᵑgaɣa,177_breathe
-lʉluɔ,178_vomit
wuʃ,179_tieup
-ᵐʙuxuʃ,180_squeeze
-tiᵐʙ,181_swell
ᵐbɪti,182_say
-iox,183_scratch
-ᵐbul,185_buy
-vɛnaʔ,186_steal
-ðap,187_plant
-tupuʃ,189_shoot
-xaʔ,190_work
-sax,191_open
