Ctlsungwadagalalaundi,English Translation
tuwale,1_one
rua,2_two
tolu,3_three
ɸʲati,4_four
taβalima,5_five
laɸtuwale,6_six
laɸrua,7_seven
laɸtolu,8_eight
leiβati,9_nine
saŋaβul,10_ten
sawuldrua,11_twenty
saɰʷul_taβalima,12_fifty
ŋʷelⁿdol,13_onehundred
tarβatuwale,14_onethousand
ⁿdam,15_year
matowa-ᵑɡu,16_right
xaloa-ᵑɡu,17_left
nau,18_i
ɡomai,19_weallexcl
xiⁿda_rua,20_webothincl
ɡamurua,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ɡamraɣrua,24_youboth
ɡamrua,24_youboth
ɡam,25_youall
ia,26_heshe
era_xunuh,27_theyall
era,27_theyall
era_rua,28_theyboth
xʷatea,29_nonot
asa,30_what
ise,31_who
ᵐbeɣe,32_where
saβa_taro,33_when
ⁿdasina,34_how
ⁿdala,35_this
ⁿdavano,36_that
waᵑɡena,37_above
ɸaβana,38_below
lolona,39_ininside
ᵑɡʷatu-ᵑɡu,40_head
ulu-ᵑɡu,41_hair
mata-ᵑɡu,42_eye
lisu-ᵑɡu,43_nose
ᵑɡʷoro-ᵑɡu,44_ear
xʷaɣʷa-ᵑɡu,45_mouth
luaeme-ᵑɡu,46_tongue
liwo-ᵑɡu,47_tooth
lima-ᵑɡu,48_hand
tiᵑɡʷa-ᵑɡu,49_shoulder
xawa-ᵑɡu,50_neck
taɣu-ᵑɡu,51_back
raŋo-ᵑɡu,52_leg
ⁿdai-ᵑɡu,53_blood
suri-ᵑɡu,54_bone
ɸinu-ᵑɡu,55_skin
xete-ᵑɡu,56_belly
tinai-ᵑɡu,57_intestines
susu-ᵑɡu,58_breast
ɸara-ᵑɡu,59_liver
xʷiriu,60_dog
manu,61_bird
masi,62_fish
ŋʷata,63_snake
sulate,64_worm
ŋʷandi,65_louse
xariɸ,66_rat
xarip̚,66_rat
taɣaɣa,67_spider
namu,68_mosquito
tolu,69_egg
xolo-na,70_tail
xʷolo-na,70_tail
ᵐbani-na,71_wing
ulna_ᵐbani-na,72_feather
tatuata,73_man
ɸaβine,74_woman
ŋʷera,75_child
sasa-ᵑɡu,76_name
ᵑɡʷau-ᵑɡu,77_mother
tata-ᵑɡu,78_father
tuᵐbu-ᵑɡu,79_husband
ᵑɡauli-ᵑɡu,80_wife
rani,81_day
ᵑɡʷoŋi,82_night
xula,83_moon
xʷula,83_moon
xʷuna,83_moon
ɸitiu,84_star
maβiⁿdi,85_sky
ᵐbei,86_water
ᵑɡilo,87_lake
tasi,88_sea
aβi,89_fire
asu,90_smoke
taniaɸ,91_ash
ɸatu,92_stone
tano,93_earthsoil
taniaɸ,94_dust
one,95_sand
usa,96_rain
taelaŋ,97_cloud
laŋi,98_wind
manɸara,99_thunder
xʷaŋa,100_lightning
ᵐbiɣi,101_meatflesh
weina,102_fruit
uta_xʷono,103_woodsforest
xoro-na,104_root
raina,105_branch
ⁿdau-na,106_leaf
xai,107_wood
ᵐbalis,108_grass
matasna,109_flower
ⁿdau,110_thatchroof
taᵑɡura,110_thatchroof
ɸale,111_house
xawe,112_rope
sala,113_roadpath
maeto,114_black
oxʷoxʷo,115_white
memea,116_red
malxesa,117_green
xeseŋaxa,117_green
waŋoxa,118_yellow
aŋoxa,118_yellow
mʷaŋasi,119_big
riŋriᵑɡi,120_small
riᵑɡi,120_small
xaxan,121_sharp
ᵑɡʷatol,122_bluntdull
meimei,123_shyashamed
tatmatua,124_old
wawale,125_painfulsick
xʷia,126_good
sati,127_bad
turuɣa,128_correcttrue
oro,129_dirty
ⁿdaru,130_rotten
ⁿdemu,131_heavy
ɸaⁿdreⁿdu,132_far
ɸirβirtax,133_near
mʷandiŋ,134_cold
mandiŋ,134_cold
mamasa,135_dry
saŋʷale,136_wet
araᵑɡʷa,137_new
tuara,138_other
kuma,139_come
xau,140_walk
tulu,141_stand
taɰʷara,142_sit
soe,143_fall
eno,144_liedown
ⁿdiɣeᵑɡo,145_turn
fenex,146_climb
xaxaru,147_swim
xʷaɣa,148_flyverb
wosak_son,149_throw
wosak_soni,149_throw
untau,150_hide
xʷanxan,151_eat
unu,152_drink
ŋʷaŋʷaβa,153_yawn
xʷura,154_spit
maturu_ᵑɡʷorᵑɡʷore,155_dream
maturu,156_sleep
ŋʷaso,157_live
mʷate,158_die
wasiatmate,159_kill
wasa_matea,159_kill
wete,160_see
roŋo,161_hear
ŋʷatue,162_sniffsmell
nau_mana,163_laugh
nau_ŋara,164_cry
sere,165_blow
nosi,166_burn
tuɰʷuru,167_sew
waswasia,168_pound
wasia,169_hit
tai,170_cut
ⁿdara,171_split
xili,172_dig
saro,173_hunt
tori,174_hold
mʷatxuti,175_fear
ɸʷalu,176_count
mambusi,177_breathe
lulue,178_vomit
liβit,179_tieup
firsa,180_squeeze
riɣa,181_swell
ɸeβe,182_say
taᵑɡar,183_scratch
susux,184_stab
xʷoli,185_buy
ᵐbalu,186_steal
ririwu,187_plant
raraŋai,188_cook
raŋai,188_cook
ɸene,189_shoot
roᵐba,190_work
rani,191_open
rania,191_open
