Uliveopeskaros2,English Translation
nɛⁿdam,15_year
matu,16_right
mʷair,17_left
kinao,18_i
kaⁿdito,19_weallexcl
kaⁿdaru,20_webothincl
kɪnam_ɪru,21_webothexcl
kuⁿdato,22_weallincl
kajuŋ,23_thou
kam_ɪru,24_youboth
kamito,25_youall
ᵑgajih,26_heshe
kalitowɔ,27_theyall
alaru_wea,28_theyboth
awa,29_nonot
nɪsa,30_what
ase,31_who
ambi,32_where
ᵐboŋasa,33_when
imaᵐbe,34_how
saŋga,35_this
ᵑgaja,36_that
-maɣat,37_above
apan,38_below
-loxɔim,39_ininside
kaⁿdu-n,40_head
vuru-n,41_hair
mɪta-n,42_eye
xonoʃu-n,43_nose
dariŋa-n,44_ear
ᵐboŋo-n,45_mouth
mea-n,46_tongue
rivo-n,47_tooth
fɪla-n,48_hand
ᵐbatɣovɛsu-n,49_shoulder
xoloa-n,50_neck
maⁿdu-n,51_back
riɛ-n,52_leg
nɪⁿda,53_blood
bəlaseox,54_bone
horxote,55_skin
baxavu-n,56_belly
nɪnɛ-n,57_intestines
susu-l,58_breast
na-mamp,59_liver
lipax,60_dog
nɪ-mæn,61_bird
na-jɛx,62_fish
na-mʷat,63_snake
tuŋulas,64_worm
na-xʊt,65_louse
xasu,66_rat
liŋɛsɪŋɛs,67_spider
na-nam,68_mosquito
ⁿdavo_xo_mæn,69_egg
ᵑgilɛ-n,70_tail
khaᵐbɪlæ-n,71_wing
vurur_xo_mæn,72_feather
uluman,73_man
na-pɪɣavut,74_woman
natyl,75_child
xasa-n,76_name
nana,77_mother
tata,78_father
soa-n,79_husband
ᵐbariam-sa-n,80_wife
lɪneal,81_day
lɪnmɛreuŋ,82_night
xaᵐbati,83_moon
mʷeso,84_star
mator_mav,85_sky
nu-wai,86_water
nɪ-tas,88_sea
na-xamʙ,89_fire
ᵐbʷas,90_smoke
mʷasiav,91_ash
nɪ-vat,92_stone
na-tan,93_earthsoil
mʷasiaf,94_dust
ᵐbiʊn,95_sand
na-us,96_rain
mavukas,97_cloud
na-lan,98_wind
wilwurwur,99_thunder
kaᵐbil,100_lightning
wisox,101_meatflesh
fʷi-te,102_fruit
liliɣai,103_woodsforest
xarxe-tie,104_root
pasɣa-te,105_branch
lu-te,106_leaf
na-xai,107_wood
liʉl,108_grass
pusɣo-te,109_flower
ni-at,110_thatchroof
na-im,111_house
xao,112_rope
na-pʷisal,113_roadpath
-mɛrmɛɾ,114_black
-paxapʊx,115_white
-ᵐbisᵐbis,116_red
-kɪskɪsan,117_green
-jaŋjaŋ,118_yellow
-tiᵐbao,119_big
-kɪkɛrɛx,120_small
-kan,121_sharp
ᵐbʷit,122_bluntdull
ɣuruniza,123_shyashamed
-mætu,124_old
-mɪsax,125_painfulsick
-foi,126_good
-sa,127_bad
-titin,128_correcttrue
-mɛrmɛr,129_dirty
i-mom,130_rotten
-mɪlas,131_heavy
-atut,132_far
-pɪpaⁿdaŋ,133_near
-mɛlaɣas,134_cold
-masɪmas,135_dry
-musɪmus,136_wet
-vɪveo,137_new
kɔ-mai,139_come
-jar,140_walk
-il,141_stand
-ᵐʙotax,142_sit
-tɛx,143_fall
-patapat,144_liedown
-tajir,145_turn
-pɪlao,146_climb
-ᵑgar,147_swim
-mɪlax,148_flyverb
-ᵐbar_xeni,149_throw
-susuwani,150_hide
-xan,151_eat
-mun,152_drink
-xanɪmao,153_yawn
-ᴩulai,154_spit
ᵐbuᵐbʷɛr,155_dream
-pat,156_sleep
-maur,157_live
-mæt,158_die
-par-ᵐʙuni,159_kill
kəta,160_see
-susaloŋ,161_hear
-mʷunusi,162_sniffsmell
-man,163_laugh
-taŋ,164_cry
ɛ-vuv,165_blow
-paŋ,166_burn
-soⁿde,167_sew
-tʊxtoɣi,168_pound
-fʷazi,169_hit
-tai,170_cut
-tabuli,171_split
-xeri,172_dig
-kukao,173_hunt
taxkadi,174_hold
mɪtax,175_fear
-furoŋi,176_count
-suŋavuŋaf,177_breathe
-ru,178_vomit
-ᵐbaŋisi,179_tieup
-ᵐʙus_xeni,180_squeeze
-tœmb,181_swell
-kɛle,182_say
-xaruwi,183_scratch
-turi,184_stab
-fori,185_buy
-vɪnɔɣi,186_steal
-maᵐʙule,187_plant
-vɛni,189_shoot
-wum,190_work
-sɪŋav,191_open
