Ssungagageasanvari,English Translation
xai_tuwale,1_one
xai_rua,2_two
xai_tolu,3_three
xai_veti,4_four
xai_lima,5_five
xai_olo,6_six
xai_ᵐbitu,7_seven
xai_vʷelu,8_eight
xai_sivo,9_nine
saŋavulu,10_ten
navulɣeirua,11_twenty
navulɣeilima,12_fifty
fulⁿdolua,13_onehundred
fasaŋavul,14_onethousand
faɣasaŋavul_xai_tuwale,14_onethousand
taulu,15_year
mʷetua,16_right
mʷeriri,17_left
neu,18_i
ɡamai,19_weallexcl
xiⁿda-ru,20_webothincl
ɡama-ru,21_webothexcl
gamangai-rua,21_webothexcl
xiⁿda,22_weallincl
niᵑɡo,23_thou
ɡemi-ru,24_youboth
ɡemiu,25_youall
xaia,26_heshe
xaira,27_theyall
xairaxai-rua,28_theyboth
xai-rua,28_theyboth
ᵐbueli,29_nonot
sana,30_what
isei,31_who
sei,31_who
jeᵐbe,32_where
eᵐbe,32_where
saβa_alo,33_when
fei_xusiᵐbe,34_how
xaɣe,35_this
laɣa,36_that
aulu,37_above
lavavana,38_below
lolo,39_ininside
ᵐbʷatu,40_head
ɸulu,41_hair
mata,42_eye
xansu,43_nose
ᵐbʷero,44_ear
ɸʷaɸʷa,45_mouth
fʷafʷa,45_mouth
mea,46_tongue
liɸo,47_tooth
lima,48_hand
tiᵐbʷa,49_shoulder
mʷaɣoro,50_neck
xan̪teɣu,51_back
ɡaru,52_leg
ⁿdai,53_blood
sui,54_bone
ɸinu,55_skin
taŋa,56_belly
tinai,57_intestines
susu,58_breast
ate,59_liver
xiriu,60_dog
manu,61_bird
malu,61_bird
iɣa,62_fish
teltele,63_snake
siloti,64_worm
xotu,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namo,68_mosquito
toli,69_egg
xolo,70_tail
xaᵐbau,71_wing
fulu,72_feather
mʷera,73_man
favine,74_woman
maresu,75_child
ase,76_name
ᵐbou,77_mother
tata,78_father
tamaᵑgu,78_father
asoaᵑɡu,79_husband
tasalaᵑɡu,80_wife
rani,81_day
ᵐboŋi,82_night
ɸula,83_moon
ɸitiu,84_star
taetae,85_sky
wai,86_water
ᵐbulo,87_lake
tasi,88_sea
avi,89_fire
asu,90_smoke
tiᵑɡevu,91_ash
fatu,92_stone
tano,93_earthsoil
tiᵑɡevu,94_dust
one,95_sand
use,96_rain
ⁿdoⁿdo,97_cloud
laŋi,98_wind
mantavʷa,99_thunder
vila,100_lightning
ᵐbiɣi,101_meatflesh
fʷai_xai,102_fruit
temetua,103_woodsforest
xoari,104_root
raŋa,105_branch
rau,106_leaf
xai,107_wood
mʷanea,108_grass
fira,109_flower
taᵑɡore,110_thatchroof
imʷa,111_house
xau,112_rope
sala,113_roadpath
maeto,114_black
m⁽ʷ⁾avuta,115_white
memea,116_red
malaɣesa,117_green
aŋoɣa,118_yellow
xaiβua,119_big
ᵐbiti,120_small
mankeŋkeŋi,121_sharp
ᵐbatola,122_bluntdull
ᵐbusᵐbusi,123_shyashamed
muniɣi,124_old
xaxarati,125_painfulsick
xarea,126_good
seti,127_bad
turuɣa,128_correcttrue
soŋora,129_dirty
ᵐboᵐboɣa,130_rotten
mamavi,131_heavy
salaŋava,132_far
kaᵑɡarani,133_near
xamʷaⁿdiⁿdi,134_cold
mamasa,135_dry
ⁿdoβu,136_wet
xaraᵐbʷa,137_new
fʷate,138_other
ɡovanai,139_come
laɣo,140_walk
man_meⁿdu,141_stand
noro,142_sit
sovi,143_fall
eno,144_liedown
tuhendori,145_turn
ᵑɡalo,146_climb
xaxaru,147_swim
xaɣa,148_flyverb
xaxa,148_flyverb
tuli,149_throw
siliβeɣi,150_hide
xaɣani,151_eat
minu,152_drink
mamao,153_yawn
loⁿdo,154_spit
ᵐbuᵐbore,155_dream
maturu,156_sleep
mʷaso,157_live
mate,158_die
wesɸaɣamate,159_kill
leo,160_see
roŋo,161_hear
roŋo_ᵐboni,162_sniffsmell
mana,163_laugh
ŋara,164_cry
uβi,165_blow
sere,165_blow
mʷavi,166_burn
liɣo,167_sew
wesi,169_hit
teβe_tevaia,170_cut
boᵐbo_fʷaɣa,171_split
tai_ɸʷaɣa,171_split
xeli,172_dig
ruɣu,173_hunt
saᵑɡo,174_hold
mataɣu,175_fear
ᵐbʷiri,176_count
reve_laŋi,177_breathe
loⁿdo,178_vomit
fau,179_tieup
ɸoro,180_squeeze
fʷuɣe,181_swell
feve,182_say
taᵑɡari,183_scratch
ⁿduru,184_stab
ɸoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
tutunuva,188_cook
ɸene,189_shoot
roᵐba,190_work
xavaŋea,191_open
