Lopalis,English Translation
limana,48_hand
mʷɛl,17_left
marua,16_right
laːna,52_leg
omiːal,140_walk
raːpa,416_road
wemi,139_come
ojlomoj,145_turn
okul,147_swim
kororɔki,129_dirty
snaːteno,94_dust
kulepema,55_skin
masŭma,51_back
mapona,444_stomach
purina,54_bone
snena,57_intestines
puriero,59_liver
rajuna,58_breast
sinalimana,49_shoulder
ostemaːlia,315_know_understand
stomena,458_to_think
taːma,53_blood
paːrna,40_head
komɛlkina,50_neck
ilpaːna,41_hair
kununa,43_nose
omĭje,177_breathe
oᵐlopon᷈a,434_sniff
kuluŋgona,45_mouth
raluena,47_tooth
purĭnama,46_tongue
pitaːle,163_laugh
otaⁿg,164_cry
olualua,178_vomit
nopuːli,154_spit
okiːnana,151_eat
okaria,464_to_chew
opraⁿkap,188_cook
omun᷈a,152_drink
okararia,212_to_bite
omun᷈a,448_suck
kiliŋgama,44_ear
oᵐloŋgea,161_hear
komarana,42_eye
nomaːlia,160_see
omieluajo,153_yawn
mĭmaljo,156_sleep
nemieleko,144_liedown
omonija,155_dream
teteno,142_sit
osmalu,141_stand
jaru,306_person
erina,73_man
sira,74_woman
sisua,75_child
oʰu,79_husband
oʰu,80_wife
teːte,77_mother
taːta,78_father
juma,111_house
rakiⁿda,455_thatch
soᵐki,76_name
ojsa,182_say
kilĭka,112_rope
ojaria,179_tieup
olija,167_sew
kurumol,362_needle
surtetaŋ,173_hunt
ojnija,189_shoot
omiurja,184_stab
oja,169_hit
ojnaʰun᷈a,186_steal
auemo maria,159_kill
mare,158_die
maːal,157_live
pikirara,183_scratch
netija,170_cut
laki,107_wood
otefaja,171_split
surmal,121_sharp
maʷa,122_bluntdull
omaʰe,190_work
omaplaː,187_plant
sneʰun᷈a,465_to_choose
surkapur,302_to_grow
sirop,181_swell
okumuruja,180_squeeze
nokmarja,174_hold
nekilja,172_dig
oʰulea,185_buy
ojkea,191_open
owewea,168_pound
okoen᷈a,149_throw
oᵐleru,143_fall
lokuli,60_dog
manu,61_bird
kuluto,69_egg
paːma,72_feather
kupena,71_wing
ka,148_flyverb
kawe,66_rat
kuᵐbui,336_meat
mura,258_fat
kina,70_tail
lomara,63_snake
kuːlar,64_worm
kuru,65_louse
namu,68_mosquito
koromalil,67_spider
ika,62_fish
taːataŋa,130_rotten
koruwasja,105_branch
maki,106_leaf
puliŋgasia,104_root
inasia,109_flower
rasja,102_fruit
mamuni,108_grass
snaːteno,93_earthsoil
klajɛr,92_stone
noːon,95_sand
wiː,86_water
wikiriri,286_flow
siː,88_sea
lapa,87_lake
emarua,103_woodsforest
pɛni,85_sky
kupario,83_moon
erue,84_star
malko,97_cloud
polul,340_fog
iwa,96_rain
poluːl,99_thunder
jokarpila,100_lightning
laŋ,98_wind
ojuja,165_blow
pisusun,483_hot
mijawa,134_cold
memaː,135_dry
meme,136_wet
urmi,131_heavy
kap,89_fire
sija,166_burn
miju,90_smoke
supuluɑj,91_ash
mokɔlko,114_black
miwo,115_white
pilil,116_red
leleɛr,118_yellow
meme,117_green
etakito,120_small
tahura,119_big
plaːsia,426_short
piɑj,328_long
menini,457_thin
mererɛl,456_thick
miŋaria,359_narrow
pikea,489_wide
lelaː,125_painfulsick
mawa,123_shyashamed
surmarua,124_old
penaʰu,137_new
poⁿlaj,126_good
pulpuli,127_bad
mɛsmɛs,128_correcttrue
lemaːlko,82_night
lɛŋgena,81_day
kaːsia,15_year
poⁿgiɑj,33_when
kuanlon᷈a,150_hide
pumaja,146_climb
loʰosja,39_ininside
maja,37_above
jateno,38_below
naːni,35_this
najarne,36_that
lajis,133_near
pɛrŭna,132_far
peːne,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
ita,22_weallincl
iⁿdapenuja,19_weallexcl
iⁿdalua,20_webothincl
mimlua,21_webothexcl
amju,23_thou
italua,24_youboth
naŋala,27_theyall
naleːlua,28_theyboth
jakara,30_what
jaːj,31_who
natapona,138_other
naŋala,195_all
aⁿlu,199_and
sae,311_if
seʋe,34_how
ʋoluŋa,29_nonot
opluja,176_count
taŋa,1_one
lua,2_two
telu,3_three
jari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɛl,8_eight
ojar,9_nine
lualima,10_ten
lualima lua,11_twenty
lualima lima,12_fifty
ponotia taŋa,13_onehundred
ponotia lualima,14_onethousand
