Grapheme	IPA	Frequency
a	a	115
-	+	83
i	i	50
u	u	48
l	l	43
n$	n	43
^-	NULL	41
o	o	35
t	t	31
m	m	31
r	r	28
s	s	26
^i	i	24
i$	i	24
ɛ	ɛ	24
^k	k	23
^a	a	22
t$	t	16
l$	l	15
s$	s	15
e	e	14
r$	r	12
n	n	12
ŋ	ŋ	11
k$	k	10
m$	m	9
v	v	9
ɪ	ɪ	9
ᵐʙ	ⁿʙ	9
^m	m	9
^b	b	7
e$	e	7
ᵐb	ⁿb	7
p$	p	7
p	p	6
ŋ$	ŋ	6
^f	f	6
k	k	6
^e	e	5
^l	l	5
w	w	5
ⁿd	ⁿd	5
^h	h	5
ⁿdʳ	ⁿdʳ	4
^t	t	4
^o	o	3
^s	s	3
^ᵐb	ⁿb	3
^fʷ	fʷ	3
t͡s	ts	2
u$	u	2
ls	l s	2
ᵑk	ⁿk	2
g	g	2
d	d	2
β	β	2
ɬ$	ɬ	1
^g	g	1
^ŋ	ŋ	1
^mʷ	mʷ	1
^n	n	1
j$	j	1
pⁿ$	pⁿ/p	1
ɣ	ɣ	1
ʉ	ʉ	1
œ	œ	1
ə$	ə	1
^ⁿd	ⁿd	1
^ⁿdʳ	ⁿdʳ	1
^ɛ	ɛ	1
dʳ	dʳ	1
^ʙ	ʙ	1
^bʷ	bʷ	1
uː	uː	1
kʰ$	kʰ	1
æ$	æ	1
^aː	aː	1
ʙ$	ʙ	1
f	f	1
^u	u	1
vs	v s	1
^ᵐʙ	ⁿʙ	1
ᵑg	ⁿg	1
ɪ$	ɪ	1
ʒ	ʒ	1
a$	a	1
z$	z	1
pw	pʷ	1
rw	rʷ	1
æ	æ	1
ᴩ	p	1
^ɪ	ɪ	1
