Grapheme	IPA	Frequency
-	+	138
a	a	137
ɛ	ɛ	99
^n	n	69
l	l	54
u	u	44
t	t	43
o	o	43
s	s	36
ɛ$	ɛ	36
n	n	36
r	r	33
i	i	31
m	m	29
^-	NULL	28
i$	i	27
^i	i	24
ŋ	ŋ	22
v	v	21
^h	h	20
ᵐb	ⁿb	20
ə	ə	15
a$	a	14
ɪ	ɪ	14
l$	l	13
β	β	13
_	+	13
mʷ	mʷ	13
g	g	13
s$	s	11
k$	k	9
e$	e	8
ⁿd	ⁿd	8
n$	n	7
^u	u	7
r$	r	6
ɔ$	ɔ	6
e	e	6
w	w	6
m$	m	6
^w	w	6
u$	u	5
ʊ	ʊ	5
k	k	5
t$	t	5
^ɛ	ɛ	4
ə$	ə	4
ɔ	ɔ	4
d	d	4
p$	p	4
aˑ	aˑ	3
^k	k	3
ᵐbʷ	ⁿbʷ	3
ⁿdʳ	ⁿdʳ	3
βʷ	βʷ	3
mᵇ$	ⁿb	3
ɸ	ɸ	2
ᵑg	ⁿg	2
f	f	2
^a	a	2
æ	æ	2
^l	l	2
^m	m	2
o$	o	2
^o	o	2
βs	β s	1
__	+	1
b	b	1
_ⁿd	+ ⁿd	1
^x	x	1
uʰ$	u ʰ/h	1
^ⁿd	ⁿd	1
rs	r s	1
-$	NULL	1
vʷ	vʷ	1
iʰ$	i ʰ/h	1
ŋ$	ŋ	1
ɡ	g	1
gs	g s	1
ʉ	ʉ	1
h	h	1
xs	x s	1
sw	sʷ	1
^mʷ	mʷ	1
ms	m s	1
ɛˀ$	ɛ ˀ/ʔ	1
ᵑk$	ⁿk	1
^s	s	1
aˀ$	a ˀ/ʔ	1
