Grapheme	IPA	Frequency
a	a	104
i	i	60
l	l	58
u	u	56
e	e	55
^m	m	35
t	t	35
k$	k	35
m	m	33
n	n	30
n$	n	29
ɾ	ɾ	27
ɪ	ɪ	27
b	b	24
æ	æ	22
t$	t	21
i$	i	21
u$	u	19
^n	n	19
s	s	19
o	o	18
a$	a	17
m$	m	16
^b	b	16
u:	uː	15
l$	l	14
^t	t	14
k	k	13
^w	w	13
^a	a	13
c	c	12
^i	i	12
^o	o	12
ŋ	ŋ	11
ls	l s	11
_	+	11
^s	s	10
p	p	10
^c	c	10
s$	s	9
^ŋ	ŋ	7
ɸ	ɸ	7
^k	k	6
h	h	6
^l	l	6
w	w	6
r	r	6
e$	e	6
j	j	6
^mw	mʷ	5
ɛ	ɛ	5
ɪ$	ɪ	4
ɡ	g	4
^bw	bʷ	4
p$	p	4
^ɪ	ɪ	3
ɛ$	ɛ	3
rs	r s	3
ə	ə	3
o$	o	3
x	x	3
^æ	æ	3
e:	eː	3
^d	d	2
mw	mʷ	2
^ɛ	ɛ	2
^p	p	2
^u:	uː	2
^ʊ	ʊ	2
ɾ$	ɾ	2
^u	u	2
pw	pʷ	2
ʲ	j	2
iʲa	i j a	2
^e	e	1
^ɾ	ɾ	1
v	v	1
^ɡ	g	1
bw	bʷ	1
ɔ$	ɔ	1
lw	lʷ	1
^a:	aː	1
ŋ$	ŋ	1
a:	aː	1
ms	m s	1
tʃ	tʃ	1
^pw	pʷ	1
d	d	1
^ps	p s	1
ɾw	ɾʷ	1
u:$	uː	1
i:	iː	1
__	+	1
