Grapheme	IPA	Frequency
^-	NULL	77
-	+	69
ɛ	ɛ	59
o	o	54
a	a	52
ɪ	ɪ	43
^n	n	42
i	i	38
m	m	38
u	u	35
ɣ	ɣ	34
l	l	33
r	r	32
n$	n	25
ə	ə	23
v	v	23
t	t	20
s	s	18
r$	r	17
s$	s	14
l$	l	12
t$	t	12
n	n	12
ɾ	ɾ	11
e$	e	10
p	p	10
m$	m	9
b	b	9
ŋ	ŋ	9
_	+	8
ɾ$	ɾ	8
w	w	8
ɸ$	ɸ	8
x$	x	7
u$	u	6
^ɣ	ɣ	6
^l	l	6
^ⁿd	ⁿd	6
p$	p	6
v$	v	5
k	k	5
i$	i	5
ʊ	ʊ	5
ʧ	tʃ	5
a$	a	4
o$	o	4
mʷ	mʷ	4
^ⁿʒ	ⁿʒ	4
ɔ	ɔ	4
^ŋ	ŋ	3
^k	k	3
ə$	ə	3
ɛ$	ɛ	3
^s	s	3
ŋ$	ŋ	3
^ᵐb	ⁿb	3
^r	r	3
^p	p	3
e	e	3
^ᵑg	ⁿg	2
^i	i	2
z	z	2
ms	m s	2
æ	æ	2
t͡s$	ts	2
^a	a	2
x	x	2
vs	v s	1
^ɪ	ɪ	1
g	g	1
nʒ	ⁿʒ	1
h$	h	1
ᵐb	ⁿb	1
^ⁿʧ	ⁿtʃ	1
ts	ts	1
-$	NULL	1
^b	b	1
d	d	1
^m	m	1
k$	k	1
aʰ$	a ʰ/h	1
^ᵐbʷ	ⁿbʷ	1
ɣ̞	ɣ̞	1
vʷ	vʷ	1
lw	lʷ	1
ʧ$	tʃ	1
ɣs	ɣ s	1
ã$	ã	1
^w	w	1
ɔ$	ɔ	1
ns	n s	1
tw	tʷ	1
pʷ	pʷ	1
t͡s	ts	1
o͂$	õ	1
