Grapheme	IPA	Frequency
a	a	244
o	o	115
u	u	103
l	l	91
a$	a	91
r	r	80
β	β	75
n	n	71
e	e	58
m	m	54
i	i	54
k	k	50
^t	t	44
t	t	43
^k	k	43
e$	e	35
p	p	33
_	+	32
^m	m	30
i$	i	27
o$	o	24
^p	p	23
^s	s	22
u$	u	21
s	s	19
^l	l	19
^n	n	15
aː	aː	13
^a	a	13
n$	n	13
^r	r	12
j$	j	11
l$	l	10
^β	β	9
c	c	9
s$	s	8
t̠͡s̠	ts̠	7
^i	i	7
v	v	6
^w	w	6
^c	c	6
m$	m	6
j	j	6
t$	t	5
^aː	aː	4
w$	w	4
^u	u	3
ĭ$	ĭ	3
β$	β	3
t͡ʃ	tʃ	3
w	w	2
^t̠͡s̠	ts̠	2
^mʷ	mʷ	2
k$	k	2
pʷ	pʷ	2
^t͡ʃ	tʃ	2
$	NULL	2
f	f	1
^f	f	1
^v	v	1
^oː	oː	1
^e	e	1
sw	sʷ	1
ŭ$	ŭ	1
rw	rʷ	1
ă	ă	1
ns	n s	1
