Grapheme	IPA	Frequency
a	a	93
-	+	76
i	i	71
r	r	62
^-	NULL	51
u	u	50
n$	n	49
ɛ	ɛ	44
o	o	40
^n	n	39
m	m	36
e	e	25
n	n	25
t	t	22
^m	m	22
i$	i	22
e$	e	17
ɣ	ɣ	15
ɪ	ɪ	13
s	s	13
^r	r	12
ᵐb	ⁿb	12
u$	u	11
β	β	11
r$	r	10
^x	x	9
v	v	9
p	p	8
s$	s	8
ŋ$	ŋ	8
ŋ	ŋ	7
g	g	7
o$	o	7
ɾ	ɾ	7
t͡ʃ	tʃ	7
x$	x	7
t$	t	7
f	f	7
k	k	6
^s	s	5
b	b	5
^ᵐb	ⁿb	5
ᵐʙ	ⁿʙ	5
^h	h	4
m$	m	4
ʉ	ʉ	4
^b	b	4
l	l	4
_	+	4
^ɣ	ɣ	3
ʃ$	ʃ	3
t͡ʃ$	tʃ	3
ʒ	ʒ	3
ɾ$	ɾ	3
^a	a	3
x	x	3
^d	d	3
ᵐbʷ	ⁿbʷ	3
p˺$	p̚	3
p$	p	3
fʷ	fʷ	3
tʰ	tʰ	2
^ŋ	ŋ	2
ᵑg	ⁿg	2
^t	t	2
a$	a	2
^t͡ʃ	tʃ	2
^k	k	2
vʷ	vʷ	2
ɸ$	ɸ	2
ʊ	ʊ	2
pʷ	pʷ	2
h	h	2
^t͡sʰ	tsʰ	1
oˑ$	oˑ	1
ɪ$	ɪ	1
rs	r s	1
ᵐd	ⁿd	1
ⁿd	ⁿd	1
z	z	1
ᵑk	ⁿk	1
^w	w	1
-$	NULL	1
^v	v	1
ɛ$	ɛ	1
iˑ$	iˑ	1
^ʧ	tʃ	1
ʧ$	tʃ	1
rʒ	r ʒ	1
^ᵑg	ⁿg	1
vs	v s	1
ᵐp	ⁿp	1
$	NULL	1
^f	f	1
rᵑ	rⁿ	1
^l	l	1
^ⁿd	ⁿd	1
^p	p	1
ms	m s	1
mʷ	mʷ	1
w	w	1
ɔ$	ɔ	1
v$	v	1
^ɛ	ɛ	1
ŋs	ŋ s	1
j	j	1
nʃ	n ʃ	1
