Grapheme	IPA	Frequency
-	+	83
o	o	72
a	a	58
^mʷ	mʷ	42
u	u	39
n	n	37
ɛ	ɛ	30
l	l	28
i	i	27
t	t	24
r	r	23
ɛ$	ɛ	23
n$	n	18
^n	n	18
ɣ	ɣ	17
h	h	15
i$	i	15
^ɣ	ɣ	13
ð	ð	9
e	e	9
m	m	9
t$	t	8
v	v	8
r$	r	7
l$	l	6
ᵐb	ⁿb	6
^-	NULL	6
u$	u	5
_	+	5
o$	o	5
^ᵐb	ⁿb	5
^w	w	5
β	β	4
ŋ	ŋ	4
k	k	4
^t	t	4
e$	e	3
ɪ	ɪ	3
a$	a	3
^p	p	3
k$	k	3
^m	m	2
^k	k	2
^i	i	2
^h	h	2
s$	s	2
s	s	2
ð$	ð	2
^ð	ð	2
β$	β	2
h$	h	2
g	g	2
j	j	1
ʉ	ʉ	1
p	p	1
ɾ$	ɾ	1
b	b	1
^a	a	1
w	w	1
^s	s	1
^v	v	1
ɾ	ɾ	1
oo	oː	1
aa	aː	1
ee$	eː	1
ɛɛ$	ɛː	1
x$	x	1
ŋ$	ŋ	1
