Nasarianngava,English Translation
i-saxao,1_one
ɪ-ruɔ,2_two
i-tlul,3_three
i-vas,4_four
i-ləme,5_five
i-sozɔ,6_six
i-sorua,7_seven
i-sɛtl,8_eight
i-savas,9_nine
i-laŋavʊl,10_ten
a-ⁿdam,15_year
ᵐboraŋanə,16_right
ⁿdɛlmɛr,17_left
ᵑgəna,18_i
ⁿdal,22_weallincl
ᵑguɔ,23_thou
ᵑgal,24_youboth
je,26_heshe
ⁿdʳat,27_theyall
avʊk,30_what
wani,31_who
iose,32_where
ɪ-ⁿdɪmɪk,34_how
iɛna,35_this
iɛnawat,36_that
-mɛruɔ,37_above
-tɛnuɔ,38_below
-valuɔ,39_ininside
ᵐbatu-n,40_head
ɛ-vɛlɛl,41_hair
ᵑgarsɛ-n,43_nose
ⁿdɛliŋa-n,44_ear
ᵐboŋo-n,45_mouth
mɛlumal,46_tongue
nɛ-luvʷo-n,47_tooth
a-vara-l,48_hand
ᵐbʷas_vara-n,49_shoulder
ɛ-ⁿtɛlɛ-n,50_neck
a-takm,51_back
kalɛ-l,52_leg
ɛⁿdʳe,53_blood
a-vɪkal,54_bone
a-wavɪnɪs,55_skin
koptɛ-l,56_belly
nɪ-sɪnɛ,57_intestines
na-sɪs,58_breast
maᵐbora,59_liver
ᵐburman,60_dog
a-mæn,61_bird
a-ɛk,62_fish
a-mat,63_snake
a-ⁿdalas,64_worm
a-xʊt,65_louse
ɛ-ⁿdegɛle,67_spider
a-moBi,69_egg
ɛ-vɛlɛᵐbɛsi,70_tail
ɛ-vɛlɛᵑgawi,71_wing
ɛ-valɛli,72_feather
moot,73_man
kabat,74_woman
atai,75_child
a-ksena,76_name
sal-i,77_mother
a-tama,78_father
a-makut_tɪkɪne,79_husband
ɛ-tɛvɛt_tɪgɪne,80_wife
ral,81_day
luvokote,82_night
a-ᵐbasi,83_moon
ɛ-vunvʷut,84_star
a-map,85_sky
o-wɔ,86_water
a-tas,88_sea
a-xamp,89_fire
a-mosu_a-xamp,91_ash
a-vap,92_stone
a-tan,93_earthsoil
poniap,94_dust
mɪlɛsuanə,95_sand
a-os,96_rain
a-map,97_cloud
mɛlaas,98_wind
urur,99_thunder
ᵐbɛlᵐbɛ,100_lightning
a-fʷani,102_fruit
laŋarai,103_woodsforest
ᵑgarawane,104_root
-saᵑki,105_branch
a-raon,106_leaf
a-xai,107_wood
a-mʷonai,108_grass
a-tɛvsi,109_flower
a-ruat,110_thatchroof
na-xamal,111_house
a-tal,112_rope
a-sal,113_roadpath
-mɛt,114_black
-vovʷolao,115_white
-mial,116_red
-mɪmɛ,117_green
-waswasi,118_yellow
-lɪmpɪⁿdʳao,119_big
-lele,120_small
-maŋal,121_sharp
-ᵐbuk,122_bluntdull
-mʷole,123_shyashamed
-mʷotian,124_old
-ᵑgalɛte,125_painfulsick
-ruwai,126_good
-se,127_bad
-ᵐboraŋən,128_correcttrue
-mɛmɛ,131_heavy
-lɛŋa,132_far
-saŋa,133_near
-mɪlaka,134_cold
-mɛsamasa,135_dry
-wowɔrɔ,136_wet
-vovao,137_new
-ᵐbʷɛl,139_come
-lakalak,140_walk
-tər,141_stand
-sum,142_sit
-mur,143_fall
-mʷon_ⁿdao,144_liedown
-ⁿdʳi,145_turn
-sak,146_climb
-lɛsalɛs,147_swim
-ial,148_flyverb
-kuᵐbuk,149_throw
-molomok,150_hide
ⁿdaotao,151_eat
-mɪn,152_drink
-puvorai,154_spit
-mʷon_a_lɛs,155_dream
-mʷon,156_sleep
-maor,157_live
-mas,158_die
-raŋa,161_hear
-wosɪŋal,163_laugh
-worat,164_cry
-ᵐbərap,165_blow
-ᵐbulu,166_burn
-araravis,168_pound
-tɛlᵐbe,169_hit
-taɾa,170_cut
-tɛᵐbɛr_ᵐburai,171_split
-ɣɪl,172_dig
-porⁿdao,174_hold
-mɪtak,175_fear
-kare,177_breathe
-lalu,178_vomit
-ᵐbus,180_squeeze
-laᵐbe,181_swell
-sɛrɛ,182_say
-karas,183_scratch
-tur,184_stab
-ᵐbul,185_buy
-mɪrak,186_steal
-plap,187_plant
-ᵐbalua,189_shoot
-rak,190_work
-olʊl,191_open
