Letemboiaingelemolesa,English Translation
sua,1_one
i-rua,2_two
i-tʰɬ,3_three
-fas,4_four
i-ləmɛ,5_five
lɛvsua,6_six
lɛvrua,7_seven
laβutl,8_eight
laːvəs,9_nine
laŋaβl,10_ten
laŋaβl_i-rua,11_twenty
laŋaβl_i-ləme,12_fifty
laŋaβl_i-laŋaβl_aute_sua,13_onehundred
natao,15_year
baraŋənə,16_right
talmieɾ,17_left
naŋənɛ,18_i
aⁿdal,19_weallexcl
aⁿdarlua,20_webothincl
aⁿdalnamʷa,21_webothexcl
aⁿdar,22_weallincl
naŋu,23_thou
naŋarluɔ,24_youboth
naŋal,25_youall
ie,26_heshe
ⁿdl,27_theyall
ⁿdrr,28_theyboth
i-skan,29_nonot
nɛsvi,30_what
wani,31_who
iose,32_where
ɳaise,33_when
isaᵐbʷa,34_how
iona,35_this
tiwɛ,36_that
-lumari,37_above
-vi,38_below
-fanua,39_ininside
nɛ-ᵐbʷaˑt-i,40_head
nɛ-vɪl-i,41_hair
ɛ-mɛt-i,42_eye
na-ᵑgars-i,43_nose
ɛ-ⁿdɛlɛŋ-i,44_ear
na-ᵐbʷɔŋ-i,45_mouth
nɛ-mɛlu-i,46_tongue
nɛ-ləβʷ-i,47_tooth
a-vara-n,48_hand
na-ᵐbʷɔsvərə,49_shoulder
nɛ-ⁿdɛl-i,50_neck
na-taːk-i,51_back
nɛ-ⁿdʳe,53_blood
na-vʷigai,54_bone
na-wulwul,55_skin
na-avut-i,56_belly
nɛ-sne,57_intestines
na-asis,58_breast
na-maᵐbora,59_liver
puɾuman,60_dog
nɘ-man,61_bird
na-igə,62_fish
na-mʷɔte,63_snake
ɛ-ⁿdɛlas,64_worm
agət,65_louse
asua_vɪnmari,66_rat
ⁿdəŋalɛ,67_spider
a-togas,68_mosquito
na-mobi,69_egg
hɛ-pəlɛᵐbəsi,70_tail
ɛ-vɛli,72_feather
ha-mogʊt,73_man
hɛ-tuβʷote,74_woman
ha-teɪᵐborai,75_child
na-ksɛ,76_name
aⁿde,77_mother
a-mugut_tɪgɪne,79_husband
ne-tuβʷote_tɪgɪne,80_wife
a-raniɛne,81_day
luβugɔte,82_night
nɛ-ᵐbaˑsi,83_moon
nɛ-vʊnvʊt,84_star
ne-ɛmp,86_water
na-tas,88_sea
na-kamʙ,89_fire
nɛ-ⁿdɛlni,90_smoke
ɛ-mosuanɛ,91_ash
na-vat,92_stone
nɛ-tɛne,93_earthsoil
a-tɛnsɛle,94_dust
ha-mɛrsewan,95_sand
na-aose,96_rain
na-map,97_cloud
nɛ-lan,98_wind
na-ur,99_thunder
na-ᵐbəlɛ,100_lightning
laŋaᵐbʷos,101_meatflesh
na-vʷani,102_fruit
na-iⁿdua,103_woodsforest
a-wari,104_root
saŋi,105_branch
na-rugai,106_leaf
na-i,107_wood
nɛ-mʷonai,108_grass
nɛ-tɛvsi,109_flower
a-raoiɛte,110_thatchroof
ne-mʷɔ,111_house
a-tal,112_rope
nɛ-sɛle,113_roadpath
mɛtemɛte,114_black
i-fovolao,115_white
miɛmiɛlɛ,116_red
mɛɾara,117_green
waswasi,118_yellow
nɛᵐbɛⁿdʳao,119_big
ⁿdʳukəᵐbo,120_small
-maŋal,121_sharp
i-samaŋalvai,122_bluntdull
-mɪmane,123_shyashamed
-mʷatiɛnɛ,124_old
-ᵑgəlɛte,125_painfulsick
i-voi,126_good
-sɛte,127_bad
fɛlfɛl,128_correcttrue
lɛlɛŋe,129_dirty
ɳɛte,130_rotten
i-nɛmᵇ,131_heavy
-lək,132_far
-saŋasaŋa,133_near
tɛɾamɛse,135_dry
lamᵇ,136_wet
-fovo,137_new
iaŋasua,138_other
-wul,139_come
-laŋə,140_walk
-təre,141_stand
-saᵐbundam,142_sit
-mor,143_fall
-mʷonɛ_monɛndao,144_liedown
-ⁿdʳi,145_turn
-wolasak,146_climb
-lɛlɛse,147_swim
i-al,148_flyverb
-kuᵐbuk_luɔ,149_throw
i-mʷolomʷok,150_hide
-taotao,151_eat
-tawaiɛm,152_drink
-mɛməsɪr,154_spit
-ᵐbʷari,155_dream
-mʷonɛ,156_sleep
-maor,157_live
-mas,158_die
-ravɪsᵐbɪn,159_kill
-lɤs,160_see
-raune,161_hear
na-mus,162_sniffsmell
-βɪsɪŋal,163_laugh
-warɛtɛ,164_cry
i-rap,165_blow
i-nɛnɛ,166_burn
-tɛr,167_sew
-ravravis,168_pound
-ravis,169_hit
-tak,170_cut
-tiᵐborai,171_split
-kl,172_dig
-kararɛ,173_hunt
-forɛndau,174_hold
-mɛtak,175_fear
-ᵐbuluᵑk,176_count
-lualuɛ,178_vomit
-tuvəⁿdaotao,179_tieup
-ᵐbus,180_squeeze
-lɛᵐbe,181_swell
-sɛre,182_say
-kaikai,183_scratch
-tr,184_stab
-vul,185_buy
-mærak,186_steal
-kabʷak,187_plant
-tntn,188_cook
-vɪni,189_shoot
-rak,190_work
-savan,191_open
