Nalema,English Translation
naruna,48_hand
mahu,17_left
matua,16_right
naluana,52_leg
esurata,140_walk
naᵐbua,416_road
ka umaj,139_come
ka roʰaj,145_turn
ka loloso,147_swim
na motamota,129_dirty
na tanuʰavu,94_dust
na wilina,55_skin
na maⁿduna,51_back
na bʷelena,444_stomach
navatuna,54_bone
namaritana,57_intestines
na alikapu,59_liver
na susuna,58_breast
paʰuna,49_shoulder
na:atajan,315_know_understand
e miⁿdoⁿdoa,458_to_think
e mataku,175_fear
naⁿdana,53_blood
nabaʰuna,40_head
nakoⁿdolona,50_neck
na loluna,41_hair
naŋgosuna,43_nose
o sokasoa,177_breathe
e sʊiⁿdoŋgea,434_sniff
naⁿgonena,45_mouth
naᵐ batina,47_tooth
na menana,46_tongue
ɛ muru,163_laugh
ɛŋgaj,164_cry
ɛlua,178_vomit
ɛfufuraj,154_spit
ɛ ŋginikani,151_eat
ɛ ŋgatikati,464_to_chew
ɛmerenavinaŋ,188_cook
ɛ munu,152_drink
ɛ ŋgatia,212_to_bite
ɛ somsomia,448_suck
na daliŋgana,44_ear
ɛ doŋgoe,161_hear
na matana,42_eye
ɛ punusia,160_see
ɛ momoʷa,153_yawn
ɛ maturu,156_sleep
ɛ marije,144_liedown
ɛk bʷerea,155_dream
ɛ sasake,142_sit
ɛ dulueana,141_stand
naatalamoli,306_person
nanoaj,73_man
na ŋgoroj,74_woman
naka:riki,75_child
maariki aninao,79_husband
vitarik aninao,80_wife
tɛ:te,77_mother
po:po,78_father
ɛkopu,111_house
na:su,455_thatch
naŋgisa,76_name
kanoaj,182_say
natali,112_rope
sokisokija,179_tieup
koturia,167_sew
natik͡pa,362_needle
ŋgolikoli,173_hunt
kasuja,189_shoot
kapurja,184_stab
kaʷatija,169_hit
pa:nako,186_steal
pʷa:punuwea,159_kill
ɛmate,158_die
ɛmaʰuri,157_live
ɛ ŋg̥arokaro,183_scratch
ɛ ⁿdaja,170_cut
nkahu,107_wood
dajparajun,171_split
ɛ makali,121_sharp
ɛ posou,122_bluntdull
ɛ ᵐpʷoka,190_work
ɛlolawo,187_plant
ɛ mataⁿdoʰaj,465_to_choose
ɛ pisolu,302_to_grow
ɛ ⁿdopu,181_swell
ɛ po:savakiña,180_squeeze
ɛ poʷasokia,174_hold
ɛ ŋgilija,172_dig
ɛ pakotovia,185_buy
ɛ savaŋgia,191_open
ɛ ⁿdukituki,168_pound
naⁿtikinija,149_throw
ɛ dowo,143_fall
ko:ria,60_dog
ma:nu,61_bird
ato:lu,69_egg
namaʰuna,72_feather
nalaŋgi,71_wing
ɛ nairi,148_flyverb
kusuʷe,66_rat
mabokasi,336_meat
namuta,258_fat
na bwena,70_tail
maata,63_snake
matanata:no,64_worm
ku:tu,65_louse
na:mu,68_mosquito
kaluma,67_spider
naika,62_fish
ɛ maⁿdaⁿda,130_rotten
a:ra,105_branch
na uluna,106_leaf
na kona,104_root
na fumana,109_flower
na watikahu,102_fruit
na mʷenahu,108_grass
natano,93_earthsoil
vatu,92_stone
naworaone,95_sand
noaj,86_water
noajsara,286_flow
elao,88_sea
nata:si,419_salt
noajmate,87_lake
namala:si,103_woodsforest
na mara malakesa,85_sky
atelaŋgi,83_moon
masoe,84_star
namaravi,97_cloud
na mavu,340_fog
usa,96_rain
tovae,99_thunder
navila,100_lightning
nalaɳgi,98_wind
ɛ susuji,165_blow
ɛ vivitunu,483_hot
ɛ malaⁿdi,134_cold
namasua,135_dry
ɛ memeʰu,136_wet
ɛ maⁿdaŋga,131_heavy
nakapu,89_fire
ɛsoro,166_burn
na asua,90_smoke
namelevara,91_ash
ɛmomota,114_black
ɛⁿdare,115_white
ɛmijala,116_red
ɛ mʷiloloa,118_yellow
ɛ mamalakesa,117_green
ɛ ŋgiki,120_small
ɛ lapalapa,119_big
ɛpuru,426_short
ɛ paraʰu,328_long
ɛ manivenive,457_thin
ɛ matolu,456_thick
na masoʰaⁿgiki,359_narrow
ɛ pʷlelea,489_wide
ɛ pʷitunu,125_painfulsick
ɛ maliɛre,123_shyashamed
tea matua,124_old
tea vaʰu,137_new
ek pʷia,126_good
esa,127_bad
eleana,128_correcttrue
namaliŋgo,82_night
aleati,81_day
nataʰu,15_year
severaŋgi,33_when
dahasukinija,150_hide
lepaŋgi,146_climb
naᵐbaluʰuna,39_ininside
na masua,37_above
mɛluna,38_below
najwaja,35_this
naŋgawanauvea,36_that
malaⁿdiŋgi,133_near
uveo,132_far
esa,32_where
kinaʰu,18_i
niŋgo,23_thou
vahe,26_heshe
niⁿgiⁿda,22_weallincl
kinami,19_weallexcl
niⁿgiⁿdavondua,20_webothincl
kinamitoⁿdua,21_webothexcl
nimu,23_thou
nimuroⁿdua,24_youboth
na:ra,27_theyall
na:ra raⁿdua,28_theyboth
nasa,30_what
sɛj,31_who
wajmaŋga,138_other
mamoᵐpu,195_all
ŋgo,199_and
waina,311_if
iⁿdapalesa,34_how
ɛɛ:,29_nonot
kafefe,176_count
sikaj,1_one
dua,2_two
do:lu,3_three
pa:ti,4_four
lima,5_five
la:tesa,6_six
la:rua,7_seven
lotolu,8_eight
lovɛti,9_nine
lualima,10_ten
rualima dua,11_twenty
rualima lima,12_fifty
ponotia sikaj,13_onehundred
maⁿdavilivil,14_onethousand
