Neververlimap,English Translation
saxam,1_one
i-ru,2_two
i-tɬ,3_three
i-vas,4_four
i-lim,5_five
i-ⁿt͡ʃɔs,6_six
ɪ-ⁿʧɔru,7_seven
ɪ-ⁿt͡ʃotɬ,8_eight
ɪ-ⁿʧofas,9_nine
-naŋavʉl,10_ten
nɛ-ⁿdam,15_year
barat-n,16_right
mʷɛr,17_left
ina,18_i
inam,19_weallexcl
ᵑgit_an_iru,20_webothincl
inam_an_iru,21_webothexcl
ᵑgit,22_weallincl
iox,23_thou
ᵑgam_an_iru,24_youboth
ᵑgam,25_youall
ei,26_heshe
aⁿdʳ,27_theyall
aⁿdʳ_an_iru,28_theyboth
nɪ-saɣan,30_what
isix,31_who
ambi,32_where
aŋas,33_when
illisaɣan,34_how
ansiŋ,35_this
antatliŋ,36_that
-arxa,37_above
-lapan,38_below
-ᵐʙuɣut,39_ininside
nɛ-ᵐbat-n,40_head
no-ro_ᵐbat-n,41_hair
nɛ-mⁿda-n,42_eye
na-ɣaⁿʧu-n,43_nose
nɪ-ⁿdliŋa-n,44_ear
no-moŋo-n,45_mouth
nɛ-lɛmɛ-n,46_tongue
no-luvu-n,47_tooth
nɛ-vɛra-n,48_hand
ᵐbutu_vɛr-an,49_shoulder
nɛ-ⁿdla-n,50_neck
ni-ᵑgallɛ-n,51_back
nɛ-gɛlɛ-n,52_leg
ne-ⁿdʳe,53_blood
no-ᵐboloŋo-n,54_bone
ni-vi-n,55_skin
nɪ-ⁿdɛmuɣɛ-n,56_belly
nɛ-ssɛn,57_intestines
na-sus,58_breast
nɛ-ᵐbaᵐbʷi-n,59_liver
na-ɣaᵐbʷir,60_dog
nɛ-man,61_bird
nɛ-tas,62_fish
nɛ-mat,63_snake
no-xoⁿdalas,64_worm
na-xut,65_louse
ni-ᵐbisᵐbɔx,66_rat
nɛ-ka,67_spider
nɪ-tuɣans,68_mosquito
no-ᵑgovi-n,69_egg
no-xorɛ-n,70_tail
nɛ-vullu-n,72_feather
nu-muɣman,73_man
nu-mʷɔhɔmʷɔx,74_woman
nɛ-terilele,75_child
nɪ-ɣiⁿt͡sa-n,76_name
ni-ⁿda,77_mother
mama,78_father
xavʷi,79_husband
nu-mɔɣɔmɔx-titi,80_wife
lonial,81_day
livxat,82_night
na-vʉl,83_moon
nɪ-vʷin_mt͡ʃɔ,84_star
ni-ɔ,86_water
ni-o_ᵐʙunᵐʙun,87_lake
ni-tusu,88_sea
na-ɣamp,89_fire
-tɛltɛl,90_smoke
ᵐbissap,91_ash
nɪ-ᵐbʷɪtan,93_earthsoil
nɪ-ᵐbissap,94_dust
ne-vʷilaslas,95_sand
na-os,96_rain
ne-laŋ,97_cloud
no-nof,98_wind
na-ᵑgur,99_thunder
ne-liŋax,100_lightning
ni-visoɣo-n,101_meatflesh
nɛ-va_na-ɣa,102_fruit
laɣa,103_woodsforest
no_ᵑgorɛ-n,104_root
nɛ-tavara-n,105_branch
no-ron,106_leaf
na-xa,107_wood
nʊ-ⁿt͡sɔŋt͡sɔŋ,108_grass
ni-at,110_thatchroof
na-ɣamal,111_house
no-ɣɔ,112_rope
nɛ-sal,113_roadpath
-mɛtmɛt,114_black
-ioviov,115_white
-mial,116_red
-iaŋiaŋ,118_yellow
-lamblam,119_big
-lele,120_small
i-mŋal,121_sharp
i-mŋalsi,122_bluntdull
-mimaxan,123_shyashamed
-ⁿt͡sal,125_painfulsick
-rɪvʷix,126_good
-is,127_bad
-fɪratn,128_correcttrue
-mɔmɔ,130_rotten
-map,131_heavy
-ale,132_far
-lile,133_near
-nɛtᵑgar,134_cold
-xatxat,135_dry
-ⁿda,136_wet
-viva,137_new
-ᵐʙulɛm,139_come
-vaβu,140_walk
-turtur,141_stand
-ᵐborvor,142_sit
-ⁿdake,143_fall
-ⁿdʳi,145_turn
-saka,146_climb
-ᵑgar,147_swim
-ial,148_flyverb
-tuvʷɪχ,149_throw
-solix,150_hide
-kan,151_eat
-xamox,153_yawn
-ᴩəre,154_spit
-ritrit_ᵐbari,155_dream
-mætur,156_sleep
-mas,158_die
-te_mas_ir,159_kill
-tɪvis,160_see
-kuŋʧuŋ,162_sniffsmell
-rap,163_laugh
-ŋar,164_cry
-fuv,165_blow
-faŋfaŋ,166_burn
-tete,168_pound
-te,169_hit
-te,170_cut
-xil,172_dig
-kokɔ,173_hunt
-lis,175_fear
-ᵐbrɛv_nonov,177_breathe
-lialu,178_vomit
-ᵑga,179_tieup
ᵑgis,180_squeeze
-ᵐʙur,181_swell
-nevʷɛr,182_say
-xorxor,183_scratch
-ⁿt͡sur,184_stab
-ful,185_buy
-pinox,186_steal
-xavux,187_plant
-lu,189_shoot
-fɛr,190_work
-vox,191_open
