Uripivpotnambe,English Translation
-sansan,1_one
ɛ-ɾu,2_two
i-tul,3_three
i-viʧ,4_four
ɛ-lim,5_five
o-wɔn,6_six
ɛᵐbʉt,7_seven
o-wil,8_eight
ɛ-siu,9_nine
ɛ-sɪŋavʊl,10_ten
ŋavʊl_e-lɾu,11_twenty
ŋavʊl_e-lim,12_fifty
oŋutuesan,13_onehundred
sia,15_year
res,16_right
maiɾ,17_left
inu,18_i
kɪm,19_weallexcl
kɛru,20_webothincl
komɾu,21_webothexcl
gɛr,22_weallincl
nik,23_thou
kamɾu,24_youboth
kami,25_youall
ni,26_heshe
niɾ,27_theyall
ɛ-t͡ski,29_nonot
esi,31_who
ŋambe,32_where
ɛrpese,34_how
ŋokwan,36_that
-mare,37_above
-mɛlvɛn,38_below
-lolon,39_ininside
ᵐbʷatu-n,40_head
raun,41_hair
raun_ᵐbatu-n,41_hair
mɛtɛ-n,42_eye
ᵑgunsi-n,43_nose
ᵐboro-n,44_ear
ʧiŋo-n,45_mouth
nɛ-mɛ-n,46_tongue
liwɛ-n,47_tooth
navɛr,48_hand
ᵐbirpari-n,49_shoulder
nowɛ-n,50_neck
ᵐbɛlda-n,52_leg
hⁿdʳa,53_blood
ʧi-n,54_bone
ne-βulʉ- n,55_skin
ⁿdepai-n,56_belly
ʧinɛ-n,57_intestines
nɛ-ɾɛ-n,59_liver
ᵑguli,60_dog
no-mɔn,61_bird
mesal,62_fish
no-mʷɛt,63_snake
na-ut,65_louse
na-riv,66_rat
ⁿdɛl,67_spider
num,68_mosquito
na-rlu-n,69_egg
nɛ-rurɛ-n,70_tail
naᵐbɪ-n,71_wing
mowɛ-n,72_feather
nɛ-sevin,74_woman
ᵐbipiwariŋ,75_child
ni-sɛ-n,76_name
tasu,77_mother
tata,78_father
ⁿdiwɛn_sɛ-n,79_husband
nɛ-sɛn_sɛ-n,80_wife
no-terin,81_day
nu-tfoŋ,82_night
na-vʉl,83_moon
mʷot͡su,84_star
nesa,85_sky
no-wi,86_water
ⁿdis,88_sea
na-mb,89_fire
no-snɪn,90_smoke
niaβin,91_ash
ne-vʉt,92_stone
ⁿdan,93_earthsoil
mʷao,94_dust
ⁿdebʷinan,95_sand
na-us,96_rain
na-ᵐbor,97_cloud
liŋ,98_wind
ᵐbɛlveɾ,99_thunder
na-vil,100_lightning
wiso-n,101_meatflesh
wɛnɛn,102_fruit
lolnai,103_woodsforest
laɸɛ-n,104_root
rɛŋsi-n,105_branch
raon,106_leaf
na-i,107_wood
mʉsmʉs,108_grass
ne-vuŋʊn,109_flower
ni-at,110_thatchroof
na-im,111_house
ⁿdil,112_rope
o-mɔtmɔt,114_black
-o,115_white
o-soŋsoŋ,116_red
ɛ-ʧɛʧɛn,117_green
ɛ-ŋaŋɔ,118_yellow
ɛ-lɛp,119_big
ɛ-wɛlili,120_small
o-ʃo,121_sharp
ɛ-pat,122_bluntdull
no-manʊn,123_shyashamed
ɛ-təɾa,124_old
ɛ-rɛs,126_good
ɛ-siʧ,127_bad
ɛ-wuretun,128_correcttrue
o-mutmut,130_rotten
o-ro,131_heavy
ŋasu,132_far
-moɾi,133_near
-mɛlas,134_cold
ɛ-mim,136_wet
ɛ-vʉsvʉs,137_new
ɛ-βini,139_come
ɛ-βɛl,140_walk
o-tuɾ,141_stand
ɛ-lik,142_sit
ɛ-ɾieni,145_turn
ɛ-sa,146_climb
ɛ-loŋ,147_swim
o-ro,148_flyverb
-silvɛni,150_hide
ɛ-an,151_eat
ɛ-minmin,152_drink
o-lutun,154_spit
i-ᵐboɾi,155_dream
ɛ-matur_les_i-ᵐboɾi,155_dream
ɛ-matur,156_sleep
ɛ-mauɾ,157_live
ɛ-miʧ,158_die
ɛ-rɛvʧi-pini,159_kill
o-riŋe,161_hear
ɛ-mɛn,163_laugh
ɛ-tiŋ,164_cry
o-wu,165_blow
o-ror,166_burn
ɛ-revrevʧi,168_pound
ɛ-rɛvʧi,169_hit
ɛ-tue,170_cut
ɛ-li,172_dig
otoɾi,174_hold
metu-ɛn,175_fear
-pɛβɛ,176_count
o-lu,178_vomit
o-toɾi,180_squeeze
o-sol,181_swell
ho-βuɾai,182_say
o-rorsi,183_scratch
o-ʧuʧi,184_stab
o-wuli,185_buy
ɛ-vɛnai,186_steal
pu-ruwi,187_plant
ɛ-taᵐbu,188_cook
ɛ-luwe,189_shoot
-mʷaʧin,190_work
ɛ-ɾaʧi,191_open
