Language_ID,Role,Contributor
Alavasalavas,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Alavasalavas,ContributorRecordedBy1,Aviva Shimelman
Alavasalavas,ContributorSoundEditingBy,Laura Wägerle
Alavaswowo,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Alavaswowo,ContributorRecordedBy1,Aviva Shimelman
Alavaswowo,ContributorSoundEditingBy,Laura Wägerle
Angavaedixonreef,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Angavaedixonreef,ContributorRecordedBy1,Aviva Shimelman
Angavaedixonreef,ContributorSoundEditingBy,Laura Wägerle
Atchinorap,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Atchinorap,ContributorRecordedBy1,Aviva Shimelman
Atchinorap,ContributorSoundEditingBy,Laura Wägerle
Atchinsmallisland,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Atchinsmallisland,ContributorRecordedBy1,Aviva Shimelman
Atchinsmallisland,ContributorSoundEditingBy,Laura Wägerle
Aulualoxseasolokh,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Aulualoxseasolokh,ContributorRecordedBy1,Aviva Shimelman
Aulualoxseasolokh,ContributorSoundEditingBy,Laura Wägerle
Aulualoxselanfitfit,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Aulualoxselanfitfit,ContributorRecordedBy1,Aviva Shimelman
Aulualoxselanfitfit,ContributorSoundEditingBy,Laura Wägerle
Avavakhatbol,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Avavakhatbol,ContributorRecordedBy1,Aviva Shimelman
Avavakhatbol,ContributorSoundEditingBy,Laura Wägerle
Avavatisvel,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Avavatisvel,ContributorRecordedBy1,Aviva Shimelman
Avavatisvel,ContributorSoundEditingBy,Laura Wägerle
Avokhokai,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Avokhokai,ContributorRecordedBy1,Aviva Shimelman
Avokhokai,ContributorSoundEditingBy,Laura Wägerle
Avokhokai2,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Avokhokai2,ContributorRecordedBy1,Aviva Shimelman
Avokhokai2,ContributorSoundEditingBy,Laura Wägerle
Avoksmallisland,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Avoksmallisland,ContributorRecordedBy1,Aviva Shimelman
Avoksmallisland,ContributorSoundEditingBy,Laura Wägerle
Axambsmallisland,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Axambsmallisland,ContributorRecordedBy1,Aviva Shimelman
Axambsmallisland,ContributorSoundEditingBy,Laura Wägerle
Axambsmallislandmaliambor,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Axambsmallislandmaliambor,ContributorRecordedBy1,Aviva Shimelman
Axambsmallislandmaliambor,ContributorSoundEditingBy,Laura Wägerle
Bangaasaktaremb,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Bangaasaktaremb,ContributorRecordedBy1,Aviva Shimelman
Bangaasaktaremb,ContributorSoundEditingBy,Laura Wägerle
Batarxopubenut,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Batarxopubenut,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Batarxopubenut,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Batarxopugonwar,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Batarxopugonwar,ContributorRecordedBy1,Aviva Shimelman
Batarxopugonwar,ContributorSoundEditingBy,Laura Wägerle
Batarxopulembilmbil,ContributorPhoneticTranscriptionBy,Aviva Shimelman and Lana Takau
Batarxopulembilmbil,ContributorRecordedBy1,Aviva Shimelman and Lana Takau
Batarxopulembilmbil,ContributorSoundEditingBy,Laura Wägerle and Lana Takau
Batarxopulipitav,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Batarxopulipitav,ContributorRecordedBy1,Aviva Shimelman
Batarxopulipitav,ContributorSoundEditingBy,Laura Wägerle
Batarxopulumsak,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Batarxopulumsak,ContributorRecordedBy1,Aviva Shimelman
Batarxopulumsak,ContributorSoundEditingBy,Laura Wägerle
Bislama1,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Bislama1,ContributorRecordedBy1,Aviva Shimelman
Bislama1,ContributorSoundEditingBy,Laura Wägerle
Bislama2,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Bislama2,ContributorRecordedBy1,Aviva Shimelman
Bislama2,ContributorSoundEditingBy,Laura Wägerle
Burmbarburmbar,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Burmbarburmbar,ContributorRecordedBy1,Aviva Shimelman
Burmbarburmbar,ContributorSoundEditingBy,Laura Wägerle
Burmbarfartavo,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Burmbarfartavo,ContributorRecordedBy1,Aviva Shimelman
Burmbarfartavo,ContributorSoundEditingBy,Laura Wägerle
Burmbartengan,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Burmbartengan,ContributorRecordedBy1,Aviva Shimelman
Burmbartengan,ContributorSoundEditingBy,Laura Wägerle
Ctletawetnaviso,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Ctletawetnaviso,ContributorRecordedBy1,Tom Ennever
Ctletawetnaviso,ContributorRecordedBy2,Iveth Rodriguez
Ctletawetnaviso,ContributorSoundEditingBy,Iveth Rodriguez
Ctlnalembanarovorovo,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Ctlnalembanarovorovo,ContributorRecordedBy1,Tom Ennever
Ctlnalembanarovorovo,ContributorRecordedBy2,Iveth Rodriguez
Ctlnalembanarovorovo,ContributorSoundEditingBy,Iveth Rodriguez
Ctlnalembanasawa,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Ctlnalembanasawa,ContributorRecordedBy1,Tom Ennever
Ctlnalembanasawa,ContributorRecordedBy2,Iveth Rodriguez
Ctlnalembanasawa,ContributorSoundEditingBy,Iveth Rodriguez
Ctlsungwadagalalaundi,ContributorPhoneticTranscriptionBy,Tom Ennever
Ctlsungwadagalalaundi,ContributorRecordedBy1,Tom Ennever
Ctlsungwadagalalaundi,ContributorRecordedBy2,Iveth Rodriguez
Ctlsungwadagalalaundi,ContributorSoundEditingBy,Iveth Rodriguez
Ctlsungwadagarongnawo,ContributorPhoneticTranscriptionBy,Tom Ennever
Ctlsungwadagarongnawo,ContributorRecordedBy1,Tom Ennever
Ctlsungwadagarongnawo,ContributorRecordedBy2,Iveth Rodriguez
Ctlsungwadagarongnawo,ContributorSoundEditingBy,Iveth Rodriguez
Ctlsungwadangota,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Ctlsungwadangota,ContributorRecordedBy1,Tom Ennever
Ctlsungwadangota,ContributorRecordedBy2,Iveth Rodriguez
Ctlsungwadangota,ContributorSoundEditingBy,Iveth Rodriguez
Ctlsungwadogarata,ContributorPhoneticTranscriptionBy,Tom Ennever
Ctlsungwadogarata,ContributorRecordedBy1,Tom Ennever
Ctlsungwadogarata,ContributorRecordedBy2,Iveth Rodriguez
Ctlsungwadogarata,ContributorSoundEditingBy,Iveth Rodriguez
Ctlsungwadolagwaranuta,ContributorPhoneticTranscriptionBy,Tom Ennever
Ctlsungwadolagwaranuta,ContributorRecordedBy1,Tom Ennever
Ctlsungwadolagwaranuta,ContributorRecordedBy2,Iveth Rodriguez
Ctlsungwadolagwaranuta,ContributorSoundEditingBy,Iveth Rodriguez
Ctltawetnarovorovo,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Ctltawetnarovorovo,ContributorRecordedBy1,Tom Ennever
Ctltawetnarovorovo,ContributorRecordedBy2,Iveth Rodriguez
Ctltawetnarovorovo,ContributorSoundEditingBy,Iveth Rodriguez
Elolovoli,ContributorPhoneticTranscriptionBy,Tom Ennever
Elolovoli,ContributorRecordedBy1,Tom Ennever
Elolovoli,ContributorRecordedBy2,Iveth Rodriguez
Elolovoli,ContributorSoundEditingBy,Iveth Rodriguez
Esanasolokave,ContributorPhoneticTranscriptionBy,Iveth Rodriguez
Esanasolokave,ContributorRecordedBy1,Tom Ennever
Esanasolokave,ContributorRecordedBy2,Iveth Rodriguez
Esanasolokave,ContributorSoundEditingBy,Iveth Rodriguez
Espiegelsbaylitebral,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Espiegelsbaylitebral,ContributorRecordedBy1,Aviva Shimelman
Espiegelsbaylitebral,ContributorSoundEditingBy,Laura Wägerle
Espiegelsbaysolwota,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Espiegelsbaysolwota,ContributorRecordedBy1,Aviva Shimelman
Espiegelsbaysolwota,ContributorSoundEditingBy,Laura Wägerle
Espiegelsbayunspecified,ContributorPhoneticTranscriptionBy,Aviva Shimelman
Espiegelsbayunspecified,ContributorRecordedBy1,Aviva Shimelman
Espiegelsbayunspecified,ContributorSoundEditingBy,Laura Wägerle
Evuindondo,ContributorPhoneticTranscriptionBy,Tom Ennever
Evuindondo,ContributorRecordedBy1,Tom Ennever
Evuindondo,ContributorRecordedBy2,Iveth Rodriguez
