Espiegelsbaysolwota,English Translation
-səɣal,1_one
-ru,2_two
-til,3_three
-vat,4_four
-lɪm,5_five
-ɣoɛn,6_six
-xɪmbit,7_seven
-xuil,8_eight
-xasəv,9_nine
-siŋavil,10_ten
ŋovil_i-ru,11_twenty
ŋov_i-lɪm,12_fifty
ŋovsɛŋavil,13_onehundred
ᵑgeka,15_year
nɪ-mɛtu,16_right
nɪ-mʷiɾi,17_left
hunu,18_i
kənam,19_weallexcl
nakr,22_weallincl
nox,23_thou
kɪm,25_youall
ɣain,26_heshe
xar,27_theyall
xar_iru,28_theyboth
-səɣe,29_nonot
ⁿʒɪt,30_what
isɪne,31_who
imbɛ,32_where
sɪvɛlɪŋ,33_when
-plɛkɛnʒit,34_how
ɣaɣe,36_that
-lalɛn,37_above
mɛləvɛn,38_below
-lalɛn,39_ininside
ᵐbatɪ-n,40_head
nɪ-vulo-n_ᵐbatɪ-n,41_hair
nɪ-mto-m,42_eye
ᵑgusu-n,43_nose
ᵐboro-n,44_ear
ⁿʒoŋo-n,45_mouth
nɪ-mɪmɛ-m,46_tongue
luwo-n,47_tooth
nɪ-vəra-k,48_hand
ᵐbəlɛ-,49_shoulder
ⁿzɛlɣa-k,50_neck
ⁿʒɪpɪnu-k,51_back
ni-mila-k,52_leg
ni-re,53_blood
ⁿzɪ-n,54_bone
lagwɔ-k,56_belly
ⁿdɛŋ-nɛtsɛ-n,57_intestines
na-sus,58_breast
nu-ɣuli,60_dog
nɪ-mænəx,61_bird
nɪ-mat͡s,62_fish
nɪ-mʷɛt,63_snake
na-ɣit,65_louse
na-ɣariɸ,66_rat
ne-la,67_spider
nɛ-məx,68_mosquito
arlɛ-n_mænəx,69_egg
wɛlɣao-n,70_tail
nɛ-ɣpɛ-n,71_wing
nɪ-vulo_nito,72_feather
ⁿduat,74_woman
tiɣpis,75_child
pɪpi,77_mother
tate,78_father
lax,79_husband
ⁿduat_sɪ-n,80_wife
rɛnɛn,81_day
mɛlkɛn,82_night
nɛ-vʊl,83_moon
nu-vovoɾ,84_star
nɪ-msusu,85_sky
nu-aʰ,86_water
nalɪp,87_lake
ⁿdas,88_sea
na-ɣap,89_fire
ni-s_na-ɣap,90_smoke
nɪ-vɪlas,91_ash
nɪ-βat,92_stone
ⁿdɛn,93_earthsoil
nɪ-maɣaɸ,94_dust
nɪ-vuwon,95_sand
no-s,96_rain
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪ-vɪlax,100_lightning
mɪsɣovɪ-n,101_meatflesh
nɛ-vʷuŋɛn,102_fruit
nu-wɛrɣa,103_woodsforest
no-xoron,104_root
nɛ-ŋrɛ-n,105_branch
rogo,106_leaf
na-ɣa,107_wood
roat,110_thatchroof
na-im,111_house
nɪ-mɛrɪt,112_rope
ⁿt͡sal,113_roadpath
-loŋ,114_black
-vʷʊs,115_white
-mɛl,116_red
-məɣɛl,118_yellow
-lɛplɛp,119_big
-wɪlwɪle,120_small
-mon,121_sharp
-monte,122_bluntdull
-moɣonɣon,123_shyashamed
-taɾa,124_old
-rot͡s,125_painfulsick
-nɛm,126_good
-sat,127_bad
-wəratɪn,128_correcttrue
-loŋ,129_dirty
-mərivriv,130_rotten
-roɸ,131_heavy
e-luxse,132_far
ma-ɣariɸ,133_near
nɪ-mɛlɣas,134_cold
-mɪmɛs,135_dry
-mim,136_wet
-mərax,137_new
-mã,139_come
-val,140_walk
-tuɾ,141_stand
i-at,142_sit
-ʧoɸ,143_fall
mɪtuɾ_tuɣun,144_liedown
u-lus,145_turn
-sax,146_climb
-səɸ,147_swim
-ɣiɣɛp,148_flyverb
t-͡sɪplen_luɛ,149_throw
-tosusuwun,150_hide
-or,151_eat
-min,152_drink
-məmaɸ,153_yawn
-tɪpɪs,154_spit
mɪtur_porpor,155_dream
-mɪtuɾ,156_sleep
-moɾoɸ,157_live
-mæs,158_die
-rupin,159_kill
hɪ-lɪs,160_see
ho-roŋɔ,161_hear
pu-nʒi,162_sniffsmell
-ŋiɾe,163_laugh
-ŋɛɾə,164_cry
-sɛɾ,165_blow
-ɣɛn,166_burn
-ruprup,168_pound
-ruɸ,169_hit
-spɛ,170_cut
-ɣiɬ,172_dig
-xorxoɾə,173_hunt
-us,174_hold
-loɣolox,175_fear
-ʧɪpʷɪn,176_count
hi-vɪ-laŋ,177_breathe
-lulu,178_vomit
-mʷiʧ,179_tieup
-wis,180_squeeze
-vulus,181_swell
-wiɾə,182_say
-siɾ,184_stab
-wol,185_buy
-vɪnɛɣe,186_steal
-ruɸ,187_plant
-vin,189_shoot
-pas,190_work
-ɣəɣɪs,191_open
