Atchinsmallisland,English Translation
-sa,1_one
e-ru,2_two
e-tol,3_three
e-vat͡s,4_four
e-lim,5_five
o-won,6_six
ɛ-ᵐβʉt,7_seven
o-al,8_eight
ɛ-siu,9_nine
saŋavʉl,10_ten
movl_e-ru,11_twenty
movl_e-lim,12_fifty
mov_saŋavʉl,13_onehundred
suaβ,15_year
matu,16_right
mʷiɾ,17_left
ina,18_i
kiam,19_weallexcl
lekir_peru,20_webothincl
lekir,22_weallincl
inik,23_thou
kami_eruɔ,24_youboth
kami,25_youall
ini,26_heshe
iniɾi,27_theyall
mʷi-t͡sa,29_nonot
nse,30_what
iseɪ,31_who
ŋambe,32_where
sʉeliŋ,33_when
hɛ-pɛnze,34_how
-maɾe,37_above
-mɛlɛlovin,38_below
-lolon,39_ininside
batu-n,40_head
ron,41_hair
ron_batu-n,41_hair
na-mɛt,42_eye
kunsu-,43_nose
na-ᵐbor,44_ear
ʧuŋo-n,45_mouth
mɛmɛ-n,46_tongue
na-liu,47_tooth
na-vɛrɛ,48_hand
pʷili-n,49_shoulder
sala-,50_neck
ru-b,51_back
ni-ra,53_blood
na-ʧi,54_bone
vilʉlʉ-,55_skin
tapai-m,56_belly
ʧinɛ-n,57_intestines
na-sus,58_breast
tamai,60_dog
ni-man,61_bird
masal,62_fish
ni-mʷɛt,63_snake
toto,64_worm
na-ut,65_louse
na-riβ,66_rat
na-riβ_pɪrɛŋesis,66_rat
no-laɸ,67_spider
nam,68_mosquito
rulʊ-n,69_egg
wolwolo-in,70_tail
na-ᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
wisevin,74_woman
tiβis,75_child
nɛ-sɛ-n,76_name
pe,77_mother
te,78_father
tɛwɛn_s-ɛn,79_husband
letɛɾ_s-ɛn,80_wife
no-tran,81_day
no-tpuŋ,82_night
na-vʉl,83_moon
muʧo,84_star
bakran,85_sky
nu-a,86_water
nalɛp,87_lake
ⁿdas,88_sea
na-mb,89_fire
nɪ-s,90_smoke
nɪ-s_na-mb,90_smoke
na-ßɪn,91_ash
ni-βat,92_stone
ⁿdan,93_earthsoil
potmau,94_dust
ⁿdɪpnan,95_sand
no-os,96_rain
na-ror,97_cloud
laŋ,98_wind
pɛlvɛɾ,99_thunder
na-vʉl,100_lightning
wisovi-n,101_meatflesh
wɛna,102_fruit
lamʊs_rum,103_woodsforest
lapʷɛ-n,104_root
rɛrɛŋɛ-n,105_branch
rou-n,106_leaf
ne-i,107_wood
na-mʊs,108_grass
loplop,109_flower
ni-at,110_thatchroof
ne-m,111_house
na,112_rope
ni-sɛl,113_roadpath
-motmot,114_black
hu-wis,115_white
-βɛvɛŋ,116_red
mi-at͡sat͡sɛn,117_green
-mʷɛlmʷalaŋ,118_yellow
-wɪlwɪle,120_small
-sɔ,121_sharp
-patɔ,122_bluntdull
mʉnan-ɛn,123_shyashamed
taɾa-ɛn,124_old
masa-ɛn,125_painfulsick
mɛ-rɛs,126_good
mɛ-t͡sat͡s,127_bad
-lalo,129_dirty
-motmot,130_rotten
-roʰ,131_heavy
-soβi,132_far
malas,134_cold
-mɛmɛs,135_dry
-ramim,136_wet
-ᵐbar,137_new
-ma,139_come
-viɛl,140_walk
tur-ɛn,141_stand
lek-ɛn,142_sit
-ʧoβ,143_fall
-rori,145_turn
-sa,146_climb
-loŋ,147_swim
roɛn,148_flyverb
-silveni,150_hide
an-ɛn,151_eat
minmin-ɛn,152_drink
mɪ-lutʉß,154_spit
porpor-ɛn,155_dream
matur-ɛn,156_sleep
nɛur-ɛn,157_live
maʧ-ɛn,158_die
-rɛvʧi-pɪni,159_kill
-roŋe,161_hear
mɪ-mɛn,163_laugh
mɪ-ⁿtaŋ,164_cry
-siɾsiɾi,165_blow
mʷi-an,166_burn
-ruri,167_sew
-rɛvʧi,169_hit
-reri,171_split
vet͡svet͡si-ɛn,172_dig
oror-ɛn,173_hunt
-totoni,174_hold
-mata-ɛn,175_fear
-βɛβɛ,176_count
-vɛɪⁿd-laŋ,177_breathe
mɪ-lulu,178_vomit
-ʧali,179_tieup
-wisi,180_squeeze
-ᵐbur,181_swell
-wure,182_say
-wowoi,183_scratch
-ʧuʧi,184_stab
wulwul-ɛn,185_buy
vanua-ɛn,186_steal
ru-ɛn,187_plant
tapu-ɛn,188_cook
-liwe,189_shoot
maʧiŋ-ɛn,190_work
-viɛ,191_open
