Nahavaqcarolinebay,English Translation
i-siʔ,1_one
i-ru,2_two
i-tʉl,3_three
i-vɛs,4_four
i-lim,5_five
-sosiʔ,6_six
-soru,7_seven
-sotʉl,8_eight
-sove,9_nine
-laŋaβul,10_ten
-morolaʔ_i-siʔ,11_twenty
-molalaʔ_i-lim,12_fifty
-molalaʔ_i-laŋaβœl,13_onehundred
nɛ-teo,15_year
ᵐbaraŋɪn,16_right
meir,17_left
kʰina,18_i
kamɛm,19_weallexcl
noʔon,20_webothincl
numɛm,21_webothexcl
niᵑgin,22_weallincl
inu͂,23_thou
niŋim,25_youall
e,26_heshe
ar,27_theyall
artei,28_theyboth
awaʔ,29_nonot
nahavaʔ,30_what
iaʔ,31_who
aᵐbɛh,32_where
ŋei,33_when
kɪtɛmʷɪn,34_how
ɛtiŋ,35_this
ɛtã,36_that
-vʷanhɛp,37_above
-sɪlevʊn,38_below
-mʉʃun,39_ininside
ᵐbʷati-n,40_head
siblɛ-n,41_hair
siblɛ-n_ᵐbati-n,41_hair
mɛtɛ-n,42_eye
ᵑginhu-n,43_nose
ⁿdiliŋɛ-n,44_ear
ᵐboŋo-n,45_mouth
malaᵐbu-n,46_tongue
livo-n,47_tooth
vaɾa-n,48_hand
ⁿdolo-n,50_neck
taʔu-m,51_back
ᵐbulu-n,52_leg
nɛ-ⁿdʳe,53_blood
ᵐboloʔ,54_bone
vɛtu-m,56_belly
ni-hini-n,57_intestines
nu-hʉ-n,58_breast
na-mam,59_liver
kilu,60_dog
nɛ-mɛn,61_bird
mahal,62_fish
na-mʷat,63_snake
ⁿdulɛs,64_worm
na-ʔot,65_louse
na-laᵐbut,66_rat
ᵑgiᵑgapleo,67_spider
tuʔes,68_mosquito
no-ʔonli-n,69_egg
ᵐbʉʃʉ-n,70_tail
ᵐbuᵐbə-n,72_feather
mʷorot,73_man
mʷomʷoʔ,74_woman
wutɪᵐbuloŋ,75_child
nɛ-hɛ-ʔ,76_name
amoʔ,77_mother
tətai,78_father
mʷorot_tɪkina-n,79_husband
mʷomʷoʔ_tɪkina-n,80_wife
nautraniɛn,81_day
liβaʔat,82_night
nɛ-vʉl,83_moon
wuši,84_star
mɛliŋ,85_sky
nə-we,86_water
tisiriʔ,87_lake
nɛ-tɛs,88_sea
na-am,89_fire
ⁿduŋ-ɛn,90_smoke
ᵐbisnɛp,91_ash
nɛ-βɛt,92_stone
nɛ-tɛn,93_earthsoil
ᵐbiznɛp,94_dust
ᵐbinwɛn,95_sand
ne-uh,96_rain
mɛliŋ,97_cloud
na-laŋ,98_wind
nevʉl_vaɾavaɾ,99_thunder
-malᵑgavʊt,100_lightning
maɾu,101_meatflesh
na-vʷa-na-i,102_fruit
ᵐʙœnai,103_woodsforest
na-aɾa-n,104_root
na-ᵐbal,105_branch
nɛ-rɛʔe,106_leaf
na-ai,107_wood
mʷəne,108_grass
tißʉn,109_flower
tißʉn_na-i,109_flower
ni-ɛt,110_thatchroof
ne-um,111_house
nɛ-tɛl,112_rope
-mɛtɛmɛt,114_black
-mɛvʊš,115_white
-mamal,116_red
-asɪn,117_green
-lʉtlʉt,118_yellow
ɪ-ᵐbo,119_big
-waɾi,120_small
-makan,121_sharp
-makan_vɪʔ,122_bluntdull
-mimaʔan,123_shyashamed
-marlam,124_old
-mɛhɛʔ,125_painfulsick
-lɛh,126_good
-hɛt,127_bad
-ᵐbaraŋin,128_correcttrue
-mʷolol,129_dirty
-mom,130_rotten
ⁿdip,131_heavy
-sile,132_far
-mazasaŋ,133_near
-malaʔ,134_cold
-mɛhɛmɛh,135_dry
-mil,136_wet
-milmil,136_wet
-viβeo,137_new
tisile,138_other
-wɪlɛŋ,139_come
-loŋ,140_walk
-taris,141_stand
-ʃum,142_sit
-sɛp,143_fall
-liŋdeo,144_liedown
-wiʔis,145_turn
-haʔ,146_climb
-haʔ_aɾan,146_climb
-wahoɸ,147_swim
-om,149_throw
-tulalaʔ,150_hide
i-ʔan,151_eat
i-min,152_drink
-mʷole,153_yawn
ni-vure,154_spit
-ᵐbʷɛre,155_dream
-mɛtur,156_sleep
-meur,157_live
i-mɪs,158_die
ku-ur-ᵐvœn,159_kill
i-lɛs,160_see
i-roŋ,161_hear
no-ᵐbon,162_sniffsmell
i-mas,163_laugh
i-tɛŋ,164_cry
i-hup,165_blow
-βuli,166_burn
-tur,167_sew
-ᵐbʷilᵐbʷil,168_pound
ku-ᵐbʷil,169_hit
-tɛɾe,170_cut
-tarpor,171_split
e-ʔil,172_dig
-sal,173_hunt
u-βurβur,174_hold
-mataʔ,175_fear
-ᵐbuluŋ,176_count
-luelu,178_vomit
-os_kaparis,179_tieup
u-bʷus,180_squeeze
-tim,181_swell
ku-wɛr,182_say
-oioi,183_scratch
ku-tur,184_stab
-βul,185_buy
-vanaʔ,186_steal
-aᵐbʷiʔ,187_plant
ku-ʃuŋ,188_cook
-βini,189_shoot
-raʔ,190_work
-sɛβɛn,191_open
