Saa_St Henri,English Translation
tahla temak,259_uncle_paternal
temaken morotaɸtun,262_uncle_paternal_older
ŋgeɾeta,280_uncle_paternal_younger
itnik,274_aunt_paternal
itnik ənmərəŋa mumu,281_aunt_paternal_younger
itnik ənmərəŋata,273_aunt_paternal_older
micak,342_uncle_maternal
micak ənmərəŋamu,346_uncle_maternal_older
micak emærərumta,354_uncle_maternal_younger
tahla rasik,348_aunt_maternal
rasik ənmərəamu,347_aunt_maternal_older
rasik ənmərəmta,355_aunt_maternal_younger
tahəlakenmoroŋamu,373_brother_older
fifnik enmərətæptun,381_sister_older
nakereta,498_younger_sister
ŋgereta nafifnik,498_younger_sister
tahəlakentemæksanpwasu,264_first_cousin_male_paternal_uncle
fifnikenetemæksanpwasu,263_first_cousin_female_paternal_uncle
utnak,277_first_cousin_male_paternal_aunt
utnak,275_first_cousin_female_paternal_aunt
utnak,343_first_cousin_male_maternal_uncle
utnak,344_first_cousin_female_maternal_uncle
tahlak enerasiksanpwasu,351_first_cousin_male_maternal_aunt
fifnik,350_first_cousin_female_maternal_aunt
nax tæɾɪt,490_parents_in_law
mucuk,261_father_in_law_of_woman
fijek,310_mother_in_law_of_woman
nax isfin,80_wife
nax arman,79_husband
rasik,235_daughter_in_law
mæbθk,436_grandchild_son
mucuk,435_son
mucuk embeswɪn,234_daughter
taɾit,237_son_in_law
mabok,238_grandson_daughter
mabok taɾɪt,236_granddaughter_daughter
mucuk,220_nephew_fraternal
mucuk tahlak,214_niece_fraternal
mucuk tahlak embetlap,376_nephew_fraternal_older
mucuk,375_niece_fraternal_older
mucuk tahlakentekan,501_nephew_fraternal_younger
mucuk embɪswinatahlakentekan,500_niece_fraternal_younger
alak,363_nephew_sororal
alak,365_niece_sororal
alak,363_nephew_sororal
suf,1_one
beru,2_two
becɪl,3_three
befɪt,4_four
belim,5_five
belefsuf,6_six
belefɾu,7_seven
belɪftɪl,8_eight
beliʲapat,9_nine
nufulsuf,10_ten
nufulsuf æsuf,257_eleven
nufulsuf æmberu,477_twelve
nufulsuf  æmbecɪl,459_thirteen
nufulsuf  æmbefɪt,288_fourteen
nufulsuf  æmbelim,284_fifteen
nufulsuf æmbelesuf,430_sixteen
nufulsuf æmbefɾu,423_seventeen
nufulsuf  æmbeleftɪl,255_eighteen
nufulsuf æmbeliʲapat,367_nineteen
nuful beɾu,11_twenty
nuful becɪl,460_thirty
nuful befɪt,289_forty
nuful belim,12_fifty
nuful belefsuf,431_sixty
nuful belefɾu,424_seventy
nuful beliftɪl,256_eighty
nuful beliaʲapat,368_ninety
mərəfansuf,13_onehundred
