Nasarianwileven,English Translation
i-segaɔ,1_one
i-rua,2_two
i-tɬ,3_three
i-vaˑʃ,4_four
i-ʃɛlmɛh,5_five
ɪ-ʃeoʃ,6_six
saurua,7_seven
sautl,8_eight
sauvaːs,9_nine
hilaŋaːβəl,10_ten
hilaŋaβəl_i-rua,11_twenty
halaŋaβəl_i-sɛlme,12_fifty
aŋat_i-sego,13_onehundred
aŋaːt_ilaŋaβəl_saⁿdʳɪk,14_onethousand
ha-ndam,15_year
boraŋənɛ,16_right
del-mier,17_left
ᵑgənɛ,18_i
kaniat,19_weallexcl
kœⁿdatsu,22_weallincl
ᵑgoa,23_thou
kamar,24_youboth
kamar,25_youall
ie,26_heshe
raˑtⁿ,27_theyall
raˑtsu,28_theyboth
i-skan,29_nonot
aiavanɛ,30_what
aŋaiŋa,31_who
i-osɛ,32_where
hɛmɛtɛnaialɛ,33_when
i-mɛⁿdɛmaɣa,34_how
naˑɣi,35_this
naⁿdagarat,36_that
-mɛruat,37_above
-tɛnuɔ,38_below
tɛnawat,38_below
-lamuŋau,39_ininside
hɛ-ᵐbʷatʰ-m,40_head
ɛ-βlɛ-ne,41_hair
hɛ-mɛta-m,42_eye
hɛ-ᵑgarsɛ-m,43_nose
hɛ-ⁿdɛliŋa-m,44_ear
haŋaram,45_mouth
hɛ-ləmɛ-m,46_tongue
hɛ-lɛβə-m,47_tooth
a-vara-ŋ,48_hand
a-tagn-an_mɛruat,49_shoulder
hɛ-ⁿdɛlɛ-m,50_neck
hæ-tag-n,51_back
xala-ŋ,52_leg
hɛ-ⁿdʳe,53_blood
hɛ-ⁿdʳe_enam,53_blood
a-βʷigai,54_bone
a-wivinis,55_skin
xauvtɛ-m,56_belly
a-sna,57_intestines
a-sna_naɡaⁿdat,57_intestines
au,58_breast
a-maːᵐbora,59_liver
ha-ᵐburmæn,60_dog
a-mæn,61_bird
ha-βonigə,62_fish
ɛⁿdɛlɛnɛ,63_snake
ha-utnɛnɛ,64_worm
ha-gʊt,65_louse
a-kasua,66_rat
hɛ-ⁿdaŋalɛ,67_spider
a-wuⁿdowas,68_mosquito
a-moβəne,69_egg
ɛ-βɛlɛᵐbʉs-ne,70_tail
ɛmɛlaɣɛ,71_wing
hɛ-βlɛnɛ,72_feather
ha-magʊt,73_man
hɛ-teβiate,74_woman
auftaililirat,75_child
na-kiane,76_name
sanɛ,77_mother
tamanɛ,78_father
a-magʊt_lɛᵐbɛtɛnɛnɛ,79_husband
hɛ-tɛviatɛ_tɪgine,80_wife
traˑn,81_day
luβugate,82_night
ha-gaᵐbasi,83_moon
ha-vænʊvʊt,84_star
ha-map˺,85_sky
na-wɔ,86_water
ha-uteus,87_lake
ha-tas,88_sea
a-ɣam,89_fire
hɛ-mosu,91_ash
hɛ-mosu_a-ɣam,91_ash
ha-βat˺,92_stone
ha-tɛnɛ,93_earthsoil
ha-mɛrɛsewan,95_sand
ha-woiβole,96_rain
ha-map˺,97_cloud
hɛ-mɛlaɣɛ,98_wind
ha-mavʷiser,99_thunder
iᵐbɛlɛᵐbɛs,100_lightning
ha-ɡai,101_meatflesh
ha-ɡai_ᵐbuɡai,101_meatflesh
ha-βonan-nɛ,102_fruit
hauteus,103_woodsforest
ha-ᵑgaruwa-ne,104_root
ha-saŋa,105_branch
ha-saŋa_naɣai,105_branch
ha-raunɛ,106_leaf
a-gai,107_wood
ha-ⁿdʳam,108_grass
na-tavsɛ-ne,109_flower
hɛ-ruiate,110_thatchroof
ha-matal,111_house
a-tal,112_rope
a-ialɛ,113_roadpath
i-mɪtemɪte,114_black
i-βoβolau,115_white
i-mimiale,116_red
i-mɛmɛlaɣse,117_green
i-wazwasi,118_yellow
i-lɛᵐbɛⁿdʳau,119_big
i-lele,120_small
i-semaŋal_iŋalavai,122_bluntdull
-magalaᵐbe,124_old
i-miakʰ,125_painfulsick
i-roai,126_good
i-se,127_bad
hæ-tɛnɛ,129_dirty
