Tapetautu1,English Translation
i-siᵑk,1_one
i-ru,2_two
i-tl,3_three
i-vɛz,4_four
i-ləm,5_five
lʊmt͡ʃis,6_six
t͡ʃoru,7_seven
isiŋel,8_eight
i-siŋel,10_ten
matu,16_right
mor,17_left
kɛnɛk,18_i
kəmɛm,19_weallexcl
naknd_ru,20_webothincl
nakəⁿd,22_weallincl
nakəm,23_thou
kɛm_ru,24_youboth
kɛm,25_youall
ɛn,26_heshe
ɛr,27_theyall
i-saɣa,29_nonot
ste,30_what
es,31_who
ɛpi,32_where
ipurpi,34_how
-ɛsoajez,37_above
-lelvenu,39_ininside
pəti-n,40_head
nil,41_hair
məte-n,42_eye
kəsə-n,43_nose
ⁿdɛliŋɛ-n,44_ear
pʷini-n,45_mouth
mimi-n,46_tongue
lu-n,47_tooth
lɪmɛ-n,48_hand
potax,50_neck
ᵐbʷəli-n,51_back
tili-n,52_leg
ⁿde-n,53_blood
t͡ʃu-n,54_bone
nil,55_skin
fɛtə-n,56_belly
sʊsʊ-n,58_breast
lipax,60_dog
nə-mɪn,61_bird
nɪ-mɪt͡ʃ,62_fish
nə-mʷot,63_snake
na-ɣt,65_louse
laᵐbʊt,66_rat
no-xmax,68_mosquito
ni-ⁿdəl,69_egg
nululɛ-n,70_tail
nil,72_feather
ⁿdui,73_man
təvet,74_woman
nɛ-tite,75_child
no-xsɛ-n,76_name
nunu,77_mother
ɛtɪmom,78_father
ɛlax,79_husband
təvɛt_ɛsɛ-n,80_wife
ni-tɪrɛn,81_day
n-il,83_moon
mɪʧi,84_star
nu-ɔ,86_water
tes,88_sea
nim,89_fire
ni-esɪn,90_smoke
nienim,91_ash
nə-vet,92_stone
ⁿdɛmb,93_earthsoil
ᵐbɪtnie,94_dust
nu-nuwin,95_sand
nu-is,96_rain
laŋ,98_wind
belevar,99_thunder
nɛvɪl,100_lightning
no-von,102_fruit
lɛᵐbʊm,103_woodsforest
na-rin,104_root
rɛŋɛsɛ-n,105_branch
rone,106_leaf
ne,107_wood
ni-nez,108_grass
ni-et,110_thatchroof
nɪ-mah,111_house
na-o,112_rope
sɛl,113_roadpath
-mit,114_black
-wiɸ,115_white
-miel,116_red
-lil,119_big
pəs,120_small
məlməlɣal,121_sharp
-ᵐbət͡ʃit͡ʃ,122_bluntdull
-tərɛp˺,124_old
-mɪsit,125_painfulsick
-pit͡ʃ,126_good
-sɛt,127_bad
-huvtax,129_dirty
-ⁿdiv,131_heavy
-ɛso,132_far
-ɛviᵐbəx,133_near
-niles,134_cold
-memes,135_dry
-wor,136_wet
-mo,139_come
-liŋliŋ,140_walk
-ptir,141_stand
-liɛk,142_sit
-ⁿdum,143_fall
-rutɛn,145_turn
-sax,146_climb
-suvsip,147_swim
-t͡ʃəren,149_throw
-tosusuɛn,150_hide
-uⁿdi,151_eat
-mɪn,152_drink
tiᵐbis,154_spit
-mɛtɛr_lis,155_dream
-mɛtər,156_sleep
ʧilup,157_live
-mɛz,158_die
-ɣət͡s-mɛs,159_kill
-lis,160_see
-rɪŋ,161_hear
-tmos,163_laugh
-it͡ʃ,164_cry
faŋ,166_burn
-ɣət͡sɣət͡s,168_pound
-ɣət͡s,169_hit
-t͡ʃet͡ʃ,170_cut
-t͡ʃet͡ʃ_ᵐbəɾi,171_split
-ɣəl,172_dig
-tərəx,173_hunt
-ususe,174_hold
-ⁿdɪŋⁿdəŋ,175_fear
i-t͡ʃpon,176_count
-luax,178_vomit
-ɣɔ,179_tieup
-fʷiri,182_say
-xərxar,183_scratch
-ul,185_buy
-vənax,186_steal
-lo,187_plant
-luɔ,189_shoot
-mɛkar,190_work
-laŋe,191_open
