Espiegelsbayunspecified,English Translation
mov_i-lim,12_fifty
movsiŋavil,13_onehundred
movsiŋavil_lu,14_onethousand
ᵑgeka,15_year
nɪ-mɛtu,16_right
nɪ-mʷir,17_left
ɣono,18_i
kɪnam,19_weallexcl
kɪnam_iru,21_webothexcl
nox,23_thou
kim_ᵐbɔ,24_youboth
kim_aru_pʷɔ,25_youall
xain,26_heshe
xaru_pɔ,27_theyall
ⁿʒit,30_what
isinɛ,31_who
himbe,32_where
sɛvnəran,33_when
-pɪlɛkʒɪt,34_how
xain_ᵑgeni,35_this
xain_xare,36_that
lɛmsaɣɛn,37_above
-melɪvɛn,38_below
-lalɛn,39_ininside
nɪ-vulo-n_ᵐbatɪ-n,41_hair
lɪmtɛ-n,42_eye
ᵑgəsɪ-n,43_nose
ᵐboro-n,44_ear
ⁿʒɪŋo-n,45_mouth
nɪ-mɪmɛ-n,46_tongue
luwo-n,47_tooth
nɛ-vɛrɛ-n,48_hand
ᵐbɪlɪ-n,49_shoulder
ⁿʧɛlɣa-k,50_neck
ⁿt͡sɪpɪnu-n,51_back
nɪ-mʷilɛ-n,52_leg
ni-ɣe,53_blood
ⁿt͡sɪ-n,54_bone
nu-vulo-n,55_skin
lɛxuwɛ-n,56_belly
teŋ-net͡sɪ-n,57_intestines
na-susɛ-n,58_breast
no-xuli,60_dog
nɪ-mɛnəx,61_bird
nɪ-mat͡s,62_fish
nɪ-mʷɛt,63_snake
wɪlɪt͡slɪt͡s,64_worm
na-ɣit,65_louse
na-ɣariv,66_rat
bodlas,67_spider
nɛ-mʷɔx,68_mosquito
rɪlɪ-n,69_egg
wɛlɣao,70_tail
nɛ-ɣpɛ-n,71_wing
nɪ-vulo-n,72_feather
nɪ-mirmir,73_man
ⁿdoat,74_woman
ⁿdigpis,75_child
nɛŋ-sɛ-n,76_name
pipi,77_mother
tate,78_father
ⁿduat-sɛ-n,79_husband
ⁿduatsɛn,80_wife
renɛn,81_day
nɪ-mɪlɪkɪn,82_night
ne-vʊr,83_moon
nu-wowor,84_star
ᵐbekanaran,85_sky
nu-a,86_water
ⁿdas,88_sea
na-rap,89_fire
ni-s_na-rap,90_smoke
ⁿɡev_nɣap,91_ash
nɪ-vat,92_stone
ⁿdɛn,93_earthsoil
naf,94_dust
nu-wowon,95_sand
no-s,96_rain
ᵐbekanan,97_cloud
laŋ,98_wind
ᵐbʷɪtekur,99_thunder
ni-vɪlax,100_lightning
lamis,103_woodsforest
no-xoro-n,104_root
nɛ-ŋərɛ-n,105_branch
roho-ne,106_leaf
na-ɣa,107_wood
na-mis,108_grass
nɛ-xawɛⁿdʳa,109_flower
roat,110_thatchroof
na-im,111_house
nɪ-mɛrɪt,112_rope
ⁿʒorsal,113_roadpath
-loŋloŋ,114_black
-wus,115_white
-mɛl,116_red
-hʊt͡sɣət͡ʃɛN,117_green
-mɔɣmɔɣɛl,118_yellow
-lɛplɛp,119_big
-wilwili,120_small
-mon,121_sharp
-pomonte,122_bluntdull
-moɣonɣon,123_shyashamed
-tɛra,124_old
-rot͡s,125_painfulsick
-nɪm,126_good
-sat,127_bad
-waratɪn,128_correcttrue
-loŋ,129_dirty
-mərɛvɪriv,130_rotten
-rof,131_heavy
-luvsi,132_far
nɪ-mɛlɣas,134_cold
-mɪmɪs,135_dry
-mim,136_wet
-mɪrax,137_new
-ma,139_come
-zival,140_walk
-tur,141_stand
-jat,142_sit
-ʧof,143_fall
-wulus,145_turn
-sax,146_climb
ⁿd͡ʒuβɛn,147_swim
-ɣirɪp,148_flyverb
-ʧɪplɪn_lue,149_throw
-tosusuɣun,150_hide
-wut͡s,151_eat
-min,152_drink
-mumaɸ,153_yawn
-tɪpɪs,154_spit
-metur_porpor,155_dream
-metur,156_sleep
-morɔv,157_live
-mas,158_die
-rupin,159_kill
-kɪle,160_see
-roŋɔ,161_hear
pʊnzi,162_sniffsmell
-ɲir,163_laugh
-ɲer,164_cry
-suf,165_blow
-xɛn,166_burn
-ruprup,168_pound
-rup,169_hit
-spɛ,170_cut
-tevoɣɪs,171_split
-horxor,173_hunt
-hus,174_hold
-loɣolof,175_fear
-ʧɪpʷɪn,176_count
-jevɪlaŋ,177_breathe
-lulu,178_vomit
-mʷeʧi,179_tieup
-us,180_squeeze
-wuwun,181_swell
-wir,182_say
-hut͡s,183_scratch
-t͡sɪle,184_stab
-wʊl,185_buy
-vɪniɣe,186_steal
-ruɸ,187_plant
-ʧɪro,189_shoot
valʰ,190_work
-ɣɛɣis,191_open
