Venentautealpalak,English Translation
i-amk,1_one
i-ru,2_two
i-tl,3_three
i-ða,4_four
i-lɪm,5_five
i-lɪmse,6_six
i-saru,7_seven
i-satl,8_eight
i-savɛt,9_nine
i-naɬ,10_ten
i-nɛl-ru,11_twenty
i-nɛ-lɪm,12_fifty
i-nɛɬnalivamk,13_onehundred
irɛta-pai,15_year
mɛlɛⁿdao,16_right
mir,17_left
kana,18_i
kamɛm,19_weallexcl
kamɛm_uⁿdʳani,20_webothincl
naknd,22_weallincl
nakm,23_thou
xin,26_heshe
xir,27_theyall
xir_aru,28_theyboth
i-kaɣe,29_nonot
ðata,30_what
xinak,31_who
ipi,32_where
inapi,34_how
pət-n,40_head
nil-,41_hair
nata-,42_eye
suka-,43_nose
ⁿdʳɪlna-,44_ear
pn-,45_mouth
lɪm-n,46_tongue
lu-,47_tooth
lɪna-,48_hand
fʷan,49_shoulder
natəf-,50_neck
ⁿdu-n,51_back
tl-,52_leg
na-ⁿde,53_blood
na-su-,54_bone
n-ilp’-k,55_skin
ðɛt-,56_belly
an-,57_intestines
nunu,58_breast
arn-ən,59_liver
lipax,60_dog
na-nəx,61_bird
tilao,62_fish
nɪ-mʷat,63_snake
sɪlɛs,64_worm
na-ɣt,65_louse
ləpo,66_rat
ni-lao,67_spider
na-məx,68_mosquito
naɣaⁿdʳln,69_egg
fəli,70_tail
ni-lxai-ɛn,71_wing
nilⁿdʳln,72_feather
nilⁿdʳln,72_feather
ⁿdui,73_man
tavɛt,74_woman
mʷarⁿdɛl,75_child
naxa-,76_name
une,77_mother
tate,78_father
nau-n,79_husband
tavɛta-k,80_wife
nu-tran,81_day
liɣat,82_night
n-al,83_moon
mʷəsi,84_star
pɛknaran,85_sky
na-we,86_water
na-lɪp,87_lake
na-taʰ,88_sea
na-ap,89_fire
iɛn,90_smoke
farn,91_ash
na-vɛt,92_stone
na-ⁿdɛð,93_earthsoil
neɛf,94_dust
n-un,95_sand
nu,96_rain
na-fl,99_thunder
lɛf_matɛn,100_lightning
niəx,101_meatflesh
nafa-n,102_fruit
lilimt,103_woodsforest
warn,104_root
ranɛ-n,105_branch
naro,106_leaf
nai,107_wood
ni-na,108_grass
laklak,109_flower
ne-ɛt,110_thatchroof
nə-max,111_house
na-xao,112_rope
na-vanɛl,113_roadpath
-nt,114_black
-tvwɔ,115_white
-m’iɛL,116_red
-wəs,118_yellow
-lil,119_big
-sipa,120_small
-xan,121_sharp
-pana,122_bluntdull
-məmʷixiɛn,123_shyashamed
-tarɛp,124_old
-metiɛn,125_painfulsick
-pas,126_good
-stu,127_bad
-vrⁿdawi,128_correcttrue
-vlaɣmɪt,129_dirty
-mumu,130_rotten
-ⁿdv,131_heavy
fiða,132_far
mima,133_near
-mɪla,134_cold
-nana,135_dry
-wir,136_wet
-m’ⁿdax,137_new
-ma,139_come
-feliɛn,140_walk
-pətir,141_stand
-lak,142_sit
-irs,143_fall
-wasri,144_liedown
-fafʷi,145_turn
-xapriɛn,146_climb
-tɛtv,148_flyverb
-sərani,149_throw
-tituani,150_hide
-mini,152_drink
-nanao,153_yawn
-tupi,154_spit
-natr,156_sleep
-silif,157_live
-na,158_die
-rpə-pni,159_kill
-le,160_see
a-rni,161_hear
-min,162_sniffsmell
-ftma,163_laugh
-lilai,167_sew
-rprpʷi,168_pound
-rpi,169_hit
-tri,170_cut
-fəlpri,171_split
-xəli,172_dig
-xaxar,173_hunt
-wənde,174_hold
ⁿdɛⁿdʳn,175_fear
-spani,176_count
a-ninin,177_breathe
a-lu,178_vomit
-xawi,179_tieup
-mlani,180_squeeze
-iran,181_swell
-fəri,182_say
-xarxari,183_scratch
-uli,185_buy
-fənaɣi,186_steal
-lawi,187_plant
a-taxpai,188_cook
-luwai,189_shoot
-pare,190_work
-wale,191_open
