Batarxopulipitav,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-ɣoɔn,6_six
-ɣɛᵐbit,7_seven
i-ɣoɛl,8_eight
i-ɣesiv,9_nine
-sɪŋavil,10_ten
movil_i-ru,11_twenty
mov_i-lim,12_fifty
ɪŋo_siŋavil,13_onehundred
ᵑgaka,15_year
mʷɪtu,16_right
mʷiɾ,17_left
nu͂,18_i
komam,19_weallexcl
nekir_saru,20_webothincl
nekir,22_weallincl
nox,23_thou
kemi_saru,24_youboth
kemi,25_youall
xain,26_heshe
xaiɾ,27_theyall
xair_saɾu,28_theyboth
ⁿzaɣa,30_what
sena,31_who
ambe,32_where
i-plakɛnzɛɣa,34_how
limsax,37_above
mɛlvɛna_litan,38_below
-lalɛn,39_ininside
ᵐbatu-k,40_head
vɪlɛ-n_ᵐbatu-k,41_hair
mɛta-gk,42_eye
ᵑgusu-k,43_nose
ᵐboro-k,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
luwo-k,47_tooth
wəra-k,48_hand
ⁿzalaɣa-k,50_neck
ⁿdaho-k,51_back
malɛ-k,52_leg
na-re,53_blood
ⁿʒi-k,54_bone
vɪlɛ_vɛra-k,55_skin
lavəɣa-k,56_belly
ⁿʒɪnɛ-k,57_intestines
ne-susu-k,58_breast
na-re_lalɛ-k,59_liver
mænux,61_bird
nɪ-mat͡s,62_fish
nə-mʷat,63_snake
wɪlɪt͡sɪlit͡s,64_worm
na-ɣit,65_louse
na-xaɾiv,66_rat
nɪ-la,67_spider
na-mux,68_mosquito
rulu-n_mænux,69_egg
walɣe-na,70_tail
na-ɣpe-n,71_wing
vɪlɛ-n_mænux,72_feather
ni-vɛnar,74_woman
lilo_su-k,79_husband
ni-vɛnarsuk,80_wife
laran,81_day
labuŋ,82_night
na-vʉl,83_moon
wuwoɾo,84_star
nu-ã,86_water
nalɛp,87_lake
ⁿdas,88_sea
na-ɣamb,89_fire
ni-s_na-ɣamb,90_smoke
nɛ-vʉlas,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
na-un,95_sand
na-us,96_rain
nɛ-ran,97_cloud
laŋ,98_wind
ᵐbʷɛtekuɾu,99_thunder
nɪ-vɪlax,100_lightning
mɪsɣovi-na,101_meatflesh
na-woŋana,102_fruit
nu-vorɣa,103_woodsforest
lɘpana_nɘ-ɣa,104_root
roɣo_nɘ-ɣa,106_leaf
na-ɣa,107_wood
na-mʉs,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
i-loŋəloŋ,114_black
i-pɪsax,115_white
i-mial,116_red
i-ɣɪt͡san,117_green
i-məɣɛl,118_yellow
i-lalamb,119_big
i-tɛᵐbʷis,120_small
hos_mʷon,121_sharp
i-moɣunɣun,123_shyashamed
i-tɛrtɛɾa,124_old
-rot͡s,125_painfulsick
i-nam,126_good
i-sat,127_bad
i-lalo,129_dirty
i-roɸ,131_heavy
-luvsi,132_far
-hanvogariɸ,133_near
-malɣas,134_cold
i-mimim,136_wet
i-mɪlakɛl,137_new
-mã,139_come
-vial,140_walk
nɪ-tuɾu,141_stand
-at,142_sit
isa-t͡soɸ,143_fall
mɪtuɾ_tuɣon,144_liedown
ho-sururi,145_turn
ho-sax,146_climb
-suɸ,147_swim
-ɣiɣamb,148_flyverb
ho-t͡sɛblɪn,149_throw
ho-tosuin,150_hide
-ŋor,151_eat
ⁿʒi-min,152_drink
-tɪpis,154_spit
nɪ-mɪtuɾ_vorvoɾo,155_dream
ⁿʒɪ-mɪtuna,156_sleep
hi-meruɸ,157_live
his-mʷis,158_die
husu-rup-is-mʷɪs,159_kill
ⁿʒɪ-lɪs,160_see
ⁿʒo-roŋɔ͂,161_hear
nɪ-ŋiɾi,163_laugh
-ŋare,164_cry
i-sɛɾ,165_blow
i-ɣan,166_burn
-ruru,167_sew
osu-ruprup,168_pound
ⁿʒ-rup,169_hit
hos-piɾe,171_split
hosi-ɣil,172_dig
horhor,173_hunt
-ozuʃ,174_hold
uru-mtahut,175_fear
-ʧɪpʷɪn,176_count
t͡sɛ-vɪ-laŋ,177_breathe
-lulu,178_vomit
-mʷiʧ,179_tieup
i-wuwulus,181_swell
hosu-wiɾe,182_say
ⁿʒi-siɾə,184_stab
nu-wol,185_buy
nɪ-vɪnaɣe,186_steal
hu-ruɸ,187_plant
i-titin,188_cook
ⁿʒɪ-vin,189_shoot
hos-pas,190_work
osu-walɛ,191_open
