Atchinorap,English Translation
-sa,1_one
e-ru,2_two
e-tol,3_three
e-vat͡sʰ,4_four
e-lim,5_five
e-won,6_six
ɛᵐbʉt,7_seven
o-al,8_eight
ɛ-siu,9_nine
ɛ-saŋavʉl,10_ten
movil_eru,11_twenty
movil_elim,12_fifty
mov_saŋavʉl,13_onehundred
ⁿdʳam,15_year
matu,16_right
mʷir,17_left
ina,18_i
keam,19_weallexcl
lekir_eru,20_webothincl
lekir,22_weallincl
inik,23_thou
kami_eruɔ,24_youboth
kami,25_youall
ini,26_heshe
mʷi-ʧiga,29_nonot
ⁿt͡se,30_what
ⁿt͡se_gɔ,30_what
ise,31_who
nɛmbe,32_where
ɛ-pɛnse,34_how
e-mare,37_above
mɛlɛlovin,38_below
-lolon,39_ininside
batu-k,40_head
ron,41_hair
ron_batu-k,41_hair
mɛta-k,42_eye
kunʃu-k,43_nose
pora-k,44_ear
ʧuŋa-k,45_mouth
mɛma-k,46_tongue
luwɔ-k,47_tooth
vɛra-k,48_hand
pʷili-k,49_shoulder
sala-k,50_neck
ru-k,51_back
bala-k,52_leg
hra-k,53_blood
ʧi-k,54_bone
vilʉlʉ-k,55_skin
ʧina-k,57_intestines
susu-k,58_breast
na-rɛ-k,59_liver
tamai,60_dog
ni-man,61_bird
masal,62_fish
ni-mʷɛt,63_snake
toto,64_worm
na-ut,65_louse
ha-riv,66_rat
ha-riv_pɪrɛŋesis,66_rat
ni-ᵐbʷɛr,67_spider
ni-nam,68_mosquito
rulu-n,69_egg
wolou-n,70_tail
na-ᵐbɛ-n,71_wing
mowɛ-n,72_feather
norman,73_man
psevin,74_woman
tipis,75_child
nɛ-sa-k,76_name
pe_s-ak,77_mother
te_s-ak,78_father
tɛwɛn_s-ak,79_husband
litɛr_s-ak,80_wife
no-tran,81_day
no-tvuŋ,82_night
na-vʉl,83_moon
muʧo,84_star
bakran,85_sky
nu-a,86_water
nalɛp˺,87_lake
ⁿtas,88_sea
na-mb,89_fire
ni-s,90_smoke
ni-s_na-mb,90_smoke
ni-vat,92_stone
ⁿtan,93_earthsoil
putmau,94_dust
tipnan,95_sand
no-us,96_rain
na-ror,97_cloud
laŋ,98_wind
pɛlvɛr,99_thunder
na-vil,100_lightning
ʃ_ʰovi-n,101_meatflesh
wɛnɛ-n,102_fruit
ni-tarax,103_woodsforest
lapʷɛ-n,104_root
rɛŋrɛŋɛ-n,105_branch
rou-n,106_leaf
ne-i,107_wood
na-mʉs,108_grass
ni-at,110_thatchroof
ne-im,111_house
na,112_rope
ⁿt͡sɛl,113_roadpath
-mʊtmʊt,114_black
-wis,115_white
-βɛvɛŋ,116_red
mɛ-at͡sat͡sɛn,117_green
-mʷɛlmʷalaŋ,118_yellow
mʷɪ-lɛplɛp,119_big
-wɪlwɪle,120_small
mu-so,121_sharp
-ᵐbato,122_bluntdull
mʷi-rɛs,126_good
mʷit͡sat͡s,127_bad
-worotun,128_correcttrue
mi-lalo,129_dirty
-mʊtmʊt,130_rotten
mu-roʷ,131_heavy
-soβi,132_far
-mori,133_near
-malas,134_cold
-mɛmɛs,135_dry
mʷɛ-ramim,136_wet
po-ma,139_come
mi-viɛl,140_walk
mɪ-tur,141_stand
mɪ-lɪk,142_sit
po-ʧov,143_fall
po-ʧov_ɛtan,143_fall
wo-rori,145_turn
mɛ-asa,146_climb
mi-loŋ,147_swim
mu-ro,148_flyverb
po-vrɛni,149_throw
mɪ-silveni,150_hide
me-an,151_eat
mɪ-min,152_drink
mɪ-min_nua,152_drink
mi-ɛnma,153_yawn
mɪ-lutuß,154_spit
porvor,155_dream
mɪ-matur_porvor,155_dream
mɪ-matur,156_sleep
-mɛur,157_live
-mat͡s,158_die
mɪ-rɛvʧi_i-mat͡s,159_kill
mi-lesi,160_see
mɛ-roŋe,161_hear
na-vʉn,162_sniffsmell
mɛ-mɛn,163_laugh
mɛ-taŋ,164_cry
-sɛr,165_blow
mu-ruri,167_sew
po-rɛvrɛvʧi,168_pound
mɪ-rɛvʧi,169_hit
mʷi-te,170_cut
mɪ-rereri,171_split
po-veʧi,172_dig
mɛore,173_hunt
po-totoni,174_hold
mɪ-mata,175_fear
-βɛβɛ,176_count
mɪ-vɪn-laŋ,177_breathe
mi-lulu,178_vomit
mo-t͡sali,179_tieup
po-wisi,180_squeeze
-ᵐbɛᵐbur,181_swell
mi-wure,182_say
-wowoi,183_scratch
ʧuʧi,184_stab
po-wuli,185_buy
mɪ-vanai,186_steal
mi-ruʰ,187_plant
mɛ-taβu,188_cook
mi-lue,189_shoot
mɛ-mat͡sɪŋ,190_work
po-viɛ,191_open
