Maluabaytiptir,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lɪm,5_five
-ɣoɛn,6_six
-ɣɛᵐbit,7_seven
-ɣoil,8_eight
-ɣasɪv,9_nine
-sɛŋavil,10_ten
ŋovul_i-ɾu,11_twenty
ŋov_u-lɪm,12_fifty
ŋovsɛŋavil,13_onehundred
nɪ-mɛto,16_right
nɪ-mʷaiɾ,17_left
xonu,18_i
nakr_iru,20_webothincl
nakr,22_weallincl
nox,23_thou
kɪm_pʷɔ_ru,24_youboth
kim,25_youall
xain,26_heshe
xar_pʷɔ,27_theyall
xar_pʷɔ_ru,28_theyboth
i-seɣi,29_nonot
ⁿʒivit,30_what
ɪmbɛ,32_where
sɪvalɪŋ,33_when
i-plɛkɛnzavit,34_how
-lɛmsax,37_above
-mɛləvɛn,38_below
-lalɛn,39_ininside
ᵐbat-k,40_head
nɪ-vulo-k,41_hair
nɪ-mta-k,42_eye
ᵑgɪsɪ-k,43_nose
ᵐboro-k,44_ear
ⁿʒɪno-k,45_mouth
nɪ-mɪmɛ-k,46_tongue
luvo-k,47_tooth
nɪ-vura-k,48_hand
ᵐbotoɣpas,49_shoulder
ⁿʒɛlɣa-k,50_neck
ⁿdah-k,51_back
nɪ-mʷila-k,52_leg
ni-re,53_blood
ⁿʒi-k,54_bone
nɪ-vulo-k,55_skin
lɛvuɣa-k,56_belly
ⁿʒɪnɛ-k,57_intestines
na-sus,58_breast
nɛ-re,59_liver
nu-ɣuli,60_dog
nɪ-mænɔx,61_bird
nɪ-mat͡s,62_fish
nɪ-mʷɪt,63_snake
wɪlit͡slit͡s,64_worm
nɛ-ɣət,65_louse
laᵐbɔ,66_rat
ne-la,67_spider
nɛ-məx,68_mosquito
rɪlɪ-n,69_egg
wɛlɣao-n,70_tail
nɛ-ɣpɛ-n,71_wing
nɪ-vulo-n,72_feather
nɪ-mɛrmiɾ,73_man
ⁿduat,74_woman
ⁿdiɣpis,75_child
nɛ-ŋɪs,76_name
pipe_su-k,77_mother
tate,78_father
lilaɣ_su-k,79_husband
ⁿduat_su-k,80_wife
lɛɾan,81_day
nɪmalək,82_night
nɛ-vʊl,83_moon
nu-vuvoɾɔ,84_star
ᵐbɛkneɾan,85_sky
nu-ã,86_water
nalɪp,87_lake
ⁿdas,88_sea
na-ɣap,89_fire
ni-s_na-ɣap,90_smoke
nɪ-vɪlas,91_ash
nɪ-vat,92_stone
ⁿdɛn,93_earthsoil
na-ɸ,94_dust
nɪ-vuwon,95_sand
no-s,96_rain
na-ror,97_cloud
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪ-vɪlax,100_lightning
nɪ-mbix,101_meatflesh
nɛ-vʊŋəne,102_fruit
nu-vorɣa,103_woodsforest
no-xorone,104_root
nɛ-ŋrɛ-n,105_branch
roxo,106_leaf
na-ɣa,107_wood
na-mʉs,108_grass
roat,110_thatchroof
na-im,111_house
nɪ-mɛrɪt,112_rope
i-mʊtmʊt,114_black
i-vus,115_white
i-mɛl,116_red
i-ɣt͡san,117_green
i-məɣɛl,118_yellow
i-lɛplɛp,119_big
i-kutkut,120_small
i-mʷon,121_sharp
i-patot,122_bluntdull
nɪ-moɣunɣun,123_shyashamed
-tɛɾa,124_old
i-nɛm,126_good
i-sat,127_bad
-vuratɪn,128_correcttrue
i-lalo,129_dirty
i-mərɛvrɪv,130_rotten
i-roɸ,131_heavy
-luɣsi,132_far
-xəriv,133_near
nɪ-mɛlɣas,134_cold
i-mɪmɪs,135_dry
i-mim,136_wet
-mərax,137_new
-mã,139_come
nɪ-val,140_walk
na-tuɾu,141_stand
n-at_ɣun,142_sit
i-ʧov,143_fall
nɪ-metuɾ__tuɣun,144_liedown
-sax,146_climb
i-ɣoɣɛp,148_flyverb
-worɪn_lue,149_throw
-tosesuɣun,150_hide
na-oɾ,151_eat
nɪ-min,152_drink
nu-mumav,153_yawn
i-tɪpɪs,154_spit
nɪ-metur_vorvoɾ,155_dream
nɪ-metuɾ,156_sleep
i-meruɸ,157_live
i-mas,158_die
-rup-is-mas,159_kill
nɪ-lɪs,160_see
nu-roŋɔ,161_hear
na-matɪne,162_sniffsmell
nɪ-ŋiɾə,163_laugh
nɪ-ŋɛɾɛ,164_cry
i-siɾ,165_blow
-ɣɛn,166_burn
-rup,169_hit
i-spe,170_cut
-tevuɣis,171_split
-ɣil,172_dig
-xorɔ,173_hunt
-us,174_hold
-loɣolox,175_fear
-ʧɪpʷɪn,176_count
ni-ɛvɪ-laŋ,177_breathe
i-lolo,178_vomit
-mʷit͡s,179_tieup
-wis,180_squeeze
i-vuvun,181_swell
-wiɾə,182_say
-ʧɪle,184_stab
-wʊl,185_buy
-vɪniɣe,186_steal
-laɸ,187_plant
i-titin,188_cook
-soɾo,189_shoot
-ᵐbɛs-ɛn,190_work
-wale,191_open
