Fiftimalmbor,English Translation
saɣam,1_one
i-ru,2_two
i-tl,3_three
i-vas,4_four
i-lim,5_five
i-sɔs,6_six
sɔru,7_seven
sotl,8_eight
saovas,9_nine
-ŋavʊl,10_ten
ŋɑvul_i-ru,11_twenty
ŋɑvul_i-lim,12_fifty
nɛ-ⁿdam,15_year
ᵐbaratɪn,16_right
mʷɛr,17_left
na,18_i
aɣɪn_ⁿdʳu,20_webothincl
aɣɪn_ⁿdʳu,21_webothexcl
aɣɪn,22_weallincl
aɣɔ,23_thou
ᵑgam,24_youboth
ᵑgam_lɪmæ,25_youall
hei,26_heshe
hiɪⁿdʳ,27_theyall
nisaɣɛn,30_what
hasi,31_who
ᵐbaŋ,32_where
hitamax,34_how
eax,35_this
-hɛre,37_above
-rapan,38_below
-ᵐʙoxʊð,39_ininside
ᵐbat-n,40_head
sivɪlɛ-n,41_hair
nɪ-mɪta-n,42_eye
na-ɣansu-n,43_nose
nɪ-ⁿdɪlɪŋa-n,44_ear
ni-moŋo-n,45_mouth
ni-lɪmɛ-n,46_tongue
ni-lɪβu-n,47_tooth
nɪ-fɪra-n,48_hand
ᵐbatɪfɛra-n,49_shoulder
nɪ-ⁿdla-n,50_neck
ᵑgalɛ-n,51_back
nɪ-ðɪlɛ-n,52_leg
nɪ-ⁿdʳe,53_blood
ᵐboloŋo-n,54_bone
nɪvu-n,55_skin
ⁿdɛmɪŋɛ-n,56_belly
nɪ-ᵐʙurta-n,57_intestines
na-zuz,58_breast
hɪlomɛt,59_liver
na-xaᵐbʷiɾ,60_dog
ni-mæn,61_bird
ni-əx,62_fish
nɪ-mat,63_snake
na-ɣut,65_louse
ᵐbisɪᵐbox,66_rat
nɪ-ᵑgaŋa,67_spider
ni-toɣas,68_mosquito
no-ᵑgovi-n,69_egg
nɪ-ᵐʙs-n,70_tail
nɪ-ᵐbʷa-n,71_wing
sivɪlɛ-n,72_feather
nu-muɣʊt,73_man
mɔɣɔmɔx,74_woman
nɪ-tati,75_child
na-ɣis,76_name
neɪⁿda,77_mother
mama,78_father
mɔɣɔmoɣ-ti,80_wife
lonial,81_day
lɪvaɣat,82_night
huᵐbæsi,83_moon
fʷɪnmʷɪsɔ,84_star
ne-laŋ,85_sky
nu-wɛ,86_water
ni-tusu,88_sea
na-ɣɑmp,89_fire
-tɛltɛl,90_smoke
fʷilaon,91_ash
nɪ-vat,92_stone
nɪ-ᵐbʷetan,93_earthsoil
ᵐbisap,94_dust
volɪsilas,95_sand
na-oz,96_rain
ne-laŋ,97_cloud
ne-laŋ,98_wind
ᵐbælavar,99_thunder
ⁿdɪliɲax,100_lightning
fisɪɣon,101_meatflesh
nɪ-va-n,102_fruit
la-ɣa,103_woodsforest
ᵑgɛruɛ-n,104_root
nɪ-tapora-n,105_branch
no-ro-n,106_leaf
na-ɣa,107_wood
nu-soŋusoŋ,108_grass
ni-at,110_thatchroof
nu-ɣomal,111_house
no-ɣɔ,112_rope
-mɛtmɛt,114_black
-ioviop,115_white
-mial,116_red
-lililit,118_yellow
i-lamblamb,119_big
-lele,120_small
-sɪmaŋalsi,122_bluntdull
-rotis,123_shyashamed
-sal,125_painfulsick
-rɪfʷik,126_good
-is,127_bad
-varatn,128_correcttrue
-mɛtmɛt,129_dirty
-momɔ,130_rotten
-map,131_heavy
-lile,133_near
-masmas,135_dry
-miⁿda,136_wet
-mɛrɛhɛrɛx,137_new
-ᵐʙuel,139_come
-solsol,140_walk
-tur,141_stand
-porfor,142_sit
-lo_ᵐbutan,143_fall
-ⁿdʳi,145_turn
-sakha,146_climb
-ial,148_flyverb
-rix,149_throw
-pɪsolɪx,150_hide
-kan,151_eat
-maŋolal,153_yawn
-pre,154_spit
nɪᵐbari,155_dream
-matur,156_sleep
-maur,157_live
-te-ɪ-ᵐborpor,159_kill
na-ᵐʙun,162_sniffsmell
ᵐbɪrap,163_laugh
-ŋar,164_cry
-fuvup,165_blow
-loŋ,166_burn
-tete,168_pound
-te,169_hit
-te,170_cut
-te_ᵐʙur,171_split
-ɣil,172_dig
ni-mɪtaχtaχa,175_fear
-ⁿduŋam,176_count
na-ŋarᵑgar,177_breathe
-iox,178_vomit
-pis,179_tieup
-ᵐʙur,181_swell
-ɣɔɣɔ,183_scratch
-tur,184_stab
ᵐbʊl,185_buy
-pinox,186_steal
-ɣavʊx,187_plant
ᵐbu-lu,189_shoot
ᵐbœr,190_work
