Bislama2,English Translation
wan,1_one
tu,2_two
tri,3_three
fɔ,4_four
faif,5_five
sɪkis,6_six
sɛvɛn,7_seven
het,8_eight
naɛn,9_nine
tɛn,10_ten
twɛnti,11_twenty
fifti,12_fifty
wan_andrɛt,13_onehundred
wan_taozɛn,14_onethousand
ja,15_year
rait,16_right
lɛf,17_left
mi,18_i
mifala,19_weallexcl
jumitu,20_webothincl
mitufala,21_webothexcl
jumi,22_weallincl
ju,23_thou
jutufala,24_youboth
jufala,25_youall
hɛm,26_heshe
olgɛta,27_theyall
tufala,28_theyboth
no,29_nonot
wanɛm,30_what
hu,31_who
wɛa,32_where
wanɛm_taim,33_when
hao_olsɛm_wanɛm,34_how
hɛmia_ja,35_this
hɛmia_lɔŋwe,36_that
antap,37_above
ədanit,38_below
ɪnsaid,39_ininside
hɛdᵗ,40_head
hea,41_hair
hai,42_eye
nus,43_nose
sora,44_ear
maot,45_mouth
taŋ,46_tongue
tut,47_tooth
han,48_hand
solda,49_shoulder
nɛk,50_neck
bɔksaidᵗ,51_back
lɛk,52_leg
bladᵗ,53_blood
bun,54_bone
sikin,55_skin
bɛl,56_belly
kat,57_intestines
titi,58_breast
lɛva,59_liver
dɔgk,60_dog
pɪʧɪn,61_bird
fiʃ,62_fish
snɛk,63_snake
wɔm,64_worm
laos,65_louse
rat,66_rat
spida,67_spider
moskito,68_mosquito
hɛk,69_egg
tɛl,70_tail
wɪn,71_wing
fɛta,72_feather
man,73_man
wɔman,74_woman
pɪkinini,75_child
nɛm,76_name
mama,77_mother
papa,78_father
asbɛn,79_husband
waif,80_wife
de,81_day
nait,82_night
mun,83_moon
sta,84_star
skai,85_sky
wɔta,86_water
lɛk,87_lake
solwɔta,88_sea
faia,89_fire
smɔk,90_smoke
asis,91_ash
ston,92_stone
kraon,93_earthsoil
tas,94_dust
sanbiʧ,95_sand
rɛn,96_rain
klaot,97_cloud
wɪn,98_wind
tanda,99_thunder
laitniŋ,100_lightning
mit,101_meatflesh
frut,102_fruit
dakbus,103_woodsforest
rus,104_root
branʧ,105_branch
lif,106_leaf
wudᵗ,107_wood
kras,108_grass
flawa,109_flower
ruf,110_thatchroof
haos,111_house
rop,112_rope
rot,113_roadpath
blak,114_black
wait,115_white
rɛd,116_red
grin,117_green
yalo,118_yellow
bɪgk,119_big
smɔl,120_small
sap,121_sharp
no_sap,122_bluntdull
sɛm,123_shyashamed
olfala,124_old
sɪk,125_painfulsick
gʊd,126_good
bat,127_bad
strɛt,128_correcttrue
dɔti,129_dirty
rɔtɛn,130_rotten
hɛvi,131_heavy
lɔŋwɛ,132_far
kolosap,133_near
kolkol,134_cold
drai,135_dry
wɛtwɛt,136_wet
niu,137_new
narawan,138_other
kam,139_come
wɔkabɔt,140_walk
stanap,141_stand
sɪdaon,142_sit
fɔldən,143_fall
ledɔn,144_liedown
tanɛm,145_turn
klaɛm,146_climb
suɪm,147_swim
flai,148_flyverb
sakɛmaot,149_throw
haitɛm,150_hide
kakai,151_eat
drɪŋ,152_drink
wantɛm_slip,153_yawn
spɛt,154_spit
drim,155_dream
sɪlip,156_sleep
laɪf,157_live
dɛt,158_die
kɪlɪmiⁿdɛt,159_kill
luk,160_see
harɛm,161_hear
səmɛl,162_sniffsmell
laf,163_laugh
krai,164_cry
blo,165_blow
bɔn,166_burn
somap˺,167_sew
kilkilɪm,168_pound
kɪlɪm,169_hit
katɛm,170_cut
splɛtɛm,171_split
dɪgɪm,172_dig
hant,173_hunt
holɛm,174_hold
kɔntɛm,176_count
pʊlʊm_wɪn,177_breathe
traot,178_vomit
fasɛm,179_tieup
swisɪm,180_squeeze
solap,181_swell
talɛm,182_say
sikrasɛm,183_scratch
stɪkɪm,184_stab
pɛm,185_buy
stɪlɪm,186_steal
planɛm,187_plant
kuk,188_cook
sutʊm,189_shoot
wɔk,190_work
hopɛnɛm,191_open
