Venentautebenenavet,English Translation
iamk,1_one
iru,2_two
artl,3_three
arɪða,4_four
arɪlɪm,5_five
saru,7_seven
mɛlɛndao,16_right
mir,17_left
kana,18_i
kanɛm,19_weallexcl
nakm,23_thou
kani,25_youall
xin,26_heshe
xir,27_theyall
vata_ðata,30_what
xinak,31_who
ea,37_above
pətk,40_head
nil,41_hair
nata,42_eye
ʃuka,43_nose
ⁿdʳɪlinam,44_ear
pn,45_mouth
nɛnɛm,46_tongue
lun,47_tooth
lɪmɛk,48_hand
natv,50_neck
ⁿdun,51_back
tlk,52_leg
naⁿde,53_blood
ʃun,54_bone
nilɛpakn,55_skin
fatk,56_belly
nunu,58_breast
lipax,60_dog
nanəx,61_bird
tilao,62_fish
naɣt,65_louse
ɛlpo,66_rat
naxaⁿdʳln,69_egg
fəlin,70_tail
nilɣaiɛn,71_wing
ⁿdui,73_man
tavɛt,74_woman
marⁿdɛl,75_child
une,77_mother
tate,78_father
naun,79_husband
tavɛt,80_wife
nutirɛn,81_day
liɣat,82_night
naal,83_moon
mʷuʃi,84_star
narn,85_sky
nawe,86_water
nataʰ,88_sea
naap,89_fire
iennaap,90_smoke
navɛt,92_stone
naⁿdɛð,93_earthsoil
nun,95_sand
nu,96_rain
narn,97_cloud
nalɛn,98_wind
navl,99_thunder
lilimt,103_woodsforest
warn,104_root
rane_nai,105_branch
ru_nai,106_leaf
nai,107_wood
neɛt,110_thatchroof
nəmax,111_house
naɣao,112_rope
nɛvɛnɛl,113_roadpath
imɪt,114_black
itəva,115_white
ilil,119_big
isusupa,120_small
nɛtarɪp,124_old
ipas,126_good
iʃtu,127_bad
iviva,132_far
mima,133_near
mɛla,134_cold
wir,136_wet
pama,139_come
vɛl,140_walk
nɛvtir,141_stand
lk,142_sit
irɪs,143_fall
xapr,146_climb
itɛtv,148_flyverb
sərani,149_throw
tituani,150_hide
xatat,151_eat
tupʷi,154_spit
anatr_kale,155_dream
natr,156_sleep
ina,158_die
harpina,159_kill
nɛrni,161_hear
nɪvutma,163_laugh
ivalo,164_cry
harpi,168_pound
hɛrpi,169_hit
atri,170_cut
hetərpapri,171_split
haɣəli,172_dig
wənde,174_hold
nɛⁿdʳn,175_fear
herɛvnalɛn,177_breathe
ilu,178_vomit
xawi,179_tieup
xarxari,183_scratch
holi,185_buy
lawi,187_plant
luai,189_shoot
wale,191_open
