Nindeopmobamba,English Translation
-sei,1_one
xowɔ,2_two
-tl,3_three
-vɛs,4_four
sɛlme,5_five
manaxwɔ,7_seven
-manetl,8_eight
maneves,9_nine
ðaŋal,10_ten
naðaŋal_xoɔ,11_twenty
naðaŋal_selme,12_fifty
naðaᵑgal_ðlaŋal__ᵑgɔxɔ_vɪse,13_onehundred
nɛ-to,15_year
des-mʷotɪne,16_right
des-tataʔ,17_left
kɪne,18_i
kamɛm,19_weallexcl
kɪtax,20_webothincl
kamax,21_webothexcl
kɪte,22_weallincl
nun,23_thou
kamo,25_youall
nie,26_heshe
naxa,27_theyall
ⁿde,30_what
nane,31_who
mɛne,32_where
varan,33_when
ioŋe,35_this
i-taxaive,36_that
-ɛre,37_above
nu-ᵐʙut-e,40_head
nɛ-lput-e,41_hair
nɛ-mɛtɛ-ne,42_eye
nu-ŋuna-ne,43_nose
ⁿdɪliŋa-ne,44_ear
no-ᵐboŋo-ne,45_mouth
nɛ-lɪmɛ-ne,46_tongue
nɛ-vaxa-,48_hand
nu-ᵐʙutvaxa,49_shoulder
ᵐbolowoinɛ-nɛ,50_neck
nɪ-tuku-ne,51_back
ni-ᵐbul-e,52_leg
na-re,53_blood
no-ᵐʙoðoŋo,54_bone
nɪ-vit-e,56_belly
nɛ-se-ne,57_intestines
no-mʷɔmʷɔ,58_breast
nu-ᵐbopu-ne,59_liver
kapox,60_dog
nɛ-mɪn,61_bird
ni-miaðe,62_fish
na-mʷate,63_snake
ni-ᵑgɪlɛs,64_worm
nu-ᵑgut,65_louse
kairate,66_rat
nɛ-taðe,67_spider
na-ᵑgamʷɛ,68_mosquito
na-malap,69_egg
nɛ-lᵐbuse,70_tail
nɛ-lvaxa,71_wing
nɛ-le,72_feather
watiwʌx,74_woman
ᵐbɔʔoilolo,75_child
nɪ-ki-,76_name
nai-akine,77_mother
tamaŋ-akine,78_father
nu-muᵑgut_akɪne,79_husband
watian-akine,80_wife
laxan,81_day
livete,82_night
nɛ-βe,83_moon
na-nmʷisi,84_star
miliᵑge,85_sky
no-woi,86_water
nowoi_nimniᵐʙ,87_lake
nɛ-tɛs,88_sea
ni-ᵐbia,89_fire
nɛ-tɛniɛp,91_ash
nɛ-βɛt,92_stone
nɛ-tɛnɛ,93_earthsoil
nɪ-ᵐbɪnwane,95_sand
nu-wɔ,96_rain
ni-miliᵑɡe,97_cloud
ni-miliᵑɡe_nu-ɔ,97_cloud
na-ðai,98_wind
ni-βile,99_thunder
xo-ᵑgulo,100_lightning
no-on,101_meatflesh
no-on_ᵐbuas,101_meatflesh
na-wan-ne,102_fruit
na-ᵑgaxwa-ne,104_root
na-nsixa-ne,105_branch
nu-woxo,106_leaf
n-ei,107_wood
nɛ-soᵑgone,108_grass
ni-tuve-ne,109_flower
nu-xoite,110_thatchroof
na-mʷi,111_house
nɛ-tɛl,112_rope
na-ðe,113_roadpath
-mɪte,114_black
-mʉs,115_white
-miaðe,116_red
-mɛlɪkɪse,117_green
-lʉt,118_yellow
-tlɛpe,119_big
-lolo,120_small
-maŋal,121_sharp
-maðe,123_shyashamed
-kaiwut,124_old
-miaʔ,125_painfulsick
-ⁿda,126_good
-pelawas,127_bad
ⁿda-motɪne,128_correcttrue
-mum,130_rotten
-luᵐʙ,131_heavy
-slaʔ,132_far
-mamaðaʔ,134_cold
-maxaxas,135_dry
-luᵐʙ,136_wet
-βeβeo,137_new
tlaʔ,138_other
ku-pul,139_come
-ðo,140_walk
-taxse,141_stand
-səpɔ,142_sit
-sum,143_fall
pa-aʔ,146_climb
-ⁿdenⁿden,147_swim
-jɛle,148_flyverb
-suᵐʙro-ɔŋe,149_throw
-tuðaʔðaʔ,150_hide
-ᵑgaan,151_eat
-min,152_drink
-wolel,153_yawn
-xoi,154_spit
-lin_ᵐʙəxaje,155_dream
-mitox,156_sleep
muɔx,157_live
-mɛs,158_die
-xos-ᵐʙn,159_kill
kop-li,160_see
-xoŋe,161_hear
ŋaxa-ᵐbune,162_sniffsmell
-vitumɔ,163_laugh
-xo,164_cry
-sɪsəxap˺,165_blow
o-xus,169_hit
ko-xos,170_cut
-sɪᵐbax,171_split
-kɪl-iŋe,172_dig
ɛ-ᵑgamʷus,173_hunt
palel-iŋe,174_hold
metaʔ,175_fear
-ᵐbuluk,176_count
ŋaxa,177_breathe
-liluɔ,178_vomit
-wus,179_tieup
-wus_titu,179_tieup
-tiᵐʙ,181_swell
ku-ᵐʙɪti,182_say
-tax,184_stab
-ᵐbul-iŋe,185_buy
-vɛnaʔ,186_steal
-lalap,187_plant
ɛ-tupus-iŋe,189_shoot
-xaʔ,190_work
-sax-iŋe,191_open
