Espiegelsbaylitebral,English Translation
-səɣal,1_one
-ru,2_two
-til,3_three
-vat,4_four
-lɪm,5_five
-ɣoɛn,6_six
-ɣɪmbit,7_seven
-ɣuil,8_eight
-ɣasəv,9_nine
-siŋavil,10_ten
ŋovil_i-ru,11_twenty
ŋov_i-lim,12_fifty
ŋovsɛŋavil,13_onehundred
ᵑgɛka,15_year
nə-mɛto,16_right
nə-mʷaiɾ,17_left
ɣono,18_i
kənam,19_weallexcl
nakr,22_weallincl
nox,23_thou
kim_aru,24_youboth
kɪm,25_youall
ɣain,26_heshe
ɣaɣə,27_theyall
-səɣe,29_nonot
ⁿʒit,30_what
ize,31_who
ɪmbɛ,32_where
sɪvɛlɛŋ,33_when
-blagɛnʒɪt,34_how
ɣori,35_this
ɣaɣe,36_that
-lɛmsah,37_above
-mɛləvɛn,38_below
-lalɛn,39_ininside
ᵐbatə-r,40_head
nlo_ᵐbatɪr,41_hair
lɛmtɛr,42_eye
ᵑgəsɛ-r,43_nose
ᵐboro-r,44_ear
sɪŋo-r,45_mouth
nɪ-mɪmɛ-r,46_tongue
luwo-r,47_tooth
no-voro-m,48_hand
ᵐbəlɛ-r,49_shoulder
ⁿʧɛlɣɛ-r,50_neck
ⁿʒɪpɪno-r,51_back
nə-mʷɛlo-m,52_leg
ni-re,53_blood
ⁿʒi-r,54_bone
lɛvuɣɛ-r,56_belly
ⁿdɛŋ-nɛtsɛ-,57_intestines
na-sus,58_breast
no-woli,60_dog
nɪ-mænɔx,61_bird
nɪ-mat͡s,62_fish
nɪ-mʷɛt,63_snake
na-ɣit,65_louse
na-ɣariv,66_rat
burdlas,67_spider
nɛ-məx,68_mosquito
rɪlɪ-n,69_egg
nɛ-ɣpɛ-n,71_wing
nɪ-vɪloɪ-n,72_feather
nɪ-mɪɾmɪɾ,73_man
ⁿduat,74_woman
ⁿdiɣbis,75_child
pepe,77_mother
laɣ_sɛ-n,79_husband
ⁿduat_sɛ-n,80_wife
no-təɾan,81_day
mælək,82_night
nɛ-vʊl,83_moon
nu-vuvoɾ,84_star
nɪ-msusu,85_sky
nu-aʰ,86_water
nilɛp,87_lake
ⁿdas,88_sea
na-ɣap,89_fire
ni-s_na-ɣap,90_smoke
nɪ-vat,92_stone
ⁿdɛn,93_earthsoil
nə-maɣaɸ,94_dust
nɪ-vuwon,95_sand
no-s,96_rain
laŋ,98_wind
ᵐbʷɛtekuɾo,99_thunder
nɪ-vɪlax,100_lightning
nɛ-mɛsɣov,101_meatflesh
nɛ-vuŋɛn,102_fruit
nɪ-vorɣa,103_woodsforest
no-ɣoɾon,104_root
nɛ-ŋrɛ-nɛ,105_branch
roɣ̞o,106_leaf
na-ɣa,107_wood
roat,110_thatchroof
na-im,111_house
nɪ-mɛrɪt,112_rope
ⁿʒal,113_roadpath
-loŋ,114_black
-vʷʊs,115_white
-mɛlmɛl,116_red
-mɔmɔɣɛl,118_yellow
lɛplɛp,119_big
-wɪlwɪle,120_small
-mon,121_sharp
pu-monte,122_bluntdull
-moɣonɣon,123_shyashamed
-tɛrtɪɾa,124_old
-ɾoʧ,125_painfulsick
-nɛm,126_good
-sat,127_bad
-vəratɪn,128_correcttrue
-mərivriv,130_rotten
-roɸ,131_heavy
-luɣsi,132_far
-ɣəriv,133_near
nɪ-mɛlɣas,134_cold
-mɪmɛs,135_dry
-mim,136_wet
-mərax,137_new
-mã,139_come
-val,140_walk
-tuɾu,141_stand
i-at,142_sit
-ʧoɸ,143_fall
wu-lus,145_turn
-sax,146_climb
səɸ,147_swim
ɣirɛp,148_flyverb
-ʧeblɛn_lue,149_throw
-tozusun,150_hide
-or,151_eat
-min,152_drink
-mumaɸ,153_yawn
-tɪpɪs,154_spit
-mɛtur-borbor,155_dream
-mɛtur-borbor,155_dream
-mɛtuɾ,156_sleep
-moɾoɸ,157_live
-mas,158_die
-rupin,159_kill
-roŋɔ,161_hear
pɔ-nsi,162_sniffsmell
-ŋiɾ,163_laugh
-ŋɛɾə,164_cry
-siɾ,165_blow
-ɣɛn,166_burn
-ruprup,168_pound
a-ruɸ,169_hit
-spɛ,170_cut
-spɛtwaɣe,171_split
-ɣil,172_dig
-xorxoɾə,173_hunt
a-us,174_hold
-loɣolox,175_fear
-ʧɪpʷɪn,176_count
-lulu,178_vomit
-mʷəʧi,179_tieup
-vɪɾɪn,180_squeeze
-wuwun,181_swell
-wiɾ,182_say
-kʊt͡skʊt͡s,183_scratch
-siɾ,184_stab
-wʊl,185_buy
-vɪnɛɣe,186_steal
-ruɸ,187_plant
-titin,188_cook
-ʧəro͂,189_shoot
-pas,190_work
-ɣəɣis,191_open
