Nahavaqlembinwin,English Translation
i-siʔ,1_one
iɛro,2_two
i-tʊl,3_three
i-vɛs,4_four
i-lim,5_five
-sosiʔ,6_six
-soru,7_seven
sotʊl,8_eight
-soβei,9_nine
-laŋaβœl,10_ten
nɛ-teo,15_year
ᵐbaraᵑgin,16_right
dil-meɛr,17_left
kinan,18_i
kamɛᵐma,19_weallexcl
nuʔun,20_webothincl
numɛm,21_webothexcl
niᵑgin,22_weallincl
inun,23_thou
niŋim,25_youall
ar,27_theyall
nahavaʔ,30_what
iaʔ,31_who
aᵐbɛh,32_where
iβix,33_when
ɛtiŋ,35_this
ɛtaŋ,36_that
-vʷanmihɛɸ,37_above
-silɛβœn,38_below
ᵐbʷati-n,40_head
siplɛ-n,41_hair
siplɛ-n_ᵐbʷatin,41_hair
mɪtɛ-n,42_eye
ᵑginhu-n,43_nose
ⁿdɛliŋɛ-n,44_ear
boŋo-n,45_mouth
mælæᵐb-œn,46_tongue
luwo-n,47_tooth
vara-n,48_hand
ⁿdolo-n,50_neck
taʔo-m,51_back
ᵐbolʊ-n,52_leg
nɪ-ⁿde,53_blood
ᵐboloʔ,54_bone
vɛtu-n,56_belly
ni-hini-n,57_intestines
ni-hini-n_ninuŋ,57_intestines
ni-hoo-n,58_breast
na-mam,59_liver
kilu,60_dog
nɛ-mɛn,61_bird
mahal,62_fish
na-mat,63_snake
na-ot,65_louse
na-laᵐbʊt,66_rat
kiᵑgapleo,67_spider
tuʔɛs,68_mosquito
nɔ-ʔɔnli-n,69_egg
ᵐʙʉʃʉ-n,70_tail
ᵐbuᵐbɔ-n,72_feather
morot˺,73_man
momʷɔʔ,74_woman
ni-vʷutɪnbunoŋ,75_child
nɛ-hɛ-n,76_name
tatai,78_father
morot_tɪkina-n,79_husband
momʷɔʔ_tɪkina-n,80_wife
lɛrɛn,81_day
liβʷaʔat,82_night
nɛ-βœl,83_moon
ni-muʃi,84_star
mɛliŋ,85_sky
nɛ-owei,86_water
nɛ-tɛs,88_sea
na-ʔam,89_fire
-ⁿduŋ,90_smoke
ᵐbʷisnɛp,91_ash
nɛ-βɛt,92_stone
nɛ-tɛn,93_earthsoil
bʷisnɛp˺,94_dust
ᵐbinwɛn,95_sand
nɛ-wɔh,96_rain
mɛliŋ,97_cloud
na-laŋ,98_wind
nɛvʊl_varavar,99_thunder
i-malᵑgavʊt,100_lightning
mæro,101_meatflesh
na-βʷan,102_fruit
lɛᵐʙœnʔai,103_woodsforest
na-ʔara-n,104_root
na-ᵐbal-ni-n,105_branch
ne-rɛʔe,106_leaf
na-ʔai,107_wood
terei_na-ʔai,107_wood
ni-tiβhʉn,109_flower
no-riɛt,110_thatchroof
ne-um,111_house
nɛ-tɛl,112_rope
na-hal,113_roadpath
-mɛtɛmɛt,114_black
-mɛβʊs,115_white
i-mæmal,116_red
i-ʔasɛn,117_green
i-lʊtlʊt,118_yellow
i-ᵐboʊ,119_big
i-βʷariʔ,120_small
-makan,121_sharp
ka-mʷah,122_bluntdull
i-mimaʔan,123_shyashamed
-marlam,124_old
i-lɛh,126_good
i-hɛt,127_bad
-ᵐbaraŋin,128_correcttrue
-molol,129_dirty
i-mom,130_rotten
ɪ-ⁿdip,131_heavy
-silei,132_far
-masasaŋ,133_near
-mælaʰ,134_cold
i-mɛhɛmɛh,135_dry
i-mil,136_wet
i-milmil,136_wet
-βʷalɛŋ,139_come
i-loŋ,140_walk
-taris,141_stand
ko-sum,142_sit
i-sɛp˺,143_fall
ku-liŋdeo,144_liedown
ku-βiʔis-in,145_turn
ko-haʔ,146_climb
-wahop˺,147_swim
i-βiβɛm,148_flyverb
-tulalaʔ,150_hide
i-ʔan,151_eat
ku-mɪn,152_drink
mo-mole,153_yawn
i-vore,154_spit
-ᵐbʷɛrei,155_dream
ku-mɛtur,156_sleep
i-meur,157_live
kɛ-mɛs,158_die
ku-or-ᵐʙœn,159_kill
ku-lɛs,160_see
u-roŋ,161_hear
u-ᵐmas,163_laugh
u-tɛŋ,164_cry
i-hup,165_blow
ku-tur,167_sew
ku-tur_ɪn,167_sew
ku-ᵐbʷɛl,169_hit
ku-ʔoros,170_cut
ku-por,171_split
ku-por_ɪn,171_split
ku-lip,172_dig
i-sal,173_hunt
-mataʔ,175_fear
ku-ᵐbuluŋ,176_count
-ŋaraŋar,177_breathe
-luɛlu,178_vomit
ku-ʔos,179_tieup
ku-ᵐbʷos,180_squeeze
i-tim,181_swell
ku-wɛr,182_say
ku-ʔoi,183_scratch
ku-sim,184_stab
ko-βol,185_buy
-vanaʔ,186_steal
ko-ʔaᵐbʷiʔ,187_plant
hu-βini,189_shoot
ko-raʔ,190_work
-sɛvɛn,191_open
