Ragalolkasai,English Translation
xai_tuf,1_one
xai_ɾu,2_two
xai_tol,3_three
xai_vat,4_four
xai_lim,5_five
xai_on,6_six
xai_bit,7_seven
xai_vwel,8_eight
xai_tif,9_nine
saŋvul,10_ten
vonŋɡoŋu,13_onehundred
voŋgolu,13_onehundred
ina,18_i
kama,19_weallexcl
kaŋga,19_weallexcl
hindaɾu,20_webothincl
kamiɾu,21_webothexcl
hinda,22_weallincl
hiŋɡo,23_thou
hiŋgo,23_thou
kamiu,25_youall
kaia,26_heshe
kamiu_ŋotŋot,27_theyall
tihai,29_nonot
saɾataɾo,30_what
tahaɾomwindomwindo,31_who
intaɾu,32_where
ɡodoaha,33_when
tamambu,34_how
manu,61_bird
teltel,63_snake
hutun,65_louse
haɾiv,66_rat
tahaha,67_spider
namu,68_mosquito
idol,69_egg
haɾaten,70_tail
keɾen,70_tail
habaun,71_wing
ilun,72_feather
atman,73_man
vavin,74_woman
vavine,74_woman
marisu,75_child
isak,76_name
maksus,77_mother
taman,78_father
taosalak,79_husband
asoak,80_wife
xubweŋ,81_day
ubonɡ,82_night
tas,88_sea
xabi_xambu,89_fire
asu,90_smoke
manon,91_ash
manoŋ,91_ash
imtas,95_sand
nihos,101_meatflesh
nihoso,101_meatflesh
imwaku,111_house
sal,113_roadpath
nomemea,116_red
malahes,117_green
aŋoha,118_yellow
xaivu,119_big
taɾihi,120_small
nobwatmetua,124_old
nonomwat,126_good
nosaŋo,127_bad
novavtu,128_correcttrue
vavtu,128_correcttrue
saŋoɾ,129_dirty
mabobo,130_rotten
nomaɾas,131_heavy
maɾas,131_heavy
nooluaha,134_cold
oluaha,134_cold
nokoɾu,135_dry
nomes,136_wet
nohaɾa,137_new
haɾa,137_new
ma,139_come
laho,140_walk
tumaɾe,141_stand
toatano,142_sit
sovi,143_fall
buɾihai-ni-a,145_turn
hahaɾu,147_swim
ɡaxa,148_flyverb
xaxa,148_flyverb
xania,151_eat
mwin,152_drink
lodo,154_spit
mbomboɾe,155_dream
ɾasuan,157_live
ɾasu,157_live
mat,158_die
mamat,158_die
ɡomon_wesbamatea,159_kill
hitae,160_see
ɾoŋoe,161_hear
man,163_laugh
ɡaŋi,164_cry
omon_tun,166_burn
wesia,169_hit
tai,170_cut
bola,171_split
sakoɾ,174_hold
mataxu,175_fear
ɾasae,183_scratch
