Neveeivinmavis1,English Translation
-sɛvax,1_one
ba-ru,2_two
ba-tɬ,3_three
bɛ-va,4_four
ba-lim,5_five
-t͡ʃou,6_six
-t͡ʃuru,7_seven
-t͡ʃutl,8_eight
-t͡ʃaaβa,9_nine
-ʊŋavʉl,10_ten
naŋavil_ba-ru,11_twenty
naŋavil_ba-lim,12_fifty
naŋat_sɛvax,13_onehundred
ni-saɣao,15_year
bɛraⁿdaŋ,16_right
nɪ-mʷiɛr,17_left
no,18_i
numur-mamah,19_weallexcl
ᵑgɛt-ⁿdʳuim,20_webothincl
ᵑgɛmem-ⁿdʳuim,21_webothexcl
ᵑgɛt_mamah,22_weallincl
ᵑgu,23_thou
ᵑgɛma-ᵐbara-raro,24_youboth
ᵑgɛm,25_youall
ii,26_heshe
ar,27_theyall
ar_ⁿdʳu,28_theyboth
ahau,29_nonot
nɪvɛe,30_what
ne,31_who
ᵑgiep˺,32_where
ⁿɡɛⁿt͡san,33_when
mɪⁿdaŋ,34_how
ie,35_this
ioxɔ,36_that
-raai,37_above
-fɛvan,38_below
boɣut,39_ininside
nɛ-ᵐbʷat-n,40_head
na-ant͡silɛn_ᵐbʷat-n,41_hair
ni-mɪta-n,42_eye
na-aⁿt͡ʃu-n,43_nose
na-ⁿdɪlaŋa-n,44_ear
no-ᵐboŋo-n,45_mouth
nɛ-lɛmɛ-n,46_tongue
no-lovu-n,47_tooth
nɛ-vɛra-n,48_hand
nɛ-ᵐbʷatn_ᵐbʷahan-ɛn,49_shoulder
nɛ-ᵐbɛlo-an,50_neck
nɛ-taa-n,51_back
nɪtalun,52_leg
ni-ⁿdʳi,53_blood
nɪ-ᵐboloŋo-n,54_bone
ni-vini-n,55_skin
nɛ-tɛᵐbʷaa-n,56_belly
nɛ-snɛ-n,57_intestines
nu-mumum,58_breast
nɪ-maᵐbu-n,59_liver
liᵐbah,60_dog
ni-min,61_bird
ni-ax,62_fish
nɛ-mat,63_snake
nɪ-ⁿt͡ʃulah,64_worm
na-at,65_louse
nɛ-laᵐbut,66_rat
nɛ-taal,67_spider
nɪ-nam,68_mosquito
na-aⁿdəlɛ-n,69_egg
ni-ᵐbis-n,70_tail
na-avɛra-n,71_wing
na-aⁿt͡silɛ-n,72_feather
nu-mor,73_man
no-momox,74_woman
na-titi,75_child
nɪ-ᵑgɛⁿt͡sa-n,76_name
naŋ-mo,77_mother
mame,78_father
tɛnɛmɛ-no,79_husband
no-momʷox-no,80_wife
no-tranian,81_day
ᵐbuŋ,82_night
na-avil,83_moon
nɪ-mʷɪⁿt͡ʃi,84_star
nɛ-ran,85_sky
no-wi,86_water
nɪ-ᵐbulⁿduŋⁿduŋ,87_lake
ne-tah,88_sea
na-am,89_fire
tal-ian,90_smoke
nis,91_ash
nis_na-am,91_ash
ne-vat,92_stone
ne-tan,93_earthsoil
nɪ-lɪvʷɪtan,94_dust
no-woroɛn,95_sand
no-us,96_rain
laŋ,97_cloud
ne-laŋ,98_wind
nu-wurwur,99_thunder
na-vil_vivil,100_lightning
na-asoɣo-n,101_meatflesh
nɛ-vʷanɛ-n,102_fruit
naʔa_iⁿdu,103_woodsforest
no-xora-n,104_root
ᵐbusura-n,105_branch
no-rou-n,106_leaf
na-ai,107_wood
nɪ-mʷini,108_grass
nɪ-vuŋo-n,109_flower
ni-at,110_thatchroof
ni-um,111_house
na-au,112_rope
nɛ-sal,113_roadpath
imɛt˺,114_black
-maᵐbʷis,115_white
-mial,116_red
-ɣanⁿt͡ʃɣanⁿt͡ʃan,117_green
-lulut,118_yellow
nɛᵐbʷa,119_big
-ŋaŋaʔ,120_small
i-maŋal,121_sharp
iⁿɡot,122_bluntdull
-toxot,123_shyashamed
i-torɔ,124_old
-misaʔ,125_painfulsick
i-revah,126_good
i-moul,127_bad
-toxot,128_correcttrue
i-mum,130_rotten
i-map˺,131_heavy
-t͡ʃemʷɛh,132_far
-lili,133_near
-mɪlaʔah,134_cold
-mɪsɛmah,135_dry
i-wier,136_wet
-miⁿdimit,137_new
telinɛn,138_other
kə-vʷɛlɛm,139_come
ka-vafu,140_walk
-tutur,141_stand
-maam,142_sit
i-wam,143_fall
i-wam_retan,143_fall
mæturⁿdo,144_liedown
kɪ-vɪlɪh,145_turn
ki-saaran,146_climb
ka-suβasup˺,147_swim
i-mɛraʔ,148_flyverb
ki-tɛmⁿdɛmɛn,149_throw
ku-zusuɛn,150_hide
ka-an,151_eat
ka-minmin,152_drink
-maŋalal,153_yawn
-fiviri,154_spit
-lɛh_ᵐbʷari,155_dream
-matur,156_sleep
i-mour,157_live
i-mah,158_die
ko-ɣos-ᵐbi-mah,159_kill
kɪ-lɛ,160_see
ko-roŋ,161_hear
ka-ŋaŋ,163_laugh
kɛ-taŋ,164_cry
iuxuɸ,165_blow
i-ɣau,166_burn
kɛ-lelax,167_sew
ku-ɣusxus,168_pound
ku-xus,169_hit
itɛri,170_cut
ka-ᵑgarwɛl,171_split
ka-xal,172_dig
ka-ᵑgaᵑgah,173_hunt
ku-vuruh,174_hold
nɪ-mɪta-aian,175_fear
-ⁿdoŋon,176_count
ga-ŋusŋus,177_breathe
i-oxiox,178_vomit
-ᵑɡu,179_tieup
-ᵑɡu_toto,179_tieup
ka-vus,180_squeeze
ilɛlɛmᵇ,181_swell
kɪ-vʷɛri,182_say
iɣoɣor,183_scratch
ku-sɔx,184_stab
ka-vul,185_buy
kɪ-vɛnoɣ,186_steal
ku-luvf,187_plant
ka-tntn,188_cook
ka-lu,189_shoot
ku-ⁿt͡ʃavʷon,191_open
