Batarxopulumsak,English Translation
-saɣal,1_one
i-ru,2_two
i-til,3_three
i-vat,4_four
i-lim,5_five
-xon,6_six
-ɣɛᵐbit,7_seven
-xoɛl,8_eight
-ɣesiv,9_nine
-sɪŋavil,10_ten
movil_i-ɾu,11_twenty
mov_i-lim,12_fifty
ɪŋo_siŋavil,13_onehundred
ᵑgaka,15_year
mʷɪtu,16_right
maiɾ,17_left
nu͂,18_i
kamambo,21_webothexcl
nekir,22_weallincl
nox,23_thou
kemi_pɔ,24_youboth
kemi,25_youall
hain,26_heshe
xair_pɔ,27_theyall
i-səɣe,29_nonot
ⁿzaɣa,30_what
sɛnɛ,31_who
ambe,32_where
i-plakɛnzɛɣa,34_how
limsax,37_above
mɛlvɛna,38_below
-lalɛn,39_ininside
ᵐbatu-k,40_head
vɪlɛ-n_ᵐbatu-k,41_hair
məta-k,42_eye
ᵑgusu-k,43_nose
ᵐboro-k,44_ear
ⁿzoŋo-k,45_mouth
mimɛ-k,46_tongue
luwo-k,47_tooth
wəra-k,48_hand
ⁿzalɣa-k,50_neck
ⁿdaɣo-k,51_back
malɛ-k,52_leg
ⁿʒi-k,54_bone
vɪlɛ-k,55_skin
lavoɣa-k,56_belly
ⁿʒɪnɛ-k,57_intestines
nɛ-ʃɛʃʊk,58_breast
riɛk,59_liver
nu-ɣoli,60_dog
mænux,61_bird
nə-mat͡s,62_fish
nə-mʷat,63_snake
ulɪt͡slit͡s,64_worm
na-ɣit,65_louse
na-xariv,66_rat
ne-la,67_spider
na-mux,68_mosquito
rulu-n,69_egg
walɣao-n,70_tail
na-ɣpa-n,71_wing
vɪlɛ-n,72_feather
ni-vɛnar,74_woman
koⁿdaurik,75_child
ni-ŋsa-k,76_name
tate,78_father
liliɣ_su-k,79_husband
ni-vɛnar_su-k,80_wife
laran,81_day
lapuŋ,82_night
na-viɬ,83_moon
nu-wuwoɾ,84_star
ᵐbaknaran,85_sky
nu-ã,86_water
ⁿdas,88_sea
na-ɣamp,89_fire
iɪs,90_smoke
nɪ-vilas,91_ash
nɪ-vat,92_stone
ⁿdan,93_earthsoil
ᵐbʷetkus,94_dust
nu-wuwon,95_sand
na-us,96_rain
laŋ,98_wind
ᵐbʷɛtekuɾ,99_thunder
nɪvɪlax,100_lightning
ni-mbɪx,101_meatflesh
na-vogana,102_fruit
lamis,103_woodsforest
nɛ-raŋ,105_branch
roxo,106_leaf
na-ɣa,107_wood
na-mis,108_grass
ni-at,110_thatchroof
na-im,111_house
marit,112_rope
ⁿzal,113_roadpath
i-mɛrmɛɾ,114_black
i-pɪsax,115_white
i-mial,116_red
i-ɣɪt͡san,117_green
i-məɣɛl,118_yellow
i-lalamp,119_big
i-tɛᵐbʷis,120_small
i-moɣunɣun,123_shyashamed
i-tɛɾa,124_old
i-ɾot͡s,125_painfulsick
i-nam,126_good
i-sat,127_bad
i-hoɾatin,128_correcttrue
-lalo,129_dirty
i-mərɪvrɪɸ,130_rotten
i-roɸ,131_heavy
-luɣsi,132_far
-xəriɸ,133_near
-malɣas,134_cold
-mimas,135_dry
-mimim,136_wet
i-mɪlakɛl,137_new
-mã,139_come
ⁿt͡ɕɪ-vial,140_walk
-tuɾ,141_stand
-at,142_sit
i-ʧoɸ,143_fall
ⁿt͡ɕu-rorənu,145_turn
-sax,146_climb
i-ɣiɣamp,148_flyverb
-t͡sɛblɪn,149_throw
-tososuɣun,150_hide
-or,151_eat
t͡si-min,152_drink
nɪ-mumaɸ,153_yawn
-tɪpis,154_spit
porpor,155_dream
mɛtuɾ,156_sleep
i-meruɸ,157_live
i-mis,158_die
-rupin,159_kill
nə-lɪs,160_see
no-roŋɔ͂,161_hear
i-ŋiɾ,163_laugh
i-ŋaɾ,164_cry
-sɛɾ,165_blow
-rur,167_sew
-ruprup,168_pound
-rup,169_hit
-te,170_cut
-piruwis,171_split
-xorxor,173_hunt
-ust,174_hold
nɪ-mtaɣut,175_fear
-ʧɪpʷɪn,176_count
nɪ-vɪ-laŋ,177_breathe
i-lulu,178_vomit
-mʷiʧ,179_tieup
ⁿt͡ɕu-wiɾ,182_say
-kʊt͡skʊt͡s,183_scratch
-siɾ,184_stab
-vɪnaɣe,186_steal
-ruɸ,187_plant
-titin,188_cook
ⁿt͡ɕɪ-pas,190_work
-walɛ,191_open
